[2021-10-21 17:59:09.761] synth-n_30-m_97-k_2-p_0.2.txt: 	Success with k = 2 in 1ms
[2021-10-21 17:59:09.798] synth-n_30-m_97-k_2-p_0.2.txt: 	Verified
[2021-10-21 17:59:09.799] synth-n_30-m_99-k_4-p_0.2.txt: 	Success with k = 3 in 0ms
[2021-10-21 17:59:09.837] synth-n_30-m_99-k_4-p_0.2.txt: 	Verified
[2021-10-21 17:59:09.934] synth-n_40-m_112-k_8-p_0.1.txt: 	Success with k = 6 in 95ms
[2021-10-21 17:59:09.973] synth-n_40-m_112-k_8-p_0.1.txt: 	Verified
[2021-10-21 17:59:10.091] synth-n_40-m_114-k_10-p_0.1.txt: 	Success with k = 6 in 118ms
[2021-10-21 17:59:10.130] synth-n_40-m_114-k_10-p_0.1.txt: 	Verified
[2021-10-21 17:59:12.558] synth-n_40-m_114-k_15-p_0.1.txt: 	Success with k = 6 in 2.2428s
[2021-10-21 17:59:12.596] synth-n_40-m_114-k_15-p_0.1.txt: 	Verified
[2021-10-21 17:59:12.598] synth-n_40-m_176-k_2-p_0.2.txt: 	Success with k = 2 in 0ms
[2021-10-21 17:59:12.636] synth-n_40-m_176-k_2-p_0.2.txt: 	Verified
[2021-10-21 17:59:12.644] synth-n_40-m_185-k_4-p_0.2.txt: 	Success with k = 4 in 8ms
[2021-10-21 17:59:12.681] synth-n_40-m_185-k_4-p_0.2.txt: 	Verified
[2021-10-21 18:01:12.683] synth-n_40-m_192-k_10-p_0.2.txt: 	Failed with k = 8 because of the timelimit
[2021-10-21 18:01:12.740] synth-n_40-m_192-k_10-p_0.2.txt: 	Not Verified
[2021-10-21 18:03:12.740] synth-n_40-m_192-k_15-p_0.2.txt: 	Failed with k = 11 because of the timelimit
[2021-10-21 18:03:12.790] synth-n_40-m_192-k_15-p_0.2.txt: 	Not Verified
[2021-10-21 18:03:12.823] synth-n_40-m_194-k_6-p_0.2.txt: 	Success with k = 5 in 32ms
[2021-10-21 18:03:12.862] synth-n_40-m_194-k_6-p_0.2.txt: 	Verified
[2021-10-21 18:03:16.172] synth-n_40-m_203-k_8-p_0.2.txt: 	Success with k = 7 in 3.3310s
[2021-10-21 18:03:16.211] synth-n_40-m_203-k_8-p_0.2.txt: 	Verified
[2021-10-21 18:03:16.211] synth-n_40-m_36-k_2-p_0.05.txt: 	Success with k = 0 in 0ms
[2021-10-21 18:03:16.248] synth-n_40-m_36-k_2-p_0.05.txt: 	Verified
[2021-10-21 18:03:16.248] synth-n_40-m_47-k_6-p_0.05.txt: 	Success with k = 0 in 0ms
[2021-10-21 18:03:16.285] synth-n_40-m_47-k_6-p_0.05.txt: 	Verified
[2021-10-21 18:03:16.286] synth-n_40-m_50-k_4-p_0.05.txt: 	Success with k = 1 in 0ms
[2021-10-21 18:03:16.322] synth-n_40-m_50-k_4-p_0.05.txt: 	Verified
[2021-10-21 18:03:16.323] synth-n_40-m_58-k_15-p_0.05.txt: 	Success with k = 1 in 0ms
[2021-10-21 18:03:16.360] synth-n_40-m_58-k_15-p_0.05.txt: 	Verified
[2021-10-21 18:03:16.360] synth-n_40-m_61-k_8-p_0.05.txt: 	Success with k = 1 in 0ms
[2021-10-21 18:03:16.397] synth-n_40-m_61-k_8-p_0.05.txt: 	Verified
[2021-10-21 18:03:16.399] synth-n_40-m_62-k_10-p_0.05.txt: 	Success with k = 3 in 1ms
[2021-10-21 18:03:16.437] synth-n_40-m_62-k_10-p_0.05.txt: 	Verified
[2021-10-21 18:03:16.446] synth-n_40-m_88-k_4-p_0.1.txt: 	Success with k = 3 in 9ms
[2021-10-21 18:03:16.484] synth-n_40-m_88-k_4-p_0.1.txt: 	Verified
[2021-10-21 18:03:16.485] synth-n_40-m_92-k_2-p_0.1.txt: 	Success with k = 2 in 0ms
[2021-10-21 18:03:16.523] synth-n_40-m_92-k_2-p_0.1.txt: 	Verified
[2021-10-21 18:03:16.528] synth-n_40-m_95-k_6-p_0.1.txt: 	Success with k = 4 in 5ms
[2021-10-21 18:03:16.565] synth-n_40-m_95-k_6-p_0.1.txt: 	Verified
[2021-10-21 18:03:16.567] synth-n_50-m_139-k_2-p_0.1.txt: 	Success with k = 2 in 0ms
[2021-10-21 18:03:16.605] synth-n_50-m_139-k_2-p_0.1.txt: 	Verified
[2021-10-21 18:03:16.607] synth-n_50-m_139-k_4-p_0.1.txt: 	Success with k = 2 in 1ms
[2021-10-21 18:03:16.645] synth-n_50-m_139-k_4-p_0.1.txt: 	Verified
[2021-10-21 18:03:19.614] synth-n_50-m_154-k_8-p_0.1.txt: 	Success with k = 6 in 2.2968s
[2021-10-21 18:03:19.653] synth-n_50-m_154-k_8-p_0.1.txt: 	Verified
[2021-10-21 18:03:28.607] synth-n_50-m_159-k_10-p_0.1.txt: 	Success with k = 8 in 8.8953s
[2021-10-21 18:03:28.646] synth-n_50-m_159-k_10-p_0.1.txt: 	Verified
[2021-10-21 18:03:28.927] synth-n_50-m_169-k_6-p_0.1.txt: 	Success with k = 6 in 280ms
[2021-10-21 18:03:28.965] synth-n_50-m_169-k_6-p_0.1.txt: 	Verified
