name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis
synth-n_140-m_2205-k_15-p_0.2.txt,140,140,15,15,0,true,2,11,4,485
synth-n_140-m_2299-k_20-p_0.2.txt,140,140,20,20,0,true,3,5,293,629
synth-n_140-m_2379-k_25-p_0.2.txt,140,140,25,25,0,true,1,3,5331,2957
synth-n_140-m_2487-k_30-p_0.2.txt,140,140,30,30,0,true,1,0,41694,20646
synth-n_140-m_508-k_2-p_0.05.txt,140,140,2,2,2,true,140,0,0,0
synth-n_140-m_511-k_4-p_0.05.txt,140,140,2,2,2,true,140,0,0,0
synth-n_140-m_511-k_6-p_0.05.txt,140,140,6,6,6,true,140,0,0,0
synth-n_140-m_531-k_8-p_0.05.txt,140,140,7,7,7,true,140,0,0,0
synth-n_140-m_542-k_15-p_0.05.txt,140,140,13,13,2,true,87,0,663,41
synth-n_140-m_547-k_10-p_0.05.txt,140,140,8,8,8,true,140,0,0,0
synth-n_140-m_625-k_25-p_0.05.txt,140,140,22,22,0,true,44,0,26832,1497
synth-n_140-m_632-k_20-p_0.05.txt,140,140,16,16,1,true,59,0,2329,210
synth-n_140-m_632-k_30-p_0.05.txt,140,140,26,26,1,true,36,0,1442827,65236
synth-n_160-m_1318-k_4-p_0.1.txt,160,160,4,4,4,true,160,0,0,0
synth-n_160-m_1324-k_2-p_0.1.txt,160,160,2,2,2,true,160,0,0,1
synth-n_160-m_1346-k_6-p_0.1.txt,160,160,6,6,6,true,160,0,0,0
synth-n_160-m_1409-k_10-p_0.1.txt,160,160,10,10,1,true,35,7,3,283
synth-n_160-m_1412-k_8-p_0.1.txt,160,160,8,8,0,true,18,7,2,408
synth-n_160-m_1447-k_15-p_0.1.txt,160,160,15,15,1,true,26,4,66,373
synth-n_160-m_1523-k_20-p_0.1.txt,160,160,20,20,0,true,13,0,3699,1428
synth-n_160-m_1595-k_25-p_0.1.txt,160,160,25,25,0,true,7,0,154392,49470
synth-n_160-m_1648-k_30-p_0.1.txt,160,160,30,0,0,false,6,0,610985,180000
synth-n_160-m_2577-k_2-p_0.2.txt,160,160,2,2,2,true,160,0,0,1
synth-n_160-m_2611-k_4-p_0.2.txt,160,160,4,4,4,true,160,0,0,1
synth-n_160-m_2705-k_6-p_0.2.txt,160,160,6,6,0,true,7,6,1,544
synth-n_160-m_2720-k_10-p_0.2.txt,160,160,10,10,0,true,10,10,1,575
synth-n_160-m_2776-k_8-p_0.2.txt,160,160,8,8,0,true,13,8,1,522
synth-n_160-m_2910-k_15-p_0.2.txt,160,160,15,15,0,true,3,13,3,757
synth-n_160-m_3006-k_20-p_0.2.txt,160,160,20,20,0,true,2,10,104,861
synth-n_160-m_3034-k_25-p_0.2.txt,160,160,25,25,0,true,2,4,1169,1628
synth-n_160-m_3134-k_30-p_0.2.txt,160,160,30,30,0,true,0,1,29969,22097
synth-n_160-m_641-k_2-p_0.05.txt,160,160,2,2,2,true,160,0,0,1
synth-n_160-m_663-k_4-p_0.05.txt,160,160,4,4,4,true,160,0,0,1
synth-n_160-m_683-k_8-p_0.05.txt,160,160,6,6,1,true,115,4,3,14
synth-n_160-m_693-k_6-p_0.05.txt,160,160,6,6,6,true,160,0,0,0
synth-n_160-m_731-k_10-p_0.05.txt,160,160,10,10,0,true,73,3,6,87
synth-n_160-m_743-k_20-p_0.05.txt,160,160,19,19,1,true,63,1,3108,366
synth-n_160-m_746-k_15-p_0.05.txt,160,160,14,14,2,true,73,0,447,119
synth-n_160-m_800-k_30-p_0.05.txt,160,160,27,27,1,true,36,0,1942499,151173
synth-n_160-m_810-k_25-p_0.05.txt,160,160,25,25,0,true,44,0,1648564,124326
synth-n_180-m_1022-k_30-p_0.05.txt,180,180,29,1,1,false,40,0,1580706,180000
synth-n_180-m_1057-k_25-p_0.05.txt,180,180,22,22,0,true,41,0,124058,20214
synth-n_180-m_1627-k_4-p_0.1.txt,180,180,4,4,4,true,180,0,0,0
synth-n_180-m_1658-k_2-p_0.1.txt,180,180,2,2,2,true,180,0,0,0
synth-n_180-m_1683-k_6-p_0.1.txt,180,180,6,6,2,true,52,4,1,287
synth-n_180-m_1717-k_8-p_0.1.txt,180,180,8,8,8,true,180,0,0,1
synth-n_180-m_1738-k_10-p_0.1.txt,180,180,10,10,0,true,27,8,3,526
synth-n_180-m_1958-k_15-p_0.1.txt,180,180,15,15,1,true,18,7,20,668
synth-n_180-m_1962-k_25-p_0.1.txt,180,180,25,25,0,true,7,1,44091,19422
synth-n_180-m_1968-k_20-p_0.1.txt,180,180,20,20,0,true,4,3,1353,1499
synth-n_180-m_2037-k_30-p_0.1.txt,180,180,30,0,0,false,5,0,379743,180000
synth-n_180-m_3254-k_2-p_0.2.txt,180,180,2,2,2,true,180,0,0,1
synth-n_180-m_3302-k_4-p_0.2.txt,180,180,4,4,4,true,180,0,0,1
synth-n_180-m_3396-k_8-p_0.2.txt,180,180,8,8,1,true,13,7,1,740
synth-n_180-m_3408-k_6-p_0.2.txt,180,180,6,6,0,true,11,6,1,738
synth-n_180-m_3481-k_10-p_0.2.txt,180,180,10,10,0,true,10,10,1,879
synth-n_180-m_3631-k_15-p_0.2.txt,180,180,15,15,0,true,4,15,1,1086
synth-n_180-m_3690-k_20-p_0.2.txt,180,180,20,20,0,true,2,12,30,1217
synth-n_180-m_3812-k_25-p_0.2.txt,180,180,25,25,0,true,0,9,484,1723
synth-n_180-m_4031-k_30-p_0.2.txt,180,180,30,30,0,true,0,2,12930,15866
synth-n_180-m_804-k_2-p_0.05.txt,180,180,2,2,2,true,180,0,0,0
synth-n_180-m_827-k_6-p_0.05.txt,180,180,6,6,6,true,180,0,0,0
synth-n_180-m_855-k_15-p_0.05.txt,180,180,15,15,4,true,113,1,9,43
synth-n_180-m_867-k_8-p_0.05.txt,180,180,8,8,8,true,180,0,0,0
synth-n_180-m_881-k_4-p_0.05.txt,180,180,4,4,4,true,180,0,0,0
synth-n_180-m_895-k_20-p_0.05.txt,180,180,19,19,4,true,77,1,256,169
synth-n_180-m_902-k_10-p_0.05.txt,180,180,10,10,3,true,115,4,4,38
synth-n_20-m_18-k_4-p_0.05.txt,16,16,1,1,1,true,16,0,0,0
synth-n_20-m_20-k_4-p_0.1.txt,16,16,0,0,0,true,16,0,0,0
synth-n_20-m_25-k_2-p_0.1.txt,19,19,1,1,1,true,19,0,0,0
synth-n_20-m_25-k_8-p_0.1.txt,19,19,2,2,2,true,19,0,0,0
synth-n_20-m_38-k_6-p_0.1.txt,19,19,2,2,2,true,19,0,0,0
synth-n_20-m_48-k_2-p_0.2.txt,20,20,2,2,2,true,20,0,0,0
synth-n_20-m_54-k_8-p_0.2.txt,20,20,3,3,3,true,20,0,0,0
synth-n_20-m_58-k_4-p_0.2.txt,19,19,4,4,0,true,9,1,4,0
synth-n_20-m_59-k_6-p_0.2.txt,20,20,3,3,3,true,20,0,0,0
synth-n_20-m_9-k_8-p_0.05.txt,11,11,0,0,0,true,11,0,0,0
synth-n_200-m_1059-k_8-p_0.05.txt,200,200,8,8,8,true,200,0,0,0
synth-n_200-m_1063-k_2-p_0.05.txt,200,200,2,2,2,true,200,0,0,0
synth-n_200-m_1075-k_10-p_0.05.txt,200,200,10,10,1,true,104,5,4,115
synth-n_200-m_1093-k_4-p_0.05.txt,200,200,4,4,4,true,200,0,0,0
synth-n_200-m_1096-k_6-p_0.05.txt,200,200,6,6,6,true,200,0,0,0
synth-n_200-m_1115-k_15-p_0.05.txt,200,200,15,15,0,true,70,1,184,320
synth-n_200-m_1151-k_25-p_0.05.txt,200,200,25,25,0,true,57,0,288473,35054
synth-n_200-m_1172-k_20-p_0.05.txt,200,200,20,20,2,true,71,1,399,354
synth-n_200-m_1319-k_30-p_0.05.txt,200,200,30,0,0,false,30,0,720988,180000
synth-n_200-m_2075-k_10-p_0.1.txt,200,200,10,10,1,true,36,8,2,665
synth-n_200-m_2076-k_6-p_0.1.txt,200,200,6,6,6,true,200,0,0,1
synth-n_200-m_2088-k_4-p_0.1.txt,200,200,4,4,4,true,200,0,0,0
synth-n_200-m_2096-k_2-p_0.1.txt,200,200,2,2,2,true,200,0,0,1
synth-n_200-m_2119-k_8-p_0.1.txt,200,200,8,8,2,true,55,6,1,435
synth-n_200-m_2270-k_20-p_0.1.txt,200,200,20,20,0,true,10,1,2081,2240
synth-n_200-m_2275-k_15-p_0.1.txt,200,200,15,15,0,true,21,8,13,928
synth-n_200-m_2356-k_25-p_0.1.txt,200,200,25,25,0,true,7,0,124464,69150
synth-n_200-m_2488-k_30-p_0.1.txt,200,200,30,0,0,false,7,0,313173,180000
synth-n_200-m_4097-k_2-p_0.2.txt,200,200,2,2,2,true,200,0,0,2
synth-n_200-m_4160-k_10-p_0.2.txt,200,200,10,10,0,true,3,10,1,1417
synth-n_200-m_4165-k_4-p_0.2.txt,200,200,4,4,2,true,27,2,1,665
synth-n_200-m_4241-k_6-p_0.2.txt,200,200,6,6,0,true,10,6,1,1120
synth-n_200-m_4270-k_8-p_0.2.txt,200,200,8,8,0,true,5,8,1,1308
synth-n_200-m_4411-k_15-p_0.2.txt,200,200,15,15,0,true,4,15,1,1589
synth-n_200-m_4591-k_20-p_0.2.txt,200,200,20,20,0,true,3,16,4,1748
synth-n_200-m_4629-k_25-p_0.2.txt,200,200,25,25,0,true,1,9,226,2159
synth-n_200-m_4765-k_30-p_0.2.txt,200,200,30,30,0,true,0,7,2377,5276
synth-n_225-m_1274-k_4-p_0.05.txt,225,225,4,4,4,true,225,0,0,0
synth-n_225-m_1286-k_2-p_0.05.txt,225,225,2,2,2,true,225,0,0,0
synth-n_225-m_1352-k_6-p_0.05.txt,225,225,6,6,6,true,225,0,0,0
synth-n_225-m_1385-k_8-p_0.05.txt,225,225,8,8,8,true,225,0,0,0
synth-n_225-m_1390-k_10-p_0.05.txt,225,225,10,10,1,true,93,6,5,311
synth-n_225-m_1391-k_15-p_0.05.txt,225,225,15,15,0,true,73,4,21,494
synth-n_225-m_1470-k_20-p_0.05.txt,225,225,19,19,0,true,46,0,1673,1233
synth-n_225-m_1484-k_25-p_0.05.txt,225,225,25,25,2,true,62,0,31584,7220
synth-n_225-m_1517-k_30-p_0.05.txt,225,225,30,0,0,false,36,0,661367,180001
synth-n_225-m_2523-k_2-p_0.1.txt,225,225,2,2,2,true,225,0,0,1
synth-n_225-m_2681-k_10-p_0.1.txt,225,225,10,10,0,true,30,10,1,1192
synth-n_225-m_2685-k_6-p_0.1.txt,225,225,6,6,1,true,51,5,1,753
synth-n_225-m_2691-k_8-p_0.1.txt,225,225,8,8,0,true,33,8,1,1085
synth-n_225-m_2732-k_4-p_0.1.txt,225,225,4,4,4,true,225,0,0,1
synth-n_225-m_2816-k_15-p_0.1.txt,225,225,15,15,1,true,25,8,7,1315
synth-n_225-m_2884-k_20-p_0.1.txt,225,225,20,20,0,true,13,3,307,1862
synth-n_225-m_2884-k_25-p_0.1.txt,225,225,25,25,0,true,7,0,27535,25343
synth-n_225-m_2964-k_30-p_0.1.txt,225,225,30,30,0,true,6,0,193280,156544
synth-n_225-m_4993-k_2-p_0.2.txt,225,225,2,2,2,true,225,0,0,2
synth-n_225-m_5212-k_6-p_0.2.txt,225,225,6,6,0,true,8,6,1,1600
synth-n_225-m_5223-k_4-p_0.2.txt,225,225,4,4,0,true,16,4,1,1263
synth-n_225-m_5291-k_8-p_0.2.txt,225,225,8,8,0,true,11,8,1,1672
synth-n_225-m_5365-k_10-p_0.2.txt,225,225,10,10,0,true,5,10,1,1968
synth-n_225-m_5504-k_15-p_0.2.txt,225,225,15,15,0,true,6,15,1,2277
synth-n_225-m_5734-k_20-p_0.2.txt,225,225,20,20,0,true,2,19,2,2545
synth-n_225-m_5854-k_25-p_0.2.txt,225,225,25,25,0,true,0,15,55,2833
synth-n_225-m_5936-k_30-p_0.2.txt,225,225,30,30,0,true,0,12,423,3598
synth-n_250-m_1512-k_2-p_0.05.txt,250,250,2,2,2,true,250,0,0,1
synth-n_250-m_1569-k_4-p_0.05.txt,250,250,4,4,4,true,250,0,0,0
synth-n_250-m_1575-k_6-p_0.05.txt,250,250,6,6,6,true,250,0,0,0
synth-n_250-m_1667-k_8-p_0.05.txt,250,250,8,8,8,true,250,0,0,0
synth-n_250-m_1694-k_10-p_0.05.txt,250,250,10,10,0,true,86,6,4,611
synth-n_250-m_1710-k_15-p_0.05.txt,250,250,15,15,0,true,74,2,168,812
synth-n_250-m_1757-k_20-p_0.05.txt,250,250,20,20,1,true,68,0,5072,2519
synth-n_250-m_1814-k_25-p_0.05.txt,250,250,25,25,0,true,41,2,24621,9159
synth-n_250-m_1916-k_30-p_0.05.txt,250,250,30,0,0,false,39,0,437241,180000
synth-n_250-m_3124-k_4-p_0.1.txt,250,250,4,4,4,true,250,0,0,1
synth-n_250-m_3161-k_2-p_0.1.txt,250,250,2,2,2,true,250,0,0,1
synth-n_250-m_3199-k_8-p_0.1.txt,250,250,8,8,3,true,64,5,1,890
synth-n_250-m_3249-k_6-p_0.1.txt,250,250,6,6,6,true,250,0,0,1
synth-n_250-m_3387-k_10-p_0.1.txt,250,250,10,10,0,true,21,10,1,1955
synth-n_250-m_3436-k_15-p_0.1.txt,250,250,15,15,1,true,23,11,3,1958
synth-n_250-m_3475-k_20-p_0.1.txt,250,250,20,20,0,true,16,6,120,2304
synth-n_250-m_3612-k_25-p_0.1.txt,250,250,25,25,0,true,5,2,6837,10214
synth-n_250-m_3681-k_30-p_0.1.txt,250,250,30,30,0,true,8,0,122140,132825
synth-n_250-m_6262-k_2-p_0.2.txt,250,250,2,2,2,true,250,0,0,2
synth-n_250-m_6353-k_4-p_0.2.txt,250,250,4,4,0,true,12,4,1,1900
synth-n_250-m_6493-k_6-p_0.2.txt,250,250,6,6,6,true,250,0,0,2
synth-n_250-m_6538-k_8-p_0.2.txt,250,250,8,8,0,true,8,8,1,2452
synth-n_250-m_6557-k_10-p_0.2.txt,250,250,10,10,0,true,3,10,1,2742
synth-n_250-m_6833-k_15-p_0.2.txt,250,250,15,15,0,true,2,15,1,3245
synth-n_250-m_7048-k_20-p_0.2.txt,250,250,20,20,0,true,1,20,1,3606
synth-n_250-m_7157-k_25-p_0.2.txt,250,250,25,25,0,true,0,19,18,3913
synth-n_250-m_7252-k_30-p_0.2.txt,250,250,30,30,0,true,1,18,87,4191
synth-n_275-m_1895-k_2-p_0.05.txt,275,275,2,2,2,true,275,0,0,1
synth-n_275-m_1958-k_4-p_0.05.txt,275,275,4,4,4,true,275,0,0,0
synth-n_275-m_2019-k_8-p_0.05.txt,275,275,8,8,1,true,114,6,2,558
synth-n_275-m_2025-k_6-p_0.05.txt,275,275,6,6,6,true,275,0,0,1
synth-n_275-m_2051-k_10-p_0.05.txt,275,275,10,10,5,true,142,4,2,302
synth-n_275-m_2121-k_25-p_0.05.txt,275,275,25,25,0,true,47,0,54169,26534
synth-n_275-m_2122-k_15-p_0.05.txt,275,275,15,15,0,true,63,3,127,1380
synth-n_275-m_2130-k_20-p_0.05.txt,275,275,20,20,0,true,48,2,2088,2813
synth-n_275-m_2220-k_30-p_0.05.txt,275,275,30,0,0,false,30,0,320864,180000
synth-n_275-m_3808-k_2-p_0.1.txt,275,275,2,2,2,true,275,0,0,1
synth-n_275-m_3815-k_6-p_0.1.txt,275,275,6,6,1,true,61,5,1,1388
synth-n_275-m_3851-k_4-p_0.1.txt,275,275,4,4,4,true,275,0,0,1
synth-n_275-m_3928-k_10-p_0.1.txt,275,275,10,10,6,true,79,4,1,1026
synth-n_275-m_3928-k_8-p_0.1.txt,275,275,8,8,8,true,275,0,0,1
synth-n_275-m_4227-k_15-p_0.1.txt,275,275,15,15,1,true,19,14,1,2965
synth-n_275-m_4276-k_20-p_0.1.txt,275,275,20,20,0,true,15,10,26,3270
synth-n_275-m_4371-k_30-p_0.1.txt,275,275,30,30,0,true,5,0,108064,155155
synth-n_275-m_4399-k_25-p_0.1.txt,275,275,25,25,0,true,4,6,676,4525
synth-n_275-m_7607-k_2-p_0.2.txt,275,275,2,2,2,true,275,0,0,2
synth-n_275-m_7697-k_4-p_0.2.txt,275,275,4,4,0,true,22,4,1,2236
synth-n_275-m_7718-k_8-p_0.2.txt,275,275,8,8,0,true,9,8,1,3185
synth-n_275-m_7787-k_6-p_0.2.txt,275,275,6,6,0,true,10,6,1,2854
synth-n_275-m_7982-k_10-p_0.2.txt,275,275,10,10,0,true,8,10,1,3554
synth-n_275-m_8114-k_15-p_0.2.txt,275,275,15,15,0,true,6,15,1,4167
synth-n_275-m_8401-k_20-p_0.2.txt,275,275,20,20,0,true,2,20,1,4940
synth-n_275-m_8453-k_25-p_0.2.txt,275,275,25,25,0,true,0,24,2,5378
synth-n_275-m_8461-k_30-p_0.2.txt,275,275,30,30,0,true,1,20,57,5758
synth-n_30-m_111-k_8-p_0.2.txt,30,30,7,7,7,true,30,0,0,0
synth-n_30-m_114-k_6-p_0.2.txt,30,30,5,5,1,true,14,1,5,1
synth-n_30-m_117-k_10-p_0.2.txt,30,30,7,7,1,true,11,1,6,2
synth-n_30-m_25-k_2-p_0.05.txt,26,26,0,0,0,true,26,0,0,0
synth-n_30-m_28-k_4-p_0.05.txt,25,25,2,2,2,true,25,0,0,0
