name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,packing_millis,millis,recursive_steps
advotogo-n_100,26,31,2,2,2,true,26,0,0,55,0
advotogo-n_1000,624,1883,127,127,120,true,612,0,7,32,6
advotogo-n_1500,1110,4342,215,215,196,true,1072,0,2,19,11
advotogo-n_200,63,68,9,9,7,true,60,0,0,3,2
advotogo-n_2000,1556,6786,297,297,279,true,1526,0,7,33,17
advotogo-n_3000,2657,16140,548,548,495,true,2556,0,11,68,34
advotogo-n_4000,3775,29831,863,846,554,false,3090,0,56629,90000,132101
advotogo-n_50,0,0,0,0,0,true,0,0,1,1,0
advotogo-n_500,247,446,39,39,37,true,244,0,2,4,5
advotogo-n_5000,4962,43776,1160,1136,699,false,3953,0,42112,90000,77319
advotogo-n_5159,5155,47135,1208,1180,742,false,4141,0,43780,90000,79489
bitcoinalpha-n_100,5,7,2,2,2,true,5,0,0,1,0
bitcoinalpha-n_1000,545,1878,136,136,134,true,542,0,1,2,4
bitcoinalpha-n_1500,957,3890,261,261,259,true,954,0,0,3,2
bitcoinalpha-n_200,50,78,11,11,11,true,50,0,0,1,0
bitcoinalpha-n_2000,1450,6295,393,393,386,true,1438,0,0,5,9
bitcoinalpha-n_3000,2659,15429,658,658,646,true,2638,0,0,8,13
bitcoinalpha-n_3785,3783,24186,921,921,901,true,3744,0,0,13,13
bitcoinalpha-n_50,5,5,2,2,2,true,5,0,0,1,0
bitcoinalpha-n_500,202,465,54,54,51,true,197,0,0,1,3
blogs-n_100,67,170,8,8,8,true,67,0,0,1,0
blogs-n_1000,977,12749,196,196,66,true,646,0,929,1757,2451
blogs-n_1227,1224,19022,262,262,87,true,778,0,5740,8316,9132
blogs-n_200,138,426,16,16,16,true,138,0,0,1,0
blogs-n_50,34,88,6,6,6,true,34,0,0,1,0
blogs-n_500,430,2918,76,76,49,true,378,0,4,10,112
chess-n_100,13,7,0,0,0,true,13,0,0,1,0
chess-n_1000,613,1295,62,62,27,true,523,0,8,15,121
chess-n_1500,1075,2561,127,127,45,true,859,0,58057,79173,322835
chess-n_200,58,47,2,2,2,true,58,0,0,1,0
chess-n_2000,1531,4343,204,192,61,false,1131,0,49980,90000,184494
chess-n_50,3,2,0,0,0,true,3,0,0,1,0
chess-n_500,241,319,17,17,17,true,241,0,0,1,0
chess-n_5000,4752,27339,-1,764,78,false,2327,0,52508,90000,14378
chess-n_6000,5854,40749,-1,978,81,false,2659,0,58289,90000,7832
chess-n_7000,6966,55133,-1,1213,91,false,2913,0,61741,90000,4789
chess-n_7303,7301,60046,-1,1291,85,false,2958,0,63940,90000,3950
ChicagoRegional-n_100,2,2,1,1,1,true,2,0,0,0,0
ChicagoRegional-n_1000,224,245,92,92,92,true,224,0,0,1,0
ChicagoRegional-n_10000,9579,23005,4193,4193,3551,true,8375,0,30,66,596
ChicagoRegional-n_1500,457,485,181,181,179,true,454,0,0,2,2
ChicagoRegional-n_200,13,12,5,5,5,true,13,0,0,1,0
ChicagoRegional-n_2000,777,888,307,307,301,true,767,0,0,2,6
ChicagoRegional-n_3000,1619,2022,631,631,617,true,1596,0,1,4,14
ChicagoRegional-n_4000,2607,3623,1020,1020,1004,true,2581,0,1,5,16
ChicagoRegional-n_50,4,4,2,2,2,true,4,0,0,1,0
ChicagoRegional-n_500,52,50,24,24,24,true,52,0,0,1,0
ChicagoRegional-n_5000,3710,5774,1484,1484,1438,true,3627,0,5,9,43
ChicagoRegional-n_6000,4927,8488,1987,1987,1865,true,4703,0,10,21,103
ChicagoRegional-n_7000,6106,11328,2495,2495,2347,true,5842,0,11,22,121
ChicagoRegional-n_8000,7282,14765,3028,3028,2772,true,6804,0,11,30,183
ChicagoRegional-n_9000,8479,19095,3651,3651,3198,true,7628,0,18,48,299
health-n_100,23,18,4,4,4,true,23,0,0,1,0
health-n_1000,934,2008,231,231,211,true,904,0,2,6,20
health-n_1500,1451,4642,446,446,341,true,1261,0,64,126,1260
health-n_200,94,87,17,17,17,true,94,0,0,1,0
health-n_2000,1973,7956,674,654,297,false,1172,0,33718,90000,134068
health-n_2542,2539,12969,960,895,235,false,1031,0,30370,90000,100762
health-n_50,10,7,2,2,2,true,10,0,0,1,1
health-n_500,388,490,67,67,65,true,384,0,0,1,3
link-kv-n_100,18,22,8,8,4,true,12,0,0,1,4
link-kv-n_1000,644,4081,234,234,63,true,440,0,2633,8788,197337
link-kv-n_1500,1054,8494,391,312,101,false,705,0,32913,90000,1098190
link-kv-n_200,90,139,20,20,10,true,76,0,1,3,20
link-kv-n_2000,1772,19901,565,485,112,false,1210,0,35381,90000,612304
link-kv-n_3000,2540,39796,900,720,174,false,1620,0,27217,90000,80393
link-kv-n_4000,3777,69389,1244,1129,200,false,2389,0,40303,90000,24991
link-kv-n_50,6,3,0,0,0,true,6,0,0,1,0
link-kv-n_500,270,1056,83,83,23,true,196,0,2,6,60
link-kv-n_5000,4840,117893,1670,1406,261,false,2975,0,61750,90000,6402
link-kv-n_6000,5911,162803,2014,1810,304,false,3599,0,69940,90000,2547
link-kv-n_6916,6914,211650,2364,2156,352,false,4186,0,74596,90000,1229
openflights-n_100,25,48,10,10,10,true,25,0,0,0,0
