name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
openflights-n_200,64,106,57,22,26,26,6,true,3
openflights-n_2000,1794,13285,1691,535,593,593,86,true,39
openflights-n_2942,2939,30501,2676,858,998,998,224,true,65
openflights-n_50,4,4,4,2,2,2,0,true,0
openflights-n_500,226,770,207,69,80,80,12,true,5
out.cfinder-google-n_100,8,7,8,6,6,6,0,true,0
out.cfinder-google-n_1000,413,576,404,94,100,100,6,true,6
out.cfinder-google-n_10000,9678,70276,7514,1603,3133,3133,1040,true,782
out.cfinder-google-n_1500,723,1120,678,157,188,188,28,true,26
out.cfinder-google-n_200,32,27,32,13,13,13,0,true,0
out.cfinder-google-n_2000,1384,3224,1294,244,307,307,54,true,51
out.cfinder-google-n_3000,2127,5857,1880,400,574,574,147,true,181
out.cfinder-google-n_4000,3184,11463,2768,555,852,852,238,true,244
out.cfinder-google-n_50,8,8,8,7,7,7,0,true,0
out.cfinder-google-n_500,119,142,116,35,37,37,2,true,1
out.cfinder-google-n_5000,4366,19192,3722,740,1200,1200,362,true,379
out.cfinder-google-n_6000,5853,31372,4916,901,1581,1581,512,true,411
out.cfinder-google-n_7000,6186,31254,5038,1091,1928,1928,599,true,454
out.cfinder-google-n_8000,7228,48521,5596,1204,2338,2338,766,true,660
out.cfinder-google-n_9000,8186,53109,6392,1380,2698,2698,927,true,719
talk-oc-n_100,0,0,0,0,0,0,0,true,0
talk-oc-n_1000,589,757,589,7,7,7,0,true,0
talk-oc-n_1500,284,489,284,15,15,15,0,true,0
talk-oc-n_200,81,78,81,0,0,0,0,true,0
talk-oc-n_2000,408,605,408,15,15,15,0,true,0
talk-oc-n_3000,2997,4263,2997,29,29,29,0,true,1
talk-oc-n_3066,3064,4464,3064,30,30,30,0,true,1
talk-oc-n_50,0,0,0,0,0,0,0,true,0
talk-oc-n_500,26,22,26,3,3,3,0,true,0
temporalGraph-n_100,2,1,2,0,0,0,0,true,0
temporalGraph-n_1000,622,1447,622,40,40,40,0,true,0
temporalGraph-n_1500,1343,3437,1310,61,77,77,44,true,8
temporalGraph-n_1868,1866,5517,1834,91,106,106,25,true,6
temporalGraph-n_200,50,73,50,5,5,5,0,true,0
temporalGraph-n_50,12,16,12,3,3,3,0,true,0
temporalGraph-n_500,199,368,185,11,17,17,11,true,3
ucsocial-n_100,26,30,26,5,5,5,0,true,0
ucsocial-n_1000,882,6250,798,219,258,258,64,true,16
ucsocial-n_1500,1412,12596,1033,253,435,435,483,true,829
ucsocial-n_1902,1899,20296,1493,381,585,585,537,true,871
ucsocial-n_200,82,138,82,23,23,23,0,true,0
ucsocial-n_50,16,18,16,3,3,3,0,true,0
ucsocial-n_500,353,1231,353,80,80,80,0,true,0
usairport-n_100,46,92,46,13,13,13,0,true,0
usairport-n_1000,910,10027,730,146,253,253,281,true,85
usairport-n_1500,1490,25277,1115,222,428,428,659,true,798
usairport-n_1577,1574,28236,1189,243,455,455,1018,true,1106
usairport-n_200,104,308,85,19,29,29,23,true,4
usairport-n_50,10,19,5,2,5,5,4,true,1
usairport-n_500,383,3451,305,68,112,112,120,true,26
wikispeedia-n_100,26,19,26,0,0,0,0,true,0
wikispeedia-n_1000,903,3091,884,145,156,156,11,true,5
wikispeedia-n_1500,1415,7438,1114,165,271,271,216,true,266
wikispeedia-n_200,124,190,124,14,14,14,0,true,0
wikispeedia-n_2000,1927,12519,1300,201,437,437,617,true,3261
wikispeedia-n_3000,2973,29508,1442,224,-1,0,1989,false,90000
