name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,verified,millis
temporalGraph-n_50,12,16,0,0,3,3,true,4
temporalGraph-n_500,199,368,0,0,17,17,true,18
ucsocial-n_100,26,30,0,0,5,5,true,5
ucsocial-n_1000,882,6250,0,0,258,258,true,581
ucsocial-n_1500,1412,12596,0,0,435,435,true,1568
ucsocial-n_1902,1899,20296,0,0,585,585,true,5721
ucsocial-n_200,82,138,0,0,23,23,true,12
ucsocial-n_50,16,18,0,0,3,3,true,4
ucsocial-n_500,353,1231,0,0,80,80,true,80
usairport-n_100,46,92,0,0,13,13,true,9
usairport-n_1000,910,10027,0,0,253,253,true,2344
usairport-n_1500,1490,25277,0,0,428,428,true,15389
usairport-n_1577,1574,28236,0,0,455,455,true,20997
usairport-n_200,104,308,0,0,29,29,true,28
usairport-n_50,10,19,0,0,5,5,true,5
usairport-n_500,383,3451,0,0,112,112,true,282
wikispeedia-n_100,26,19,0,0,0,0,true,1
wikispeedia-n_1000,903,3091,0,0,156,156,true,441
wikispeedia-n_1500,1415,7438,0,0,271,271,true,12141
wikispeedia-n_200,124,190,0,0,14,14,true,16
wikispeedia-n_2000,1927,12519,0,0,437,437,true,23382
wikispeedia-n_3000,2973,29508,0,0,-1,890,false,90244
wikispeedia-n_4000,3996,52711,0,0,-1,0,false,90428
wikispeedia-n_4181,4179,57572,0,0,-1,0,false,90318
wikispeedia-n_50,8,5,0,0,0,0,true,1
wikispeedia-n_500,370,857,0,0,56,56,true,56
synth-n_100-m_1093-k_5-p_0.2.txt,100,1093,0,0,5,5,true,38
synth-n_100-m_1146-k_10-p_0.2.txt,100,1146,0,0,10,10,true,128
synth-n_100-m_1151-k_15-p_0.2.txt,100,1151,0,0,15,15,true,195
synth-n_100-m_1229-k_20-p_0.2.txt,100,1229,0,0,20,20,true,251
synth-n_100-m_1263-k_25-p_0.2.txt,100,1263,0,0,25,25,true,337
synth-n_100-m_1275-k_30-p_0.2.txt,100,1275,0,0,30,30,true,481
synth-n_100-m_263-k_5-p_0.05.txt,99,263,0,0,5,5,true,16
synth-n_100-m_289-k_10-p_0.05.txt,99,289,0,0,4,4,true,21
synth-n_100-m_302-k_15-p_0.05.txt,100,302,0,0,8,8,true,41
synth-n_100-m_332-k_20-p_0.05.txt,100,332,0,0,14,14,true,132
