name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis
synth-n_100-m_1220-k_15-p_0.2.txt,100,100,15,15,0,true,3,4,597,477
synth-n_100-m_1235-k_20-p_0.2.txt,100,100,20,20,0,true,1,0,27389,3842
synth-n_100-m_1231-k_25-p_0.2.txt,100,100,25,25,0,true,3,0,186791,21628
synth-n_100-m_346-k_30-p_0.05.txt,100,100,17,17,0,true,38,0,574238,17758
synth-n_120-m_1775-k_20-p_0.2.txt,120,120,20,20,0,true,1,3,4742,1278
synth-n_120-m_871-k_15-p_0.1.txt,120,120,15,15,0,true,18,0,13947,1638
synth-n_140-m_1184-k_15-p_0.1.txt,140,140,15,15,1,true,20,2,1072,380
synth-n_140-m_2379-k_25-p_0.2.txt,140,140,25,25,0,true,1,3,23033,6950
synth-n_180-m_1968-k_20-p_0.1.txt,180,180,20,20,0,true,4,3,7962,3625
synth-n_250-m_3475-k_20-p_0.1.txt,250,250,20,20,0,true,16,6,961,2668
synth-n_200-m_2270-k_20-p_0.1.txt,200,200,20,20,0,true,10,1,16999,8387
synth-n_225-m_2884-k_20-p_0.1.txt,225,225,20,20,0,true,13,3,3106,3136
synth-n_250-m_7252-k_30-p_0.2.txt,250,250,30,30,0,true,1,18,698,4750
synth-n_275-m_2130-k_20-p_0.05.txt,275,275,20,20,0,true,48,2,30139,15338
synth-n_300-m_9999-k_25-p_0.2.txt,300,300,25,25,0,true,1,25,1,6720
biology-n_42-m_297-p_0.5-23,42,42,21,21,1,true,4,0,126187,1693
biology-n_56-m_1372-p_0.5-4,56,56,42,42,0,true,2,0,740147,14954
biology-n_77-m_1411-p_0.75-5,77,77,42,42,0,true,12,0,579677,13387
biology-n_81-m_1292-p_0.9-3,81,81,32,32,0,true,19,0,380013,10376
GD-n_62-m_287.mtx,62,62,38,38,10,true,18,0,135281,1117
usairport-n_700,592,592,154,154,107,true,502,2,23079,677
usairport-n_800,669,669,191,191,132,true,566,0,2054453,18652
