name,k_optimal,k_approx,millis
synth-n_1000-m_32410-k_200-p_0.05.txt,200,200,61
synth-n_1000-m_54531-k_50-p_0.1.txt,50,50,57
synth-n_1000-m_55974-k_70-p_0.1.txt,70,70,65
synth-n_1000-m_57929-k_100-p_0.1.txt,100,100,82
synth-n_1000-m_59867-k_120-p_0.1.txt,120,120,75
synth-n_1000-m_60934-k_150-p_0.1.txt,150,150,88
synth-n_1000-m_64710-k_200-p_0.1.txt,200,200,93
synth-n_1300-m_104213-k_200-p_0.1.txt,200,200,160
synth-n_1300-m_178841-k_50-p_0.2.txt,50,50,208
synth-n_1300-m_183367-k_70-p_0.2.txt,70,70,226
synth-n_1300-m_188195-k_100-p_0.2.txt,100,100,244
synth-n_1300-m_191963-k_120-p_0.2.txt,120,120,285
synth-n_1300-m_196174-k_150-p_0.2.txt,150,150,266
synth-n_1300-m_204142-k_200-p_0.2.txt,200,200,288
synth-n_1300-m_45241-k_50-p_0.05.txt,50,50,52
synth-n_1300-m_46137-k_70-p_0.05.txt,70,70,59
synth-n_1300-m_47847-k_100-p_0.05.txt,100,100,71
synth-n_1300-m_49172-k_120-p_0.05.txt,120,120,82
synth-n_1300-m_50340-k_150-p_0.05.txt,150,150,84
synth-n_1300-m_52952-k_200-p_0.05.txt,200,200,98
synth-n_1300-m_89669-k_50-p_0.1.txt,50,50,103
synth-n_1300-m_92255-k_70-p_0.1.txt,70,70,113
synth-n_1300-m_95352-k_100-p_0.1.txt,100,100,128
synth-n_1300-m_97421-k_120-p_0.1.txt,120,120,135
synth-n_1300-m_99879-k_150-p_0.1.txt,150,150,139
synth-n_150-m_1254-k_10-p_0.1.txt,10,10,1
synth-n_150-m_1269-k_15-p_0.1.txt,15,15,1
synth-n_150-m_1284-k_20-p_0.1.txt,20,20,1
synth-n_150-m_1385-k_25-p_0.1.txt,25,25,1
synth-n_150-m_1423-k_30-p_0.1.txt,30,33,2
synth-n_150-m_1564-k_50-p_0.1.txt,48,52,2
synth-n_150-m_2446-k_10-p_0.2.txt,10,10,2
synth-n_150-m_2502-k_15-p_0.2.txt,15,15,1
synth-n_150-m_2552-k_20-p_0.2.txt,20,23,3
synth-n_150-m_2731-k_25-p_0.2.txt,25,26,2
synth-n_150-m_2807-k_30-p_0.2.txt,30,31,2
synth-n_150-m_3040-k_50-p_0.2.txt,50,54,3
synth-n_150-m_3050-k_70-p_0.2.txt,70,95,3
synth-n_150-m_630-k_15-p_0.05.txt,15,15,1
synth-n_150-m_634-k_10-p_0.05.txt,7,7,1
synth-n_150-m_666-k_20-p_0.05.txt,15,15,1
synth-n_150-m_704-k_25-p_0.05.txt,23,23,1
synth-n_150-m_781-k_50-p_0.05.txt,32,37,2
synth-n_150-m_782-k_30-p_0.05.txt,28,29,1
synth-n_150-m_805-k_70-p_0.05.txt,43,53,1
synth-n_1600-m_137884-k_70-p_0.1.txt,70,70,189
synth-n_1600-m_141523-k_100-p_0.1.txt,100,100,186
synth-n_1600-m_143789-k_120-p_0.1.txt,120,120,205
synth-n_1600-m_147721-k_150-p_0.1.txt,150,150,219
synth-n_1600-m_152838-k_200-p_0.1.txt,200,200,258
synth-n_1600-m_273042-k_70-p_0.2.txt,70,70,375
synth-n_1600-m_279359-k_100-p_0.2.txt,100,100,396
synth-n_1600-m_284773-k_120-p_0.2.txt,120,120,413
synth-n_1600-m_290831-k_150-p_0.2.txt,150,150,488
synth-n_1600-m_301143-k_200-p_0.2.txt,200,200,480
synth-n_1600-m_68907-k_70-p_0.05.txt,70,70,99
synth-n_1600-m_70865-k_100-p_0.05.txt,100,100,104
synth-n_1600-m_72748-k_120-p_0.05.txt,120,120,121
synth-n_1600-m_74607-k_150-p_0.05.txt,150,150,130
synth-n_1600-m_77345-k_200-p_0.05.txt,200,200,148
synth-n_200-m_1076-k_10-p_0.05.txt,10,10,1
synth-n_200-m_1167-k_15-p_0.05.txt,15,15,1
synth-n_200-m_1175-k_20-p_0.05.txt,20,21,2
synth-n_200-m_1245-k_25-p_0.05.txt,24,24,2
synth-n_200-m_1266-k_30-p_0.05.txt,30,32,2
synth-n_200-m_1336-k_50-p_0.05.txt,45,49,3
synth-n_200-m_2169-k_15-p_0.1.txt,15,15,2
synth-n_200-m_2199-k_10-p_0.1.txt,10,10,2
synth-n_200-m_2293-k_20-p_0.1.txt,20,21,1
synth-n_200-m_2369-k_25-p_0.1.txt,25,25,2
synth-n_200-m_2491-k_30-p_0.1.txt,30,30,2
synth-n_200-m_2592-k_50-p_0.1.txt,50,51,3
synth-n_200-m_2772-k_70-p_0.1.txt,70,84,3
synth-n_200-m_4301-k_10-p_0.2.txt,10,10,2
synth-n_200-m_4485-k_20-p_0.2.txt,20,20,3
synth-n_200-m_4497-k_15-p_0.2.txt,15,15,3
synth-n_200-m_4763-k_25-p_0.2.txt,25,25,3
synth-n_200-m_4854-k_30-p_0.2.txt,30,31,3
synth-n_200-m_5144-k_50-p_0.2.txt,50,50,4
synth-n_200-m_5366-k_70-p_0.2.txt,70,86,8
synth-n_2000-m_106592-k_70-p_0.05.txt,70,70,156
synth-n_2000-m_108739-k_100-p_0.05.txt,100,100,183
synth-n_2000-m_110886-k_120-p_0.05.txt,120,120,194
synth-n_2000-m_112582-k_150-p_0.05.txt,150,150,203
synth-n_2000-m_117145-k_200-p_0.05.txt,200,200,234
synth-n_2000-m_212793-k_70-p_0.1.txt,70,70,318
synth-n_2000-m_217131-k_100-p_0.1.txt,100,100,330
synth-n_2000-m_220005-k_120-p_0.1.txt,120,120,358
synth-n_2000-m_225391-k_150-p_0.1.txt,150,150,374
synth-n_2000-m_233102-k_200-p_0.1.txt,200,200,407
synth-n_2000-m_422023-k_70-p_0.2.txt,70,70,682
synth-n_2000-m_430943-k_100-p_0.2.txt,100,100,723
synth-n_2000-m_435643-k_120-p_0.2.txt,120,120,699
synth-n_2000-m_444160-k_150-p_0.2.txt,150,150,775
synth-n_2000-m_457573-k_200-p_0.2.txt,200,200,858
synth-n_2300-m_142851-k_100-p_0.05.txt,100,100,243
synth-n_2300-m_144829-k_120-p_0.05.txt,120,120,269
synth-n_2300-m_147738-k_150-p_0.05.txt,150,150,278
synth-n_2300-m_152429-k_200-p_0.05.txt,200,200,302
synth-n_2300-m_284623-k_100-p_0.1.txt,100,100,476
synth-n_2300-m_286796-k_120-p_0.1.txt,120,120,539
synth-n_2300-m_292795-k_150-p_0.1.txt,150,150,501
synth-n_2300-m_302503-k_200-p_0.1.txt,200,200,580
synth-n_2300-m_563042-k_100-p_0.2.txt,100,100,984
synth-n_2300-m_569928-k_120-p_0.2.txt,120,120,1075
synth-n_2300-m_580179-k_150-p_0.2.txt,150,150,1119
synth-n_2300-m_595551-k_200-p_0.2.txt,200,200,1174
synth-n_250-m_1653-k_10-p_0.05.txt,10,10,1
synth-n_250-m_1708-k_15-p_0.05.txt,15,15,1
synth-n_250-m_1797-k_25-p_0.05.txt,25,25,2
synth-n_250-m_1806-k_20-p_0.05.txt,20,20,2
synth-n_250-m_1841-k_30-p_0.05.txt,30,30,1
synth-n_250-m_1998-k_50-p_0.05.txt,50,51,3
synth-n_250-m_2173-k_70-p_0.05.txt,69,85,3
synth-n_250-m_3237-k_10-p_0.1.txt,10,10,1
synth-n_250-m_3416-k_15-p_0.1.txt,15,15,2
synth-n_250-m_3493-k_25-p_0.1.txt,25,25,3
synth-n_250-m_3591-k_20-p_0.1.txt,20,20,3
synth-n_250-m_3730-k_30-p_0.1.txt,30,30,3
synth-n_250-m_3992-k_50-p_0.1.txt,50,51,4
synth-n_250-m_4149-k_70-p_0.1.txt,70,75,5
