name,level,cycle_size,recursive_steps
synth-n_100-m_275-k_10-p_0.05.txt,1,NaN,0
synth-n_100-m_305-k_20-p_0.05.txt,0,2.0,1
synth-n_100-m_305-k_20-p_0.05.txt,1,2.0,2
synth-n_100-m_305-k_20-p_0.05.txt,2,2.0,4
synth-n_100-m_305-k_20-p_0.05.txt,3,2.0,8
synth-n_100-m_305-k_20-p_0.05.txt,4,2.0,12
synth-n_100-m_305-k_20-p_0.05.txt,5,2.0,18
synth-n_100-m_305-k_20-p_0.05.txt,6,2.0,19
synth-n_100-m_305-k_20-p_0.05.txt,7,2.0,12
synth-n_100-m_305-k_20-p_0.05.txt,8,2.0,4
synth-n_100-m_319-k_15-p_0.05.txt,0,2.0,1
synth-n_100-m_319-k_15-p_0.05.txt,1,2.0,2
synth-n_100-m_319-k_15-p_0.05.txt,2,2.0,1
synth-n_100-m_319-k_15-p_0.05.txt,3,2.0,2
synth-n_100-m_319-k_15-p_0.05.txt,4,2.0,1
synth-n_100-m_344-k_25-p_0.05.txt,0,2.0,1
synth-n_100-m_344-k_25-p_0.05.txt,1,2.0,2
synth-n_100-m_344-k_25-p_0.05.txt,2,2.0,4
synth-n_100-m_344-k_25-p_0.05.txt,3,2.0,8
synth-n_100-m_344-k_25-p_0.05.txt,4,2.0,13
synth-n_100-m_344-k_25-p_0.05.txt,5,2.0,20
synth-n_100-m_344-k_25-p_0.05.txt,6,2.0,23
synth-n_100-m_344-k_25-p_0.05.txt,7,2.0,13
synth-n_100-m_344-k_25-p_0.05.txt,8,2.0,3
synth-n_100-m_344-k_25-p_0.05.txt,9,NaN,0
synth-n_100-m_346-k_30-p_0.05.txt,0,2.0,1
synth-n_100-m_346-k_30-p_0.05.txt,1,2.0,2
synth-n_100-m_346-k_30-p_0.05.txt,2,2.0,4
synth-n_100-m_346-k_30-p_0.05.txt,3,2.0,8
synth-n_100-m_346-k_30-p_0.05.txt,4,2.0625,16
synth-n_100-m_346-k_30-p_0.05.txt,5,2.1515152,33
synth-n_100-m_346-k_30-p_0.05.txt,6,2.0985916,71
synth-n_100-m_346-k_30-p_0.05.txt,7,2.0872483,149
synth-n_100-m_346-k_30-p_0.05.txt,8,2.127451,306
synth-n_100-m_346-k_30-p_0.05.txt,9,2.1132076,583
synth-n_100-m_346-k_30-p_0.05.txt,10,2.1216216,1036
synth-n_100-m_346-k_30-p_0.05.txt,11,2.1027436,1713
synth-n_100-m_346-k_30-p_0.05.txt,12,2.09,2600
synth-n_100-m_346-k_30-p_0.05.txt,13,2.084507,3337
synth-n_100-m_346-k_30-p_0.05.txt,14,2.0769892,3494
synth-n_100-m_346-k_30-p_0.05.txt,15,2.0809793,2124
synth-n_100-m_568-k_10-p_0.1.txt,0,2.0,1
synth-n_100-m_568-k_10-p_0.1.txt,1,NaN,0
synth-n_100-m_568-k_10-p_0.1.txt,2,NaN,0
synth-n_100-m_568-k_10-p_0.1.txt,3,NaN,0
synth-n_100-m_596-k_15-p_0.1.txt,0,2.0,1
synth-n_100-m_596-k_15-p_0.1.txt,1,2.0,2
synth-n_100-m_596-k_15-p_0.1.txt,2,2.0,4
synth-n_100-m_596-k_15-p_0.1.txt,3,2.0,7
synth-n_100-m_596-k_15-p_0.1.txt,4,2.0,12
synth-n_100-m_596-k_15-p_0.1.txt,5,2.0,20
synth-n_100-m_596-k_15-p_0.1.txt,6,2.0,25
synth-n_100-m_596-k_15-p_0.1.txt,7,2.0,31
