name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
talk-oc-n_2000,408,605,408,15,15,15,0,true,0
talk-oc-n_3000,2997,4263,2997,29,29,29,0,true,2
talk-oc-n_3066,3064,4464,3064,30,30,30,0,true,3
talk-oc-n_50,0,0,0,0,0,0,0,true,0
talk-oc-n_500,26,22,26,3,3,3,0,true,0
temporalGraph-n_100,2,1,2,0,0,0,0,true,0
temporalGraph-n_1000,622,1447,622,40,40,40,0,true,1
temporalGraph-n_1500,1343,3437,1310,61,77,77,272,true,13
temporalGraph-n_1868,1866,5517,1834,91,106,106,206,true,14
temporalGraph-n_200,50,73,50,5,5,5,0,true,0
temporalGraph-n_50,12,16,12,3,3,3,0,true,0
temporalGraph-n_500,199,368,185,11,17,17,48,true,4
ucsocial-n_100,26,30,26,5,5,5,0,true,0
ucsocial-n_1000,882,6250,798,219,258,258,357,true,15
ucsocial-n_1500,1412,12596,1033,253,435,435,2717,true,196
ucsocial-n_1902,1899,20296,1493,381,585,585,2536,true,210
ucsocial-n_200,82,138,82,23,23,23,0,true,0
ucsocial-n_50,16,18,16,3,3,3,0,true,0
ucsocial-n_500,353,1231,353,80,80,80,0,true,1
usairport-n_100,46,92,46,13,13,13,0,true,0
usairport-n_1000,910,10027,730,146,253,253,1753,true,147
usairport-n_1500,1490,25277,1115,222,428,428,5028,true,746
usairport-n_1577,1574,28236,1189,243,455,455,5373,true,655
usairport-n_200,104,308,85,19,29,29,96,true,15
usairport-n_50,10,19,5,2,5,5,16,true,4
usairport-n_500,383,3451,305,68,112,112,569,true,55
wikispeedia-n_100,26,19,26,0,0,0,0,true,0
wikispeedia-n_1000,903,3091,884,145,156,156,57,true,14
wikispeedia-n_1500,1415,7438,1114,165,271,271,1735,true,498
wikispeedia-n_200,124,190,124,14,14,14,0,true,0
wikispeedia-n_2000,1927,12519,1300,201,437,437,4341,true,9489
wikispeedia-n_3000,2973,29508,1442,224,-1,0,15382,false,90000
wikispeedia-n_4000,3996,52711,1524,247,-1,0,32156,false,90000
wikispeedia-n_4181,4179,57572,1558,255,-1,0,35141,false,90000
wikispeedia-n_50,8,5,8,0,0,0,0,true,0
wikispeedia-n_500,370,857,345,45,56,56,99,true,18
synth-n_100-m_1093-k_5-p_0.2.txt,100,1093,100,5,5,5,0,true,0
synth-n_100-m_1146-k_10-p_0.2.txt,100,1146,8,0,10,10,1065,true,34
synth-n_100-m_1151-k_15-p_0.2.txt,100,1151,3,0,15,15,1152,true,86
synth-n_100-m_1229-k_20-p_0.2.txt,100,1229,0,0,20,20,1249,true,70
synth-n_100-m_1263-k_25-p_0.2.txt,100,1263,0,0,25,25,1286,true,185
synth-n_100-m_1275-k_30-p_0.2.txt,100,1275,0,0,30,30,1300,true,517
synth-n_100-m_263-k_5-p_0.05.txt,99,263,99,5,5,5,0,true,0
synth-n_100-m_289-k_10-p_0.05.txt,99,289,86,1,4,4,48,true,6
synth-n_100-m_302-k_15-p_0.05.txt,100,302,87,4,8,8,46,true,4
synth-n_100-m_332-k_20-p_0.05.txt,100,332,57,3,14,14,194,true,34
synth-n_100-m_336-k_30-p_0.05.txt,100,336,42,1,15,15,237,true,64
synth-n_100-m_343-k_25-p_0.05.txt,100,343,43,0,14,14,254,true,53
synth-n_100-m_515-k_5-p_0.1.txt,100,515,37,0,5,5,369,true,16
synth-n_100-m_591-k_15-p_0.1.txt,100,591,17,0,15,15,544,true,73
synth-n_100-m_611-k_10-p_0.1.txt,100,611,19,0,10,10,537,true,18
synth-n_100-m_628-k_20-p_0.1.txt,100,628,12,0,20,20,580,true,767
synth-n_100-m_691-k_25-p_0.1.txt,100,691,3,0,25,25,703,true,1531
synth-n_100-m_732-k_30-p_0.1.txt,100,732,1,0,30,30,751,true,5178
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,0,0,-1,50,107055,true,10091
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,0,0,-1,70,110427,true,22504
synth-n_1000-m_114433-k_100-p_0.2.txt,1000,114433,0,0,-1,100,114531,true,83999
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,0,0,-1,120,116874,true,69497
synth-n_1000-m_119520-k_150-p_0.2.txt,1000,119520,0,0,-1,0,119666,false,90000
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,0,0,-1,0,124894,false,90000
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,13,0,50,50,26993,true,6485
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,11,0,70,70,28141,true,5327
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,5,0,100,100,29068,true,6433
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,0,0,120,120,30161,true,6061
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,0,0,150,150,30938,true,9019
synth-n_1000-m_32410-k_200-p_0.05.txt,1000,32410,0,0,-1,200,32592,true,20104
synth-n_1000-m_54531-k_50-p_0.1.txt,1000,54531,3,0,50,50,54472,true,7597
synth-n_1000-m_55974-k_70-p_0.1.txt,1000,55974,0,0,70,70,56044,true,10920
synth-n_1000-m_57929-k_100-p_0.1.txt,1000,57929,0,0,-1,100,58026,true,15998
synth-n_1000-m_59867-k_120-p_0.1.txt,1000,59867,0,0,-1,120,59981,true,23053
synth-n_1000-m_60934-k_150-p_0.1.txt,1000,60934,0,0,-1,150,61079,true,19751
synth-n_1000-m_64710-k_200-p_0.1.txt,1000,64710,0,0,-1,200,64899,true,45410
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,0,0,-1,200,104402,true,42786
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,0,0,-1,50,178890,true,50853
synth-n_1300-m_183367-k_70-p_0.2.txt,1300,183367,0,0,-1,70,183437,true,19916
synth-n_1300-m_188195-k_100-p_0.2.txt,1300,188195,0,0,-1,0,188293,false,90000
synth-n_1300-m_191963-k_120-p_0.2.txt,1300,191963,0,0,-1,0,192081,false,90000
synth-n_1300-m_196174-k_150-p_0.2.txt,1300,196174,0,0,-1,0,196322,false,90000
synth-n_1300-m_204142-k_200-p_0.2.txt,1300,204142,0,0,-1,0,204336,false,90000
synth-n_1300-m_45241-k_50-p_0.05.txt,1300,45241,9,0,50,50,45118,true,5594
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,10,0,70,70,45976,true,2209
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,2,0,-1,100,47940,true,7634
synth-n_1300-m_49172-k_120-p_0.05.txt,1300,49172,0,0,-1,120,49289,true,23148
synth-n_1300-m_50340-k_150-p_0.05.txt,1300,50340,0,0,-1,150,50483,true,15244
synth-n_1300-m_52952-k_200-p_0.05.txt,1300,52952,1,0,-1,200,53136,true,13765
synth-n_1300-m_89669-k_50-p_0.1.txt,1300,89669,2,0,-1,50,89696,true,2106
synth-n_1300-m_92255-k_70-p_0.1.txt,1300,92255,1,0,-1,70,92310,true,6027
synth-n_1300-m_95352-k_100-p_0.1.txt,1300,95352,0,0,-1,100,95451,true,16049
synth-n_1300-m_97421-k_120-p_0.1.txt,1300,97421,0,0,-1,120,97538,true,27560
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,0,0,-1,150,100028,true,17906
synth-n_150-m_1254-k_10-p_0.1.txt,150,1254,32,0,10,10,1047,true,19
synth-n_150-m_1269-k_15-p_0.1.txt,150,1269,31,2,15,15,1010,true,35
synth-n_150-m_1284-k_20-p_0.1.txt,150,1284,16,0,20,20,1217,true,67
synth-n_150-m_1385-k_25-p_0.1.txt,150,1385,9,0,25,25,1369,true,150
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,8,0,30,30,1413,true,233
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,1,0,-1,0,1598,false,90000
synth-n_150-m_1564-k_50-p_0.1.txt,150,1564,0,0,-1,48,1599,true,45624
synth-n_150-m_2446-k_10-p_0.2.txt,150,2446,6,0,10,10,2332,true,50
synth-n_150-m_2502-k_15-p_0.2.txt,150,2502,3,0,15,15,2500,true,160
synth-n_150-m_2552-k_20-p_0.2.txt,150,2552,2,0,20,20,2552,true,235
synth-n_150-m_2731-k_25-p_0.2.txt,150,2731,1,0,25,25,2752,true,342
synth-n_150-m_2807-k_30-p_0.2.txt,150,2807,0,0,30,30,2837,true,141
synth-n_150-m_3040-k_50-p_0.2.txt,150,3040,0,0,50,50,3079,true,6056
synth-n_150-m_3050-k_70-p_0.2.txt,150,3050,0,0,-1,0,3093,false,90000
synth-n_150-m_630-k_15-p_0.05.txt,150,630,74,1,15,15,395,true,29
synth-n_150-m_634-k_10-p_0.05.txt,150,634,150,7,7,7,0,true,0
synth-n_150-m_666-k_20-p_0.05.txt,150,666,56,1,15,15,507,true,17
synth-n_150-m_704-k_25-p_0.05.txt,150,704,48,1,23,23,560,true,173
synth-n_150-m_781-k_50-p_0.05.txt,150,781,25,0,32,32,749,true,8270
synth-n_150-m_782-k_30-p_0.05.txt,150,782,29,1,28,28,705,true,2080
synth-n_150-m_805-k_70-p_0.05.txt,150,805,12,0,43,0,803,false,90000
synth-n_1600-m_137884-k_70-p_0.1.txt,1600,137884,0,0,-1,0,137953,false,90000
synth-n_1600-m_141523-k_100-p_0.1.txt,1600,141523,0,0,-1,100,141623,true,8781
synth-n_1600-m_143789-k_120-p_0.1.txt,1600,143789,0,0,-1,120,143908,true,77238
synth-n_1600-m_147721-k_150-p_0.1.txt,1600,147721,0,0,-1,0,147867,false,90000
synth-n_1600-m_152838-k_200-p_0.1.txt,1600,152838,0,0,-1,0,153034,false,90000
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,0,0,-1,70,273112,true,19368
synth-n_1600-m_279359-k_100-p_0.2.txt,1600,279359,0,0,-1,0,279458,false,90000
synth-n_1600-m_284773-k_120-p_0.2.txt,1600,284773,0,0,-1,0,284891,false,90000
synth-n_1600-m_290831-k_150-p_0.2.txt,1600,290831,0,0,-1,150,290981,true,41344
synth-n_1600-m_301143-k_200-p_0.2.txt,1600,301143,0,0,-1,0,301335,false,90000
synth-n_1600-m_68907-k_70-p_0.05.txt,1600,68907,2,0,70,70,68893,true,3208
synth-n_1600-m_70865-k_100-p_0.05.txt,1600,70865,3,0,-1,100,70949,true,3933
synth-n_1600-m_72748-k_120-p_0.05.txt,1600,72748,0,0,-1,120,72866,true,17065
synth-n_1600-m_74607-k_150-p_0.05.txt,1600,74607,0,0,-1,0,74754,false,90000
synth-n_1600-m_77345-k_200-p_0.05.txt,1600,77345,0,0,-1,200,77537,true,25260
synth-n_200-m_1076-k_10-p_0.05.txt,200,1076,200,10,10,10,0,true,1
synth-n_200-m_1167-k_15-p_0.05.txt,200,1167,62,1,15,15,861,true,100
synth-n_200-m_1175-k_20-p_0.05.txt,200,1175,43,0,20,20,1025,true,456
synth-n_200-m_1245-k_25-p_0.05.txt,200,1245,48,0,24,24,1062,true,307
synth-n_200-m_1266-k_30-p_0.05.txt,200,1266,38,0,30,30,1116,true,1224
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,15,0,45,45,1310,true,20790
synth-n_200-m_1434-k_70-p_0.05.txt,200,1434,2,0,-1,0,1470,false,90000
synth-n_200-m_2169-k_15-p_0.1.txt,200,2169,25,1,15,15,1955,true,129
synth-n_200-m_2199-k_10-p_0.1.txt,200,2199,20,0,10,10,2003,true,40
synth-n_200-m_2293-k_20-p_0.1.txt,200,2293,12,0,20,20,2251,true,78
synth-n_200-m_2369-k_25-p_0.1.txt,200,2369,13,0,25,25,2300,true,70
synth-n_200-m_2491-k_30-p_0.1.txt,200,2491,8,0,30,30,2496,true,246
synth-n_200-m_2592-k_50-p_0.1.txt,200,2592,1,0,50,50,2613,true,1278
synth-n_200-m_2772-k_70-p_0.1.txt,200,2772,0,0,70,0,2826,false,90000
synth-n_200-m_4301-k_10-p_0.2.txt,200,4301,5,0,10,10,4218,true,70
synth-n_200-m_4485-k_20-p_0.2.txt,200,4485,0,0,20,20,4505,true,92
synth-n_200-m_4497-k_15-p_0.2.txt,200,4497,4,0,15,15,4464,true,173
synth-n_200-m_4763-k_25-p_0.2.txt,200,4763,0,0,25,25,4786,true,405
synth-n_200-m_4854-k_30-p_0.2.txt,200,4854,1,0,30,30,4871,true,438
synth-n_200-m_5144-k_50-p_0.2.txt,200,5144,0,0,50,50,5191,true,826
synth-n_200-m_5366-k_70-p_0.2.txt,200,5366,0,0,70,70,5423,true,44038
synth-n_2000-m_106592-k_70-p_0.05.txt,2000,106592,9,0,70,70,106412,true,20844
synth-n_2000-m_108739-k_100-p_0.05.txt,2000,108739,1,0,-1,100,108835,true,19746
synth-n_2000-m_110886-k_120-p_0.05.txt,2000,110886,2,0,-1,0,110991,false,90000
synth-n_2000-m_112582-k_150-p_0.05.txt,2000,112582,0,0,-1,150,112729,true,32662
synth-n_2000-m_117145-k_200-p_0.05.txt,2000,117145,0,0,-1,0,117338,false,90000
synth-n_2000-m_212793-k_70-p_0.1.txt,2000,212793,0,0,-1,70,212863,true,31542
synth-n_2000-m_217131-k_100-p_0.1.txt,2000,217131,0,0,-1,0,217230,false,90000
synth-n_2000-m_220005-k_120-p_0.1.txt,2000,220005,0,0,-1,0,220124,false,90000
synth-n_2000-m_225391-k_150-p_0.1.txt,2000,225391,0,0,-1,150,225541,true,17940
synth-n_2000-m_233102-k_200-p_0.1.txt,2000,233102,0,0,-1,0,233299,false,90000
synth-n_2000-m_422023-k_70-p_0.2.txt,2000,422023,0,0,-1,0,422092,false,90000
synth-n_2000-m_430943-k_100-p_0.2.txt,2000,430943,0,0,-1,100,431043,true,51201
synth-n_2000-m_435643-k_120-p_0.2.txt,2000,435643,0,0,-1,120,435763,true,59877
synth-n_2000-m_444160-k_150-p_0.2.txt,2000,444160,0,0,-1,0,444308,false,90000
synth-n_2000-m_457573-k_200-p_0.2.txt,2000,457573,0,0,-1,0,457770,false,90000
synth-n_2300-m_142851-k_100-p_0.05.txt,2300,142851,1,0,-1,100,142940,true,12698
synth-n_2300-m_144829-k_120-p_0.05.txt,2300,144829,2,0,-1,120,144933,true,38981
synth-n_2300-m_147738-k_150-p_0.05.txt,2300,147738,1,0,-1,150,147881,true,32886
synth-n_2300-m_152429-k_200-p_0.05.txt,2300,152429,0,0,-1,200,152624,true,54792
synth-n_2300-m_284623-k_100-p_0.1.txt,2300,284623,0,0,-1,100,284723,true,34123
synth-n_2300-m_286796-k_120-p_0.1.txt,2300,286796,0,0,-1,120,286916,true,27728
synth-n_2300-m_292795-k_150-p_0.1.txt,2300,292795,0,0,-1,0,292944,false,90000
synth-n_2300-m_302503-k_200-p_0.1.txt,2300,302503,0,0,-1,0,302698,false,90000
synth-n_2300-m_563042-k_100-p_0.2.txt,2300,563042,0,0,-1,0,563142,false,90000
synth-n_2300-m_569928-k_120-p_0.2.txt,2300,569928,0,0,-1,0,570047,false,90000
synth-n_2300-m_580179-k_150-p_0.2.txt,2300,580179,0,0,-1,0,580326,false,90000
synth-n_2300-m_595551-k_200-p_0.2.txt,2300,595551,0,0,-1,0,595751,false,90000
synth-n_250-m_1653-k_10-p_0.05.txt,250,1653,250,10,10,10,0,true,1
synth-n_250-m_1708-k_15-p_0.05.txt,250,1708,79,1,15,15,1218,true,22
synth-n_250-m_1797-k_25-p_0.05.txt,250,1797,39,0,25,25,1682,true,106
synth-n_250-m_1806-k_20-p_0.05.txt,250,1806,67,1,20,20,1373,true,351
synth-n_250-m_1841-k_30-p_0.05.txt,250,1841,32,0,30,30,1720,true,925
synth-n_250-m_1998-k_50-p_0.05.txt,250,1998,12,0,50,50,1974,true,2334
synth-n_250-m_2173-k_70-p_0.05.txt,250,2173,9,0,69,0,2197,false,90000
synth-n_250-m_2260-k_100-p_0.05.txt,250,2260,0,0,-1,0,2314,false,90000
synth-n_250-m_2350-k_120-p_0.05.txt,250,2350,0,0,-1,0,2411,false,90000
synth-n_250-m_3237-k_10-p_0.1.txt,250,3237,23,0,10,10,2961,true,51
synth-n_250-m_3416-k_15-p_0.1.txt,250,3416,20,0,15,15,3134,true,65
synth-n_250-m_3493-k_25-p_0.1.txt,250,3493,13,1,25,25,3354,true,192
synth-n_250-m_3591-k_20-p_0.1.txt,250,3591,9,0,20,20,3531,true,109
synth-n_250-m_3730-k_30-p_0.1.txt,250,3730,4,0,30,30,3694,true,76
synth-n_250-m_3992-k_50-p_0.1.txt,250,3992,0,0,50,50,4036,true,476
synth-n_250-m_4149-k_70-p_0.1.txt,250,4149,0,0,70,70,4211,true,1572
synth-n_250-m_4386-k_100-p_0.1.txt,250,4386,0,0,-1,0,4457,false,90000
synth-n_250-m_4530-k_120-p_0.1.txt,250,4530,0,0,-1,0,4599,false,90000
synth-n_250-m_6567-k_10-p_0.2.txt,250,6567,6,0,10,10,6483,true,117
synth-n_250-m_6839-k_20-p_0.2.txt,250,6839,3,0,20,20,6798,true,393
synth-n_250-m_6880-k_15-p_0.2.txt,250,6880,2,0,15,15,6877,true,124
synth-n_250-m_7102-k_25-p_0.2.txt,250,7102,1,0,25,25,7117,true,133
synth-n_250-m_7321-k_30-p_0.2.txt,250,7321,1,0,30,30,7336,true,732
synth-n_250-m_8019-k_50-p_0.2.txt,250,8019,0,0,50,50,8064,true,915
synth-n_250-m_8255-k_70-p_0.2.txt,250,8255,0,0,70,70,8318,true,3689
synth-n_250-m_8674-k_100-p_0.2.txt,250,8674,0,0,100,0,8749,false,90000
synth-n_250-m_8784-k_120-p_0.2.txt,250,8784,0,0,-1,0,8864,false,90000
synth-n_2600-m_181265-k_100-p_0.05.txt,2600,181265,2,0,-1,0,181350,false,90000
synth-n_2600-m_183371-k_120-p_0.05.txt,2600,183371,0,0,-1,0,183489,false,90000
synth-n_2600-m_186921-k_150-p_0.05.txt,2600,186921,1,0,-1,0,187062,false,90000
synth-n_2600-m_190932-k_200-p_0.05.txt,2600,190932,0,0,-1,0,191125,false,90000
synth-n_2600-m_360584-k_100-p_0.1.txt,2600,360584,0,0,-1,100,360684,true,36656
synth-n_2600-m_364394-k_120-p_0.1.txt,2600,364394,0,0,-1,0,364513,false,90000
synth-n_2600-m_370561-k_150-p_0.1.txt,2600,370561,0,0,-1,0,370709,false,90000
synth-n_2600-m_380919-k_200-p_0.1.txt,2600,380919,0,0,-1,0,381116,false,90000
synth-n_2600-m_716555-k_100-p_0.2.txt,2600,716555,0,0,-1,0,716655,false,90000
synth-n_2600-m_722675-k_120-p_0.2.txt,2600,722675,0,0,-1,0,722795,false,90000
synth-n_2600-m_735701-k_150-p_0.2.txt,2600,735701,0,0,-1,0,735850,false,90000
synth-n_2600-m_752513-k_200-p_0.2.txt,2600,752513,0,0,-1,0,752712,false,90000
synth-n_300-m_10021-k_20-p_0.2.txt,300,10021,1,0,20,20,9979,true,699
synth-n_300-m_10113-k_25-p_0.2.txt,300,10113,1,0,25,25,10129,true,282
synth-n_300-m_10205-k_30-p_0.2.txt,300,10205,0,0,30,30,10235,true,246
synth-n_300-m_10954-k_50-p_0.2.txt,300,10954,0,0,50,50,11002,true,1386
synth-n_300-m_11628-k_70-p_0.2.txt,300,11628,0,0,70,70,11689,true,2730
synth-n_300-m_12194-k_100-p_0.2.txt,300,12194,0,0,100,100,12281,true,86106
synth-n_300-m_12407-k_120-p_0.2.txt,300,12407,0,0,120,0,12501,false,90000
synth-n_300-m_2373-k_15-p_0.05.txt,300,2373,70,0,15,15,1937,true,36
synth-n_300-m_2470-k_20-p_0.05.txt,300,2470,74,1,20,20,2046,true,49
synth-n_300-m_2597-k_25-p_0.05.txt,300,2597,48,0,25,25,2337,true,215
synth-n_300-m_2657-k_30-p_0.05.txt,300,2657,30,0,30,30,2563,true,236
synth-n_300-m_2835-k_50-p_0.05.txt,300,2835,13,0,50,50,2800,true,1068
synth-n_300-m_2943-k_70-p_0.05.txt,300,2943,9,0,70,70,2947,true,23302
synth-n_300-m_3132-k_100-p_0.05.txt,300,3132,1,0,-1,0,3198,false,90000
synth-n_300-m_3265-k_120-p_0.05.txt,300,3265,1,0,-1,0,3330,false,90000
synth-n_300-m_4857-k_15-p_0.1.txt,300,4857,26,0,15,15,4468,true,148
synth-n_300-m_4934-k_25-p_0.1.txt,300,4934,11,0,25,25,4921,true,207
synth-n_300-m_4954-k_20-p_0.1.txt,300,4954,18,0,20,20,4772,true,144
synth-n_300-m_5319-k_30-p_0.1.txt,300,5319,6,0,30,30,5266,true,309
synth-n_300-m_5550-k_50-p_0.1.txt,300,5550,1,0,50,50,5567,true,350
synth-n_300-m_5939-k_70-p_0.1.txt,300,5939,0,0,70,70,6005,true,739
synth-n_300-m_6233-k_100-p_0.1.txt,300,6233,0,0,100,100,6314,true,80567
synth-n_300-m_6319-k_120-p_0.1.txt,300,6319,0,0,120,0,6406,false,90000
synth-n_300-m_9556-k_15-p_0.2.txt,300,9556,1,0,15,15,9562,true,211
synth-n_3000-m_240581-k_120-p_0.05.txt,3000,240581,0,0,-1,0,240699,false,90000
synth-n_3000-m_245845-k_150-p_0.05.txt,3000,245845,0,0,-1,150,245995,true,29985
synth-n_3000-m_251178-k_200-p_0.05.txt,3000,251178,0,0,-1,0,251374,false,90000
synth-n_3000-m_480800-k_120-p_0.1.txt,3000,480800,0,0,-1,120,480920,true,77085
synth-n_3000-m_488450-k_150-p_0.1.txt,3000,488450,0,0,-1,0,488599,false,90000
synth-n_3000-m_498304-k_200-p_0.1.txt,3000,498304,0,0,-1,0,498504,false,90000
