name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
out.cfinder-google-n_4000,3184,11463,852,852,555,true,2768,0,496,6,0
out.cfinder-google-n_50,8,8,7,7,7,true,8,0,0,0,0
out.cfinder-google-n_500,119,142,37,37,35,true,116,0,3,0,0
out.cfinder-google-n_5000,4366,19192,1200,1200,740,true,3722,0,781,16,1
out.cfinder-google-n_6000,5853,31372,1581,1581,901,true,4916,0,1264,21,2
out.cfinder-google-n_7000,6186,31254,1928,1928,1091,true,5038,0,1568,19,3
out.cfinder-google-n_8000,7228,48521,2338,1318,1204,false,5596,0,67106,90000,70847
out.cfinder-google-n_9000,8186,53109,2698,2698,1380,true,6392,0,3693,75,22
talk-oc-n_100,0,0,0,0,0,true,0,0,0,0,0
talk-oc-n_1000,589,757,7,7,7,true,589,0,0,0,0
talk-oc-n_1500,284,489,15,15,15,true,284,0,0,0,0
talk-oc-n_200,81,78,0,0,0,true,81,0,0,0,0
talk-oc-n_2000,408,605,15,15,15,true,408,0,0,0,0
talk-oc-n_3000,2997,4263,29,29,29,true,2997,0,0,0,0
talk-oc-n_3066,3064,4464,30,30,30,true,3064,0,0,1,0
talk-oc-n_50,0,0,0,0,0,true,0,0,0,0,0
talk-oc-n_500,26,22,3,3,3,true,26,0,0,0,0
temporalGraph-n_100,2,1,0,0,0,true,2,0,0,0,0
temporalGraph-n_1000,622,1447,40,40,40,true,622,0,0,0,0
temporalGraph-n_1500,1343,3437,77,77,61,true,1310,0,13,1,0
temporalGraph-n_1868,1866,5517,106,106,91,true,1834,0,12,2,0
temporalGraph-n_200,50,73,5,5,5,true,50,0,0,0,0
temporalGraph-n_50,12,16,3,3,3,true,12,0,0,0,0
temporalGraph-n_500,199,368,17,17,11,true,185,0,3,0,0
ucsocial-n_100,26,30,5,5,5,true,26,0,0,0,0
ucsocial-n_1000,882,6250,258,258,219,true,798,0,6,3,0
ucsocial-n_1500,1412,12596,435,435,253,true,1033,0,569,1653,1082
ucsocial-n_1902,1899,20296,585,585,381,true,1493,0,7793,13912,10303
ucsocial-n_200,82,138,23,23,23,true,82,0,0,0,0
ucsocial-n_50,16,18,3,3,3,true,16,0,0,0,0
ucsocial-n_500,353,1231,80,80,80,true,353,0,0,0,0
usairport-n_100,46,92,13,13,13,true,46,0,0,1,0
usairport-n_1000,910,10027,253,253,146,true,730,0,19442,1622,988
usairport-n_1500,1490,25277,428,428,222,true,1115,0,428661,48456,30670
usairport-n_1577,1574,28236,455,455,243,true,1189,0,694284,87108,55861
usairport-n_200,104,308,29,29,19,true,85,0,6,0,0
usairport-n_50,10,19,5,5,2,true,5,0,3,0,0
usairport-n_500,383,3451,112,112,68,true,305,0,85,12,5
wikispeedia-n_100,26,19,0,0,0,true,26,0,0,0,0
wikispeedia-n_1000,903,3091,156,156,145,true,884,0,32,1,0
wikispeedia-n_1500,1415,7438,271,269,165,false,1114,0,68819,90000,79708
wikispeedia-n_200,124,190,14,14,14,true,124,0,0,0,0
wikispeedia-n_2000,1927,12519,437,411,201,false,1300,0,3610,90001,80732
wikispeedia-n_3000,2973,29508,-1,706,224,false,1442,0,393,90250,78390
wikispeedia-n_4000,3996,52711,-1,1004,247,false,1524,0,132,90004,75417
wikispeedia-n_4181,4179,57572,-1,1063,255,false,1558,0,111,90014,75499
wikispeedia-n_50,8,5,0,0,0,true,8,0,0,0,0
wikispeedia-n_500,370,857,56,56,45,true,345,0,10,0,0
synth-n_100-m_1093-k_5-p_0.2.txt,100,1093,5,5,5,true,100,0,0,0,0
synth-n_100-m_1146-k_10-p_0.2.txt,100,1146,10,10,0,true,8,0,8,2,1
synth-n_100-m_1151-k_15-p_0.2.txt,100,1151,15,15,0,true,3,0,17,8,6
synth-n_100-m_1229-k_20-p_0.2.txt,100,1229,20,20,0,true,0,0,15,13,6
synth-n_100-m_1263-k_25-p_0.2.txt,100,1263,25,25,0,true,0,0,44,51,33
synth-n_100-m_1275-k_30-p_0.2.txt,100,1275,30,30,0,true,0,0,148,212,162
synth-n_100-m_263-k_5-p_0.05.txt,99,263,5,5,5,true,99,0,0,0,0
synth-n_100-m_289-k_10-p_0.05.txt,99,289,4,4,1,true,86,0,4,0,0
synth-n_100-m_302-k_15-p_0.05.txt,100,302,8,8,4,true,87,0,2,0,0
synth-n_100-m_332-k_20-p_0.05.txt,100,332,14,14,3,true,57,0,12,1,0
synth-n_100-m_336-k_30-p_0.05.txt,100,336,15,15,1,true,42,0,85,15,12
synth-n_100-m_343-k_25-p_0.05.txt,100,343,14,14,0,true,43,0,74,9,6
synth-n_100-m_515-k_5-p_0.1.txt,100,515,5,5,0,true,37,0,3,0,0
synth-n_100-m_591-k_15-p_0.1.txt,100,591,15,15,0,true,17,0,50,17,13
synth-n_100-m_611-k_10-p_0.1.txt,100,611,10,10,0,true,19,0,8,1,0
synth-n_100-m_628-k_20-p_0.1.txt,100,628,20,20,0,true,12,0,85,33,28
synth-n_100-m_691-k_25-p_0.1.txt,100,691,25,25,0,true,3,0,485,269,223
synth-n_100-m_732-k_30-p_0.1.txt,100,732,30,30,0,true,1,0,9078,4845,4032
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,-1,50,0,true,0,0,47,13265,7435
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,-1,70,0,true,0,0,68,22394,13574
synth-n_1000-m_114433-k_100-p_0.2.txt,1000,114433,-1,100,0,true,0,0,104,46102,31963
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,-1,120,0,true,0,0,154,87719,65499
synth-n_1000-m_119520-k_150-p_0.2.txt,1000,119520,-1,148,0,false,0,0,80,90259,74805
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,-1,194,0,false,0,0,75,91246,76811
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,50,50,0,true,13,0,45,1177,1117
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,70,70,0,true,11,0,73,3311,2631
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,100,100,0,true,5,0,236,28369,20775
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,120,120,0,true,0,0,171,20173,13988
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,150,149,0,false,0,0,378,90067,69110
synth-n_1000-m_32410-k_200-p_0.05.txt,1000,32410,-1,189,0,false,0,0,409,93476,82049
synth-n_1000-m_54531-k_50-p_0.1.txt,1000,54531,50,50,0,true,3,0,46,4625,2482
synth-n_1000-m_55974-k_70-p_0.1.txt,1000,55974,70,70,0,true,0,0,61,7990,4395
synth-n_1000-m_57929-k_100-p_0.1.txt,1000,57929,-1,100,0,true,0,0,181,46626,33134
synth-n_1000-m_59867-k_120-p_0.1.txt,1000,59867,-1,120,0,true,0,0,247,81971,62799
synth-n_1000-m_60934-k_150-p_0.1.txt,1000,60934,-1,149,0,false,0,0,227,96129,84588
synth-n_1000-m_64710-k_200-p_0.1.txt,1000,64710,-1,192,0,false,0,0,142,90326,76697
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,-1,193,0,false,0,0,64,99493,86934
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,-1,50,0,true,0,0,58,38498,23350
synth-n_1300-m_183367-k_70-p_0.2.txt,1300,183367,-1,70,0,true,0,0,66,46167,29327
synth-n_1300-m_188195-k_100-p_0.2.txt,1300,188195,-1,100,0,false,0,0,71,90061,67651
synth-n_1300-m_191963-k_120-p_0.2.txt,1300,191963,-1,119,0,false,0,0,50,90007,71954
synth-n_1300-m_196174-k_150-p_0.2.txt,1300,196174,-1,149,0,false,0,0,40,90849,75594
synth-n_1300-m_204142-k_200-p_0.2.txt,1300,204142,-1,195,0,false,0,0,26,91687,80956
synth-n_1300-m_45241-k_50-p_0.05.txt,1300,45241,50,50,0,true,9,0,69,4654,3951
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,70,70,0,true,10,0,65,5285,3617
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,-1,100,0,true,2,0,123,21708,14231
synth-n_1300-m_49172-k_120-p_0.05.txt,1300,49172,-1,120,0,true,0,0,199,51858,36763
synth-n_1300-m_50340-k_150-p_0.05.txt,1300,50340,-1,147,0,false,0,0,228,90045,67409
synth-n_1300-m_52952-k_200-p_0.05.txt,1300,52952,-1,196,0,false,1,0,139,92438,75479
synth-n_1300-m_89669-k_50-p_0.1.txt,1300,89669,-1,50,0,true,2,0,48,8842,5030
synth-n_1300-m_92255-k_70-p_0.1.txt,1300,92255,-1,70,0,true,1,0,68,17373,9181
synth-n_1300-m_95352-k_100-p_0.1.txt,1300,95352,-1,100,0,true,0,0,160,66763,42647
synth-n_1300-m_97421-k_120-p_0.1.txt,1300,97421,-1,120,0,true,0,0,162,80228,57978
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,-1,150,0,true,0,0,152,61362,41225
synth-n_150-m_1254-k_10-p_0.1.txt,150,1254,10,10,0,true,32,0,7,3,1
synth-n_150-m_1269-k_15-p_0.1.txt,150,1269,15,15,2,true,31,0,10,4,3
synth-n_150-m_1284-k_20-p_0.1.txt,150,1284,20,20,0,true,16,0,17,7,6
synth-n_150-m_1385-k_25-p_0.1.txt,150,1385,25,25,0,true,9,0,40,36,31
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,30,30,0,true,8,0,171,316,257
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,-1,52,0,false,1,0,44308,90000,79213
synth-n_150-m_1564-k_50-p_0.1.txt,150,1564,-1,48,0,true,0,0,10715,20783,18061
synth-n_150-m_2446-k_10-p_0.2.txt,150,2446,10,10,0,true,6,0,9,6,4
synth-n_150-m_2502-k_15-p_0.2.txt,150,2502,15,15,0,true,3,0,20,22,17
synth-n_150-m_2552-k_20-p_0.2.txt,150,2552,20,20,0,true,2,0,48,94,69
synth-n_150-m_2731-k_25-p_0.2.txt,150,2731,25,25,0,true,1,0,36,77,47
synth-n_150-m_2807-k_30-p_0.2.txt,150,2807,30,30,0,true,0,0,37,70,54
synth-n_150-m_3040-k_50-p_0.2.txt,150,3040,50,50,0,true,0,0,419,1500,1154
synth-n_150-m_3050-k_70-p_0.2.txt,150,3050,-1,68,0,false,0,0,37263,90000,76662
synth-n_150-m_630-k_15-p_0.05.txt,150,630,15,15,1,true,74,0,55,12,9
synth-n_150-m_634-k_10-p_0.05.txt,150,634,7,7,7,true,150,0,0,0,0
synth-n_150-m_666-k_20-p_0.05.txt,150,666,15,15,1,true,56,0,10,2,1
synth-n_150-m_704-k_25-p_0.05.txt,150,704,23,23,1,true,48,0,588,327,274
synth-n_150-m_781-k_50-p_0.05.txt,150,781,32,32,0,true,25,0,79540,61924,50974
synth-n_150-m_782-k_30-p_0.05.txt,150,782,28,28,1,true,29,0,8010,4601,3711
synth-n_150-m_805-k_70-p_0.05.txt,150,805,43,35,0,false,12,0,67012,90000,73674
synth-n_1600-m_137884-k_70-p_0.1.txt,1600,137884,-1,70,0,true,0,0,77,37995,23264
synth-n_1600-m_141523-k_100-p_0.1.txt,1600,141523,-1,100,0,true,0,0,94,48622,30188
synth-n_1600-m_143789-k_120-p_0.1.txt,1600,143789,-1,120,0,false,0,0,95,90069,64737
synth-n_1600-m_147721-k_150-p_0.1.txt,1600,147721,-1,148,0,false,0,0,49,90482,75745
synth-n_1600-m_152838-k_200-p_0.1.txt,1600,152838,-1,197,0,false,0,0,48,115862,101664
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,-1,70,0,true,0,0,68,86743,53721
synth-n_1600-m_279359-k_100-p_0.2.txt,1600,279359,-1,100,0,false,0,0,34,90420,70269
synth-n_1600-m_284773-k_120-p_0.2.txt,1600,284773,-1,118,0,false,0,0,33,92076,72369
synth-n_1600-m_290831-k_150-p_0.2.txt,1600,290831,-1,150,0,false,0,0,28,92396,74913
synth-n_1600-m_301143-k_200-p_0.2.txt,1600,301143,-1,193,0,false,0,0,22,129808,114089
synth-n_1600-m_68907-k_70-p_0.05.txt,1600,68907,70,70,0,true,2,0,62,10807,5744
