name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
advotogo-n_100,26,31,0,0,2,2,2,true,50
advotogo-n_1000,624,1883,0,0,127,127,272,true,4458
advotogo-n_1500,1110,4342,0,0,215,215,555,true,39951
advotogo-n_200,63,68,0,0,9,9,10,true,3
advotogo-n_2000,1556,6786,0,0,297,0,539,false,90000
advotogo-n_3000,2657,16140,0,0,548,0,131,false,90000
advotogo-n_4000,3775,29831,0,0,863,0,53,false,90000
advotogo-n_50,0,0,0,0,0,0,0,true,0
advotogo-n_500,247,446,0,0,39,39,55,true,99
advotogo-n_5000,4962,43776,0,0,1160,0,27,false,90000
advotogo-n_5159,5155,47135,0,0,1208,0,24,false,90000
bitcoinalpha-n_100,5,7,0,0,2,2,3,true,1
bitcoinalpha-n_1000,545,1878,0,0,136,136,479,true,4070
bitcoinalpha-n_1500,957,3890,0,0,261,261,872,true,28673
bitcoinalpha-n_200,50,78,0,0,11,11,18,true,3
bitcoinalpha-n_2000,1450,6295,0,0,393,0,927,false,90000
bitcoinalpha-n_3000,2659,15429,0,0,658,0,202,false,90000
bitcoinalpha-n_3785,3783,24186,0,0,921,0,92,false,90000
bitcoinalpha-n_50,5,5,0,0,2,2,2,true,1
bitcoinalpha-n_500,202,465,0,0,54,54,129,true,106
blogs-n_100,67,170,0,0,8,8,14,true,4
blogs-n_1000,977,12749,0,0,196,196,922,true,35410
blogs-n_1227,1224,19022,0,0,262,0,1368,false,90000
blogs-n_200,138,426,0,0,16,16,33,true,19
blogs-n_50,34,88,0,0,6,6,10,true,2
blogs-n_500,430,2918,0,0,76,76,293,true,1690
chess-n_100,13,7,0,0,0,0,0,true,0
chess-n_1000,613,1295,0,0,62,62,141,true,2890
chess-n_1500,1075,2561,0,0,127,127,388,true,30283
chess-n_200,58,47,0,0,2,2,2,true,2
chess-n_2000,1531,4343,0,0,204,0,556,false,90000
chess-n_3000,2586,11156,0,0,-1,0,234,false,90000
chess-n_4000,3620,17404,0,0,-1,0,124,false,90000
chess-n_50,3,2,0,0,0,0,0,true,0
chess-n_500,241,319,0,0,17,17,29,true,64
chess-n_5000,4752,27339,0,0,-1,0,71,false,90000
chess-n_6000,5854,40749,0,0,-1,0,41,false,90000
chess-n_7000,6966,55133,0,0,-1,0,31,false,90000
chess-n_7303,7301,60046,0,0,-1,0,28,false,90000
ChicagoRegional-n_100,2,2,0,0,1,1,1,true,2
ChicagoRegional-n_1000,224,245,0,0,92,92,112,true,68
ChicagoRegional-n_10000,9579,23005,0,0,4193,0,61,false,90000
ChicagoRegional-n_1500,457,485,0,0,181,181,210,true,579
ChicagoRegional-n_200,13,12,0,0,5,5,5,true,1
ChicagoRegional-n_2000,777,888,0,0,307,307,384,true,3585
