name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
out.cfinder-google-n_2000,1384,3224,-1,307,244,false,1294,0,63,9,4
out.cfinder-google-n_3000,2127,5857,-1,574,400,false,1880,0,172,25,11
out.cfinder-google-n_4000,3184,11463,-1,852,555,false,2768,0,297,39,17
out.cfinder-google-n_50,8,8,-1,7,7,false,8,0,0,0,0
out.cfinder-google-n_500,119,142,-1,37,35,false,116,0,2,0,0
out.cfinder-google-n_5000,4366,19192,-1,1200,740,false,3722,0,455,67,27
out.cfinder-google-n_6000,5853,31372,-1,1581,901,false,4916,0,689,94,38
out.cfinder-google-n_7000,6186,31254,-1,1928,1091,false,5038,0,803,91,40
out.cfinder-google-n_8000,7228,48521,-1,2338,1204,false,5596,0,1086,182,61
out.cfinder-google-n_9000,8186,53109,-1,2698,1380,false,6392,0,1272,157,64
talk-oc-n_100,0,0,-1,0,0,false,0,0,0,0,0
talk-oc-n_1000,589,757,-1,7,7,false,589,0,0,0,0
talk-oc-n_1500,284,489,-1,15,15,false,284,0,0,0,0
talk-oc-n_200,81,78,-1,0,0,false,81,0,0,0,0
talk-oc-n_2000,408,605,-1,15,15,false,408,0,0,0,0
talk-oc-n_3000,2997,4263,-1,29,29,false,2997,0,0,1,0
talk-oc-n_3066,3064,4464,-1,30,30,false,3064,0,0,0,0
talk-oc-n_50,0,0,-1,0,0,false,0,0,0,0,0
talk-oc-n_500,26,22,-1,3,3,false,26,0,0,0,0
temporalGraph-n_100,2,1,-1,0,0,false,2,0,0,0,0
temporalGraph-n_1000,622,1447,-1,40,40,false,622,0,0,0,0
temporalGraph-n_1500,1343,3437,-1,77,61,false,1310,0,11,2,0
temporalGraph-n_1868,1866,5517,-1,106,91,false,1834,0,9,2,0
temporalGraph-n_200,50,73,-1,5,5,false,50,0,0,0,0
temporalGraph-n_50,12,16,-1,3,3,false,12,0,0,0,0
temporalGraph-n_500,199,368,-1,17,11,false,185,0,3,1,0
ucsocial-n_100,26,30,-1,5,5,false,26,0,0,0,0
ucsocial-n_1000,882,6250,-1,258,219,false,798,0,5,4,0
ucsocial-n_1500,1412,12596,-1,435,253,false,1033,0,191,382,27
ucsocial-n_1902,1899,20296,-1,585,381,false,1493,0,1679,1907,209
ucsocial-n_200,82,138,-1,23,23,false,82,0,0,0,0
ucsocial-n_50,16,18,-1,3,3,false,16,0,0,0,0
ucsocial-n_500,353,1231,-1,80,80,false,353,0,0,0,0
usairport-n_100,46,92,-1,13,13,false,46,0,0,0,0
usairport-n_1000,910,10027,-1,253,146,false,730,0,210,60,6
usairport-n_1500,1490,25277,-1,428,222,false,1115,0,5489,1151,139
usairport-n_1577,1574,28236,-1,455,243,false,1189,0,42743,5517,913
usairport-n_200,104,308,-1,29,19,false,85,0,6,0,0
usairport-n_50,10,19,-1,5,2,false,5,0,2,0,0
usairport-n_500,383,3451,-1,112,68,false,305,0,59,9,1
wikispeedia-n_100,26,19,-1,0,0,false,26,0,0,0,0
wikispeedia-n_1000,903,3091,-1,156,145,false,884,0,20,1,0
wikispeedia-n_1500,1415,7438,-1,270,165,false,1114,0,375579,180000,68195
wikispeedia-n_200,124,190,-1,14,14,false,124,0,0,0,0
wikispeedia-n_2000,1927,12519,-1,427,201,false,1300,0,100878,180000,26677
wikispeedia-n_3000,2973,29508,-1,748,224,false,1442,0,7795,180013,7439
wikispeedia-n_4000,3996,52711,-1,1078,247,false,1524,0,1803,180006,4163
wikispeedia-n_4181,4179,57572,-1,1137,255,false,1558,0,1678,180053,3739
wikispeedia-n_50,8,5,-1,0,0,false,8,0,0,0,0
wikispeedia-n_500,370,857,-1,56,45,false,345,0,7,1,0
synth-n_100-m_1093-k_5-p_0.2.txt,100,1093,-1,5,5,false,100,0,0,0,0
synth-n_100-m_1146-k_10-p_0.2.txt,100,1146,-1,10,0,false,8,0,8,2,0
synth-n_100-m_1151-k_15-p_0.2.txt,100,1151,-1,15,0,false,3,0,12,2,1
synth-n_100-m_1229-k_20-p_0.2.txt,100,1229,-1,20,0,false,0,0,15,14,1
synth-n_100-m_1263-k_25-p_0.2.txt,100,1263,-1,25,0,false,0,0,38,19,3
synth-n_100-m_1275-k_30-p_0.2.txt,100,1275,-1,30,0,false,0,0,255,108,20
