name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis
synth-n_140-m_2205-k_15-p_0.2.txt,140,2205,15,15,0,true,2,11,4,463
synth-n_140-m_2299-k_20-p_0.2.txt,140,2299,20,20,0,true,3,5,21,499
synth-n_140-m_2379-k_25-p_0.2.txt,140,2379,25,25,0,true,1,3,41,557
synth-n_140-m_2487-k_30-p_0.2.txt,140,2487,30,30,0,true,1,0,149,660
synth-n_140-m_508-k_2-p_0.05.txt,140,508,2,2,2,true,140,0,0,0
synth-n_140-m_511-k_4-p_0.05.txt,140,511,2,2,2,true,140,0,0,0
synth-n_140-m_511-k_6-p_0.05.txt,140,511,6,6,6,true,140,0,0,0
synth-n_140-m_531-k_8-p_0.05.txt,140,531,7,7,7,true,140,0,0,0
synth-n_140-m_542-k_15-p_0.05.txt,140,542,13,13,2,true,87,0,33,19
synth-n_140-m_547-k_10-p_0.05.txt,140,547,8,8,8,true,140,0,0,0
synth-n_140-m_625-k_25-p_0.05.txt,140,625,22,22,0,true,44,0,252,129
synth-n_140-m_632-k_20-p_0.05.txt,140,632,16,16,1,true,59,0,39,68
synth-n_140-m_632-k_30-p_0.05.txt,140,632,26,26,1,true,36,0,13863,1090
synth-n_160-m_1318-k_4-p_0.1.txt,160,1318,4,4,4,true,160,0,0,0
synth-n_160-m_1324-k_2-p_0.1.txt,160,1324,2,2,2,true,160,0,0,0
synth-n_160-m_1346-k_6-p_0.1.txt,160,1346,6,6,6,true,160,0,0,0
synth-n_160-m_1409-k_10-p_0.1.txt,160,1409,10,10,1,true,35,7,3,262
synth-n_160-m_1412-k_8-p_0.1.txt,160,1412,8,8,0,true,18,7,2,374
synth-n_160-m_1447-k_15-p_0.1.txt,160,1447,15,15,1,true,26,4,11,329
synth-n_160-m_1523-k_20-p_0.1.txt,160,1523,20,20,0,true,13,0,34,461
synth-n_160-m_1595-k_25-p_0.1.txt,160,1595,25,25,0,true,7,0,40,559
synth-n_160-m_1648-k_30-p_0.1.txt,160,1648,30,30,0,true,6,0,466,785
synth-n_160-m_2577-k_2-p_0.2.txt,160,2577,2,2,2,true,160,0,0,1
synth-n_160-m_2611-k_4-p_0.2.txt,160,2611,4,4,4,true,160,0,0,0
synth-n_160-m_2705-k_6-p_0.2.txt,160,2705,6,6,0,true,7,6,1,512
synth-n_160-m_2720-k_10-p_0.2.txt,160,2720,10,10,0,true,10,10,1,545
synth-n_160-m_2776-k_8-p_0.2.txt,160,2776,8,8,0,true,13,8,1,491
synth-n_160-m_2910-k_15-p_0.2.txt,160,2910,15,15,0,true,3,13,3,709
synth-n_160-m_3006-k_20-p_0.2.txt,160,3006,20,20,0,true,2,10,11,771
synth-n_160-m_3034-k_25-p_0.2.txt,160,3034,25,25,0,true,2,4,33,834
synth-n_160-m_3134-k_30-p_0.2.txt,160,3134,30,30,0,true,0,1,62,908
synth-n_160-m_641-k_2-p_0.05.txt,160,641,2,2,2,true,160,0,0,0
synth-n_160-m_663-k_4-p_0.05.txt,160,663,4,4,4,true,160,0,0,1
synth-n_160-m_683-k_8-p_0.05.txt,160,683,6,6,1,true,115,4,3,12
synth-n_160-m_693-k_6-p_0.05.txt,160,693,6,6,6,true,160,0,0,0
synth-n_160-m_731-k_10-p_0.05.txt,160,731,10,10,0,true,73,3,6,77
synth-n_160-m_743-k_20-p_0.05.txt,160,743,19,19,1,true,63,1,78,118
synth-n_160-m_746-k_15-p_0.05.txt,160,746,14,14,2,true,73,0,35,79
synth-n_160-m_800-k_30-p_0.05.txt,160,800,27,27,1,true,36,0,3705,747
synth-n_160-m_810-k_25-p_0.05.txt,160,810,25,25,0,true,44,0,768,334
synth-n_180-m_1022-k_30-p_0.05.txt,180,1022,29,29,1,true,40,0,3889,1076
synth-n_180-m_1057-k_25-p_0.05.txt,180,1057,22,22,0,true,41,0,174,368
synth-n_180-m_1627-k_4-p_0.1.txt,180,1627,4,4,4,true,180,0,0,1
synth-n_180-m_1658-k_2-p_0.1.txt,180,1658,2,2,2,true,180,0,0,0
synth-n_180-m_1683-k_6-p_0.1.txt,180,1683,6,6,2,true,52,4,1,258
synth-n_180-m_1717-k_8-p_0.1.txt,180,1717,8,8,8,true,180,0,0,0
synth-n_180-m_1738-k_10-p_0.1.txt,180,1738,10,10,0,true,27,8,3,475
synth-n_180-m_1958-k_15-p_0.1.txt,180,1958,15,15,1,true,18,7,9,620
synth-n_180-m_1962-k_25-p_0.1.txt,180,1962,25,25,0,true,7,1,35,801
synth-n_180-m_1968-k_20-p_0.1.txt,180,1968,20,20,0,true,4,3,23,811
synth-n_180-m_2037-k_30-p_0.1.txt,180,2037,30,30,0,true,5,0,56,872
synth-n_180-m_3254-k_2-p_0.2.txt,180,3254,2,2,2,true,180,0,0,1
synth-n_180-m_3302-k_4-p_0.2.txt,180,3302,4,4,4,true,180,0,0,1
synth-n_180-m_3396-k_8-p_0.2.txt,180,3396,8,8,1,true,13,7,1,694
synth-n_180-m_3408-k_6-p_0.2.txt,180,3408,6,6,0,true,11,6,1,672
synth-n_180-m_3481-k_10-p_0.2.txt,180,3481,10,10,0,true,10,10,1,821
