name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
synth-n_1000-m_59867-k_120-p_0.1.txt,1000,59867,0,0,-1,0,1343,false,90000
synth-n_1000-m_60934-k_150-p_0.1.txt,1000,60934,0,0,-1,0,1217,false,90000
synth-n_1000-m_64710-k_200-p_0.1.txt,1000,64710,0,0,-1,0,1266,false,90000
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,0,0,-1,0,522,false,90000
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,0,0,-1,0,203,false,90000
synth-n_1300-m_183367-k_70-p_0.2.txt,1300,183367,0,0,-1,0,275,false,90000
synth-n_1300-m_188195-k_100-p_0.2.txt,1300,188195,0,0,-1,0,267,false,90000
synth-n_1300-m_191963-k_120-p_0.2.txt,1300,191963,0,0,-1,0,257,false,90000
synth-n_1300-m_196174-k_150-p_0.2.txt,1300,196174,0,0,-1,0,242,false,90000
synth-n_1300-m_204142-k_200-p_0.2.txt,1300,204142,0,0,-1,0,217,false,90000
synth-n_1300-m_45241-k_50-p_0.05.txt,1300,45241,9,0,50,50,103,true,16073
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,10,0,70,0,407,false,90000
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,2,0,-1,100,288,true,42080
synth-n_1300-m_49172-k_120-p_0.05.txt,1300,49172,0,0,-1,0,679,false,90000
synth-n_1300-m_50340-k_150-p_0.05.txt,1300,50340,0,0,-1,0,684,false,90000
synth-n_1300-m_52952-k_200-p_0.05.txt,1300,52952,1,0,-1,0,772,false,90000
synth-n_1300-m_89669-k_50-p_0.1.txt,1300,89669,2,0,-1,50,125,true,29747
synth-n_1300-m_92255-k_70-p_0.1.txt,1300,92255,1,0,-1,70,194,true,43365
synth-n_1300-m_95352-k_100-p_0.1.txt,1300,95352,0,0,-1,0,477,false,90000
synth-n_1300-m_97421-k_120-p_0.1.txt,1300,97421,0,0,-1,0,462,false,90000
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,0,0,-1,0,508,false,90000
synth-n_150-m_1254-k_10-p_0.1.txt,150,1254,32,0,10,10,16,true,8
synth-n_150-m_1269-k_15-p_0.1.txt,150,1269,31,2,15,15,27,true,13
synth-n_150-m_1284-k_20-p_0.1.txt,150,1284,16,0,20,20,54,true,36
synth-n_150-m_1385-k_25-p_0.1.txt,150,1385,9,0,25,25,115,true,99
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,8,0,30,30,83,true,73
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,1,0,-1,0,1163,false,90000
synth-n_150-m_1564-k_50-p_0.1.txt,150,1564,0,0,-1,48,456,true,755
synth-n_150-m_2446-k_10-p_0.2.txt,150,2446,6,0,10,10,20,true,36
synth-n_150-m_2502-k_15-p_0.2.txt,150,2502,3,0,15,15,44,true,57
synth-n_150-m_2552-k_20-p_0.2.txt,150,2552,2,0,20,20,63,true,76
synth-n_150-m_2731-k_25-p_0.2.txt,150,2731,1,0,25,25,272,true,294
synth-n_150-m_2807-k_30-p_0.2.txt,150,2807,0,0,30,30,481,true,559
synth-n_150-m_3040-k_50-p_0.2.txt,150,3040,0,0,50,50,610,true,869
synth-n_150-m_3050-k_70-p_0.2.txt,150,3050,0,0,-1,0,1502,false,90000
synth-n_150-m_630-k_15-p_0.05.txt,150,630,74,1,15,15,38,true,16
synth-n_150-m_634-k_10-p_0.05.txt,150,634,150,7,7,7,0,true,0
synth-n_150-m_666-k_20-p_0.05.txt,150,666,56,1,15,15,24,true,8
synth-n_150-m_704-k_25-p_0.05.txt,150,704,48,1,23,23,53,true,21
synth-n_150-m_781-k_50-p_0.05.txt,150,781,25,0,32,32,296,true,746
synth-n_150-m_782-k_30-p_0.05.txt,150,782,29,1,28,28,182,true,124
synth-n_150-m_805-k_70-p_0.05.txt,150,805,12,0,43,0,750,false,90000
synth-n_1600-m_137884-k_70-p_0.1.txt,1600,137884,0,0,-1,0,241,false,90000
synth-n_1600-m_141523-k_100-p_0.1.txt,1600,141523,0,0,-1,0,261,false,90000
synth-n_1600-m_143789-k_120-p_0.1.txt,1600,143789,0,0,-1,0,282,false,90000
synth-n_1600-m_147721-k_150-p_0.1.txt,1600,147721,0,0,-1,0,279,false,90000
synth-n_1600-m_152838-k_200-p_0.1.txt,1600,152838,0,0,-1,0,264,false,90000
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,0,0,-1,0,143,false,90000
synth-n_1600-m_279359-k_100-p_0.2.txt,1600,279359,0,0,-1,0,144,false,90000
synth-n_1600-m_284773-k_120-p_0.2.txt,1600,284773,0,0,-1,0,134,false,90000
synth-n_1600-m_290831-k_150-p_0.2.txt,1600,290831,0,0,-1,0,126,false,90000
synth-n_1600-m_301143-k_200-p_0.2.txt,1600,301143,0,0,-1,0,118,false,90000
synth-n_1600-m_68907-k_70-p_0.05.txt,1600,68907,2,0,70,70,158,true,43513
synth-n_1600-m_70865-k_100-p_0.05.txt,1600,70865,3,0,-1,0,356,false,90000
synth-n_1600-m_72748-k_120-p_0.05.txt,1600,72748,0,0,-1,0,383,false,90000
