name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
out.cfinder-google-n_8000,7228,48521,5596,1204,2338,2338,2775,true,1294
out.cfinder-google-n_9000,8186,53109,6392,1380,2698,2698,3299,true,937
talk-oc-n_100,0,0,0,0,0,0,0,true,0
talk-oc-n_1000,589,757,589,7,7,7,0,true,0
talk-oc-n_1500,284,489,284,15,15,15,0,true,0
talk-oc-n_200,81,78,81,0,0,0,0,true,0
talk-oc-n_2000,408,605,408,15,15,15,0,true,0
talk-oc-n_3000,2997,4263,2997,29,29,29,0,true,1
talk-oc-n_3066,3064,4464,3064,30,30,30,0,true,1
talk-oc-n_50,0,0,0,0,0,0,0,true,0
talk-oc-n_500,26,22,26,3,3,3,0,true,0
temporalGraph-n_100,2,1,2,0,0,0,0,true,0
temporalGraph-n_1000,622,1447,622,40,40,40,0,true,1
temporalGraph-n_1500,1343,3437,1310,61,77,77,45,true,8
temporalGraph-n_1868,1866,5517,1834,91,106,106,44,true,8
temporalGraph-n_200,50,73,50,5,5,5,0,true,0
temporalGraph-n_50,12,16,12,3,3,3,0,true,0
temporalGraph-n_500,199,368,185,11,17,17,10,true,2
ucsocial-n_100,26,30,26,5,5,5,0,true,0
ucsocial-n_1000,882,6250,798,219,258,258,86,true,21
ucsocial-n_1500,1412,12596,1033,253,435,435,691,true,2081
ucsocial-n_1902,1899,20296,1493,381,585,585,715,true,2223
ucsocial-n_200,82,138,82,23,23,23,0,true,1
ucsocial-n_50,16,18,16,3,3,3,0,true,0
ucsocial-n_500,353,1231,353,80,80,80,0,true,0
usairport-n_100,46,92,46,13,13,13,0,true,0
usairport-n_1000,910,10027,730,146,253,253,473,true,217
usairport-n_1500,1490,25277,1115,222,428,428,1236,true,1748
usairport-n_1577,1574,28236,1189,243,455,455,1412,true,1919
usairport-n_200,104,308,85,19,29,29,25,true,4
usairport-n_50,10,19,5,2,5,5,6,true,2
usairport-n_500,383,3451,305,68,112,112,164,true,33
wikispeedia-n_100,26,19,26,0,0,0,0,true,0
wikispeedia-n_1000,903,3091,884,145,156,156,17,true,5
wikispeedia-n_1500,1415,7438,1114,165,271,271,275,true,474
wikispeedia-n_200,124,190,124,14,14,14,0,true,0
wikispeedia-n_2000,1927,12519,1300,201,437,437,711,true,4573
wikispeedia-n_3000,2973,29508,1442,224,-1,0,2000,false,90000
wikispeedia-n_4000,3996,52711,1524,247,-1,0,1314,false,90000
wikispeedia-n_4181,4179,57572,1558,255,-1,0,897,false,90000
wikispeedia-n_50,8,5,8,0,0,0,0,true,0
wikispeedia-n_500,370,857,345,45,56,56,20,true,4
synth-n_100-m_1093-k_5-p_0.2.txt,100,1093,100,5,5,5,0,true,0
synth-n_100-m_1146-k_10-p_0.2.txt,100,1146,8,0,10,10,17,true,8
synth-n_100-m_1151-k_15-p_0.2.txt,100,1151,3,0,15,15,48,true,26
synth-n_100-m_1229-k_20-p_0.2.txt,100,1229,0,0,20,20,84,true,46
synth-n_100-m_1263-k_25-p_0.2.txt,100,1263,0,0,25,25,174,true,98
synth-n_100-m_1275-k_30-p_0.2.txt,100,1275,0,0,30,30,263,true,159
synth-n_100-m_263-k_5-p_0.05.txt,99,263,99,5,5,5,0,true,0
synth-n_100-m_289-k_10-p_0.05.txt,99,289,86,1,4,4,5,true,2
synth-n_100-m_302-k_15-p_0.05.txt,100,302,87,4,8,8,5,true,2
synth-n_100-m_332-k_20-p_0.05.txt,100,332,57,3,14,14,28,true,4
synth-n_100-m_336-k_30-p_0.05.txt,100,336,42,1,15,15,36,true,9
synth-n_100-m_343-k_25-p_0.05.txt,100,343,43,0,14,14,29,true,7
