name,k_optimal,k_solved,millis,verified
synth-n_160-m_2776-k_8-p_0.2.txt,8,8,1207,true
synth-n_160-m_2910-k_15-p_0.2.txt,15,0,180000,false
synth-n_160-m_3006-k_20-p_0.2.txt,20,0,180000,false
synth-n_160-m_3034-k_25-p_0.2.txt,25,0,180000,false
synth-n_160-m_3134-k_30-p_0.2.txt,30,0,180000,false
synth-n_160-m_641-k_2-p_0.05.txt,2,2,1,true
synth-n_160-m_663-k_4-p_0.05.txt,4,4,9,true
synth-n_160-m_683-k_8-p_0.05.txt,6,6,143,true
synth-n_160-m_693-k_6-p_0.05.txt,6,6,137,true
synth-n_160-m_731-k_10-p_0.05.txt,10,10,10907,true
synth-n_160-m_743-k_20-p_0.05.txt,19,0,180000,false
synth-n_160-m_746-k_15-p_0.05.txt,14,0,180000,false
synth-n_160-m_800-k_30-p_0.05.txt,27,0,180000,false
synth-n_160-m_810-k_25-p_0.05.txt,25,0,180000,false
synth-n_180-m_1022-k_30-p_0.05.txt,29,0,180000,false
synth-n_180-m_1057-k_25-p_0.05.txt,22,0,180000,false
synth-n_180-m_1627-k_4-p_0.1.txt,4,4,49,true
synth-n_180-m_1658-k_2-p_0.1.txt,2,2,14,true
synth-n_180-m_1683-k_6-p_0.1.txt,6,6,183,true
synth-n_180-m_1717-k_8-p_0.1.txt,8,8,554,true
synth-n_180-m_1738-k_10-p_0.1.txt,10,10,5957,true
synth-n_180-m_1958-k_15-p_0.1.txt,15,0,180000,false
synth-n_180-m_1962-k_25-p_0.1.txt,25,0,180000,false
synth-n_180-m_1968-k_20-p_0.1.txt,20,0,180000,false
synth-n_180-m_2037-k_30-p_0.1.txt,30,0,180000,false
synth-n_180-m_3254-k_2-p_0.2.txt,2,2,95,true
synth-n_180-m_3302-k_4-p_0.2.txt,4,4,170,true
synth-n_180-m_3396-k_8-p_0.2.txt,8,8,1009,true
synth-n_180-m_3408-k_6-p_0.2.txt,6,6,203,true
synth-n_180-m_3481-k_10-p_0.2.txt,10,10,8755,true
synth-n_180-m_3631-k_15-p_0.2.txt,15,0,180000,false
synth-n_180-m_3690-k_20-p_0.2.txt,20,0,180000,false
synth-n_180-m_3812-k_25-p_0.2.txt,25,0,180000,false
synth-n_180-m_4031-k_30-p_0.2.txt,30,0,180000,false
synth-n_180-m_804-k_2-p_0.05.txt,2,2,2,true
synth-n_180-m_827-k_6-p_0.05.txt,6,6,253,true
synth-n_180-m_855-k_15-p_0.05.txt,15,0,180000,false
synth-n_180-m_867-k_8-p_0.05.txt,8,8,3189,true
synth-n_180-m_881-k_4-p_0.05.txt,4,4,14,true
synth-n_180-m_895-k_20-p_0.05.txt,19,0,180000,false
synth-n_180-m_902-k_10-p_0.05.txt,10,10,15075,true
synth-n_20-m_18-k_4-p_0.05.txt,1,1,0,true
synth-n_20-m_20-k_4-p_0.1.txt,0,0,0,true
synth-n_20-m_25-k_2-p_0.1.txt,1,1,0,true
synth-n_20-m_25-k_8-p_0.1.txt,2,2,0,true
synth-n_20-m_38-k_6-p_0.1.txt,2,2,0,true
synth-n_20-m_48-k_2-p_0.2.txt,2,2,0,true
synth-n_20-m_54-k_8-p_0.2.txt,3,3,0,true
synth-n_20-m_58-k_4-p_0.2.txt,4,4,0,true
synth-n_20-m_59-k_6-p_0.2.txt,3,3,0,true
synth-n_20-m_9-k_8-p_0.05.txt,0,0,0,true
synth-n_200-m_1059-k_8-p_0.05.txt,8,8,1510,true
synth-n_200-m_1063-k_2-p_0.05.txt,2,2,5,true
synth-n_200-m_1075-k_10-p_0.05.txt,10,10,59318,true
synth-n_200-m_1093-k_4-p_0.05.txt,4,4,26,true
synth-n_200-m_1096-k_6-p_0.05.txt,6,6,300,true
synth-n_200-m_1115-k_15-p_0.05.txt,15,0,180000,false
synth-n_200-m_1151-k_25-p_0.05.txt,25,0,180000,false
synth-n_200-m_1172-k_20-p_0.05.txt,20,0,180000,false
synth-n_200-m_1319-k_30-p_0.05.txt,30,0,180000,false
synth-n_200-m_2075-k_10-p_0.1.txt,10,10,5210,true
synth-n_200-m_2076-k_6-p_0.1.txt,6,6,157,true
synth-n_200-m_2088-k_4-p_0.1.txt,4,4,76,true
synth-n_200-m_2096-k_2-p_0.1.txt,2,2,31,true
synth-n_200-m_2119-k_8-p_0.1.txt,8,8,1022,true
synth-n_200-m_2270-k_20-p_0.1.txt,20,0,180000,false
synth-n_200-m_2275-k_15-p_0.1.txt,15,0,180000,false
synth-n_200-m_2356-k_25-p_0.1.txt,25,0,180000,false
synth-n_200-m_2488-k_30-p_0.1.txt,30,0,180000,false
synth-n_200-m_4097-k_2-p_0.2.txt,2,2,234,true
synth-n_200-m_4160-k_10-p_0.2.txt,10,10,8682,true
synth-n_200-m_4165-k_4-p_0.2.txt,4,4,224,true
synth-n_200-m_4241-k_6-p_0.2.txt,6,6,497,true
synth-n_200-m_4270-k_8-p_0.2.txt,8,8,1291,true
synth-n_200-m_4411-k_15-p_0.2.txt,15,0,180000,false
synth-n_200-m_4591-k_20-p_0.2.txt,20,0,180000,false
synth-n_200-m_4629-k_25-p_0.2.txt,25,0,180000,false
synth-n_200-m_4765-k_30-p_0.2.txt,30,0,180000,false
synth-n_225-m_1274-k_4-p_0.05.txt,4,4,37,true
synth-n_225-m_1286-k_2-p_0.05.txt,2,2,8,true
synth-n_225-m_1352-k_6-p_0.05.txt,6,6,129,true
synth-n_225-m_1385-k_8-p_0.05.txt,8,8,3914,true
synth-n_225-m_1390-k_10-p_0.05.txt,10,10,39584,true
synth-n_225-m_1391-k_15-p_0.05.txt,15,0,180000,false
synth-n_225-m_1470-k_20-p_0.05.txt,19,0,180000,false
synth-n_225-m_1484-k_25-p_0.05.txt,25,0,180000,false
synth-n_225-m_1517-k_30-p_0.05.txt,30,0,180000,false
synth-n_225-m_2523-k_2-p_0.1.txt,2,2,42,true
synth-n_225-m_2681-k_10-p_0.1.txt,10,10,10822,true
synth-n_225-m_2685-k_6-p_0.1.txt,6,6,192,true
synth-n_225-m_2691-k_8-p_0.1.txt,8,8,978,true
synth-n_225-m_2732-k_4-p_0.1.txt,4,4,84,true
synth-n_225-m_2816-k_15-p_0.1.txt,15,0,180000,false
synth-n_225-m_2884-k_20-p_0.1.txt,20,0,180000,false
synth-n_225-m_2884-k_25-p_0.1.txt,25,0,180000,false
synth-n_225-m_2964-k_30-p_0.1.txt,30,0,180000,false
synth-n_225-m_4993-k_2-p_0.2.txt,2,2,251,true
synth-n_225-m_5212-k_6-p_0.2.txt,6,6,618,true
synth-n_225-m_5223-k_4-p_0.2.txt,4,4,333,true
synth-n_225-m_5291-k_8-p_0.2.txt,8,8,3642,true
synth-n_225-m_5365-k_10-p_0.2.txt,10,10,5937,true
synth-n_225-m_5504-k_15-p_0.2.txt,15,0,180000,false
synth-n_225-m_5734-k_20-p_0.2.txt,20,0,180000,false
synth-n_225-m_5854-k_25-p_0.2.txt,25,0,180000,false
synth-n_225-m_5936-k_30-p_0.2.txt,30,0,180000,false
synth-n_250-m_1512-k_2-p_0.05.txt,2,2,5,true
synth-n_250-m_1569-k_4-p_0.05.txt,4,4,71,true
synth-n_250-m_1575-k_6-p_0.05.txt,6,6,448,true
synth-n_250-m_1667-k_8-p_0.05.txt,8,8,1682,true
synth-n_250-m_1694-k_10-p_0.05.txt,10,10,14417,true
synth-n_250-m_1710-k_15-p_0.05.txt,15,0,180000,false
synth-n_250-m_1757-k_20-p_0.05.txt,20,0,180000,false
synth-n_250-m_1814-k_25-p_0.05.txt,25,0,180000,false
