name,k_optimal,k_approx,millis
synth-n_1300-m_104213-k_200-p_0.1.txt,200,524,4773
synth-n_1300-m_178841-k_50-p_0.2.txt,50,178,7479
synth-n_1300-m_183367-k_70-p_0.2.txt,70,244,7666
synth-n_1300-m_188195-k_100-p_0.2.txt,100,312,8092
synth-n_1300-m_191963-k_120-p_0.2.txt,120,303,7861
synth-n_1300-m_196174-k_150-p_0.2.txt,150,377,8523
synth-n_1300-m_204142-k_200-p_0.2.txt,200,434,8396
synth-n_1300-m_45241-k_50-p_0.05.txt,50,318,2242
synth-n_1300-m_46137-k_70-p_0.05.txt,70,360,2246
synth-n_1300-m_47847-k_100-p_0.05.txt,100,411,2301
synth-n_1300-m_49172-k_120-p_0.05.txt,120,466,3282
synth-n_1300-m_50340-k_150-p_0.05.txt,150,520,2589
synth-n_1300-m_52952-k_200-p_0.05.txt,200,589,2724
synth-n_1300-m_89669-k_50-p_0.1.txt,50,223,3986
synth-n_1300-m_92255-k_70-p_0.1.txt,70,279,4141
synth-n_1300-m_95352-k_100-p_0.1.txt,100,379,5626
synth-n_1300-m_97421-k_120-p_0.1.txt,120,371,4828
synth-n_1300-m_99879-k_150-p_0.1.txt,150,503,4695
synth-n_150-m_1254-k_10-p_0.1.txt,10,24,6
synth-n_150-m_1269-k_15-p_0.1.txt,15,36,6
synth-n_150-m_1284-k_20-p_0.1.txt,20,40,13
synth-n_150-m_1385-k_25-p_0.1.txt,25,68,15
synth-n_150-m_1423-k_30-p_0.1.txt,30,71,11
synth-n_150-m_1564-k_50-p_0.1.txt,48,104,11
synth-n_150-m_2446-k_10-p_0.2.txt,10,31,13
synth-n_150-m_2502-k_15-p_0.2.txt,15,36,21
synth-n_150-m_2552-k_20-p_0.2.txt,20,60,14
synth-n_150-m_2731-k_25-p_0.2.txt,25,63,15
synth-n_150-m_2807-k_30-p_0.2.txt,30,91,16
synth-n_150-m_3040-k_50-p_0.2.txt,50,98,17
synth-n_150-m_3050-k_70-p_0.2.txt,70,121,22
synth-n_150-m_630-k_15-p_0.05.txt,15,26,3
synth-n_150-m_634-k_10-p_0.05.txt,7,7,1
synth-n_150-m_666-k_20-p_0.05.txt,15,23,3
synth-n_150-m_704-k_25-p_0.05.txt,23,36,5
synth-n_150-m_781-k_50-p_0.05.txt,32,68,9
synth-n_150-m_782-k_30-p_0.05.txt,28,56,9
synth-n_150-m_805-k_70-p_0.05.txt,43,81,9
synth-n_1600-m_137884-k_70-p_0.1.txt,70,394,7311
synth-n_1600-m_141523-k_100-p_0.1.txt,100,382,7649
synth-n_1600-m_143789-k_120-p_0.1.txt,120,424,8051
synth-n_1600-m_147721-k_150-p_0.1.txt,150,507,7789
synth-n_1600-m_152838-k_200-p_0.1.txt,200,548,8275
synth-n_1600-m_273042-k_70-p_0.2.txt,70,230,13569
synth-n_1600-m_279359-k_100-p_0.2.txt,100,330,14153
synth-n_1600-m_284773-k_120-p_0.2.txt,120,383,14835
synth-n_1600-m_290831-k_150-p_0.2.txt,150,407,14827
synth-n_1600-m_301143-k_200-p_0.2.txt,200,452,15392
synth-n_1600-m_68907-k_70-p_0.05.txt,70,398,3825
synth-n_1600-m_70865-k_100-p_0.05.txt,100,447,3800
synth-n_1600-m_72748-k_120-p_0.05.txt,120,493,4062
synth-n_1600-m_74607-k_150-p_0.05.txt,150,553,4617
synth-n_1600-m_77345-k_200-p_0.05.txt,200,595,5398
synth-n_200-m_1076-k_10-p_0.05.txt,10,10,1
synth-n_200-m_1167-k_15-p_0.05.txt,15,27,6
synth-n_200-m_1175-k_20-p_0.05.txt,20,46,12
synth-n_200-m_1245-k_25-p_0.05.txt,24,53,15
synth-n_200-m_1266-k_30-p_0.05.txt,30,67,9
synth-n_200-m_1336-k_50-p_0.05.txt,45,110,13
synth-n_200-m_2169-k_15-p_0.1.txt,15,45,15
synth-n_200-m_2199-k_10-p_0.1.txt,10,45,24
synth-n_200-m_2293-k_20-p_0.1.txt,20,52,17
synth-n_200-m_2369-k_25-p_0.1.txt,25,82,18
synth-n_200-m_2491-k_30-p_0.1.txt,30,79,22
synth-n_200-m_2592-k_50-p_0.1.txt,50,117,29
synth-n_200-m_2772-k_70-p_0.1.txt,70,146,29
synth-n_200-m_4301-k_10-p_0.2.txt,10,34,28
synth-n_200-m_4485-k_20-p_0.2.txt,20,43,39
synth-n_200-m_4497-k_15-p_0.2.txt,15,53,36
synth-n_200-m_4763-k_25-p_0.2.txt,25,74,45
synth-n_200-m_4854-k_30-p_0.2.txt,30,84,37
synth-n_200-m_5144-k_50-p_0.2.txt,50,110,59
synth-n_200-m_5366-k_70-p_0.2.txt,70,145,44
synth-n_2000-m_106592-k_70-p_0.05.txt,70,529,7415
synth-n_2000-m_108739-k_100-p_0.05.txt,100,528,7661
synth-n_2000-m_110886-k_120-p_0.05.txt,120,519,7479
synth-n_2000-m_112582-k_150-p_0.05.txt,150,569,7632
synth-n_2000-m_117145-k_200-p_0.05.txt,200,716,8480
synth-n_2000-m_212793-k_70-p_0.1.txt,70,351,14130
synth-n_2000-m_217131-k_100-p_0.1.txt,100,481,15719
synth-n_2000-m_220005-k_120-p_0.1.txt,120,474,14303
synth-n_2000-m_225391-k_150-p_0.1.txt,150,614,14704
synth-n_2000-m_233102-k_200-p_0.1.txt,200,608,14887
synth-n_2000-m_422023-k_70-p_0.2.txt,70,230,24253
synth-n_2000-m_430943-k_100-p_0.2.txt,100,375,26220
synth-n_2000-m_435643-k_120-p_0.2.txt,120,399,27594
synth-n_2000-m_444160-k_150-p_0.2.txt,150,399,26645
synth-n_2000-m_457573-k_200-p_0.2.txt,200,476,30994
