name,k_optimal,k_approx,millis
link-kv-n_4000,1244,1589,148
link-kv-n_500,83,98,1
link-kv-n_5000,1670,2131,318
link-kv-n_6000,2014,2618,480
link-kv-n_6916,2364,3081,685
openflights-n_100,10,10,0
openflights-n_1000,201,213,1
openflights-n_1500,413,452,1
openflights-n_200,26,29,0
openflights-n_2000,593,638,2
openflights-n_2942,998,1121,8
openflights-n_50,2,2,1
openflights-n_500,80,88,0
out.cfinder-google-n_100,6,6,0
out.cfinder-google-n_1000,100,103,1
out.cfinder-google-n_10000,3133,3977,419
out.cfinder-google-n_1500,188,202,0
out.cfinder-google-n_200,13,13,1
out.cfinder-google-n_2000,307,334,1
out.cfinder-google-n_3000,574,647,4
out.cfinder-google-n_4000,852,982,11
out.cfinder-google-n_50,7,7,1
out.cfinder-google-n_500,37,38,0
out.cfinder-google-n_5000,1200,1421,31
out.cfinder-google-n_6000,1581,2002,77
out.cfinder-google-n_7000,1928,2305,78
out.cfinder-google-n_8000,2338,3024,227
out.cfinder-google-n_9000,2698,3451,270
talk-oc-n_1000,7,7,1
talk-oc-n_1500,15,15,1
talk-oc-n_2000,15,15,1
talk-oc-n_3000,29,29,1
talk-oc-n_3066,30,30,1
talk-oc-n_500,3,3,1
temporalGraph-n_1000,40,40,1
temporalGraph-n_1500,77,94,1
temporalGraph-n_1868,106,123,1
temporalGraph-n_200,5,5,1
temporalGraph-n_50,3,3,1
temporalGraph-n_500,17,25,1
ucsocial-n_100,5,5,0
ucsocial-n_1000,258,303,2
ucsocial-n_1500,435,632,8
ucsocial-n_1902,585,787,11
ucsocial-n_200,23,23,1
ucsocial-n_50,3,3,0
ucsocial-n_500,80,80,1
usairport-n_100,13,13,0
usairport-n_1000,253,327,5
usairport-n_1500,428,597,11
usairport-n_1577,455,628,11
usairport-n_200,29,38,1
usairport-n_50,5,7,1
usairport-n_500,112,146,1
wikispeedia-n_1000,156,173,1
wikispeedia-n_1500,271,466,6
wikispeedia-n_200,14,14,1
wikispeedia-n_2000,437,828,21
wikispeedia-n_3000,804,1755,134
wikispeedia-n_500,56,70,1
synth-n_100-m_1093-k_5-p_0.2.txt,5,5,0
synth-n_100-m_1146-k_10-p_0.2.txt,10,92,1
synth-n_100-m_1151-k_15-p_0.2.txt,15,97,1
synth-n_100-m_1229-k_20-p_0.2.txt,20,100,1
synth-n_100-m_1263-k_25-p_0.2.txt,25,100,2
synth-n_100-m_1275-k_30-p_0.2.txt,30,100,2
synth-n_100-m_263-k_5-p_0.05.txt,5,5,1
synth-n_100-m_289-k_10-p_0.05.txt,4,14,0
synth-n_100-m_302-k_15-p_0.05.txt,8,17,0
synth-n_100-m_332-k_20-p_0.05.txt,14,46,1
synth-n_100-m_336-k_30-p_0.05.txt,15,59,1
synth-n_100-m_343-k_25-p_0.05.txt,14,57,0
synth-n_100-m_515-k_5-p_0.1.txt,5,63,1
synth-n_100-m_591-k_15-p_0.1.txt,15,83,1
synth-n_100-m_611-k_10-p_0.1.txt,10,81,1
synth-n_100-m_628-k_20-p_0.1.txt,20,88,1
synth-n_100-m_691-k_25-p_0.1.txt,25,97,1
synth-n_100-m_732-k_30-p_0.1.txt,30,99,1
synth-n_1000-m_107005-k_50-p_0.2.txt,50,1000,179
synth-n_1000-m_110357-k_70-p_0.2.txt,70,1000,196
synth-n_1000-m_114433-k_100-p_0.2.txt,100,1000,199
synth-n_1000-m_116757-k_120-p_0.2.txt,120,1000,199
synth-n_1000-m_119520-k_150-p_0.2.txt,150,1000,205
synth-n_1000-m_124702-k_200-p_0.2.txt,200,1000,226
synth-n_1000-m_27142-k_50-p_0.05.txt,50,987,74
synth-n_1000-m_28175-k_70-p_0.05.txt,70,989,79
synth-n_1000-m_29037-k_100-p_0.05.txt,100,995,81
synth-n_1000-m_30042-k_120-p_0.05.txt,120,1000,82
synth-n_1000-m_30795-k_150-p_0.05.txt,150,1000,84
synth-n_1000-m_32410-k_200-p_0.05.txt,200,1000,88
synth-n_1000-m_54531-k_50-p_0.1.txt,50,997,110
synth-n_1000-m_55974-k_70-p_0.1.txt,70,1000,116
synth-n_1000-m_57929-k_100-p_0.1.txt,100,1000,117
synth-n_1000-m_59867-k_120-p_0.1.txt,120,1000,126
synth-n_1000-m_60934-k_150-p_0.1.txt,150,1000,125
synth-n_1000-m_64710-k_200-p_0.1.txt,200,1000,131
synth-n_1300-m_104213-k_200-p_0.1.txt,200,1300,258
synth-n_1300-m_178841-k_50-p_0.2.txt,50,1300,374
synth-n_1300-m_183367-k_70-p_0.2.txt,70,1300,376
synth-n_1300-m_188195-k_100-p_0.2.txt,100,1300,371
synth-n_1300-m_191963-k_120-p_0.2.txt,120,1300,406
synth-n_1300-m_196174-k_150-p_0.2.txt,150,1300,412
synth-n_1300-m_204142-k_200-p_0.2.txt,200,1300,441
synth-n_1300-m_45241-k_50-p_0.05.txt,50,1291,146
synth-n_1300-m_46137-k_70-p_0.05.txt,70,1290,148
synth-n_1300-m_47847-k_100-p_0.05.txt,100,1298,154
synth-n_1300-m_49172-k_120-p_0.05.txt,120,1300,160
synth-n_1300-m_50340-k_150-p_0.05.txt,150,1300,167
synth-n_1300-m_52952-k_200-p_0.05.txt,200,1299,167
synth-n_1300-m_89669-k_50-p_0.1.txt,50,1298,236
synth-n_1300-m_92255-k_70-p_0.1.txt,70,1299,224
synth-n_1300-m_95352-k_100-p_0.1.txt,100,1300,237
synth-n_1300-m_97421-k_120-p_0.1.txt,120,1300,243
synth-n_1300-m_99879-k_150-p_0.1.txt,150,1300,255
synth-n_150-m_1254-k_10-p_0.1.txt,10,118,1
synth-n_150-m_1269-k_15-p_0.1.txt,15,121,1
synth-n_150-m_1284-k_20-p_0.1.txt,20,134,1
synth-n_150-m_1385-k_25-p_0.1.txt,25,141,2
synth-n_150-m_1423-k_30-p_0.1.txt,30,142,2
synth-n_150-m_1564-k_50-p_0.1.txt,48,150,2
synth-n_150-m_2446-k_10-p_0.2.txt,10,144,1
synth-n_150-m_2502-k_15-p_0.2.txt,15,147,2
synth-n_150-m_2552-k_20-p_0.2.txt,20,148,2
synth-n_150-m_2731-k_25-p_0.2.txt,25,149,2
synth-n_150-m_2807-k_30-p_0.2.txt,30,150,2
synth-n_150-m_3040-k_50-p_0.2.txt,50,150,2
synth-n_150-m_3050-k_70-p_0.2.txt,70,150,2
synth-n_150-m_630-k_15-p_0.05.txt,15,77,1
synth-n_150-m_634-k_10-p_0.05.txt,7,7,0
synth-n_150-m_666-k_20-p_0.05.txt,15,95,1
synth-n_150-m_704-k_25-p_0.05.txt,23,103,1
synth-n_150-m_781-k_50-p_0.05.txt,32,125,2
synth-n_150-m_782-k_30-p_0.05.txt,28,122,2
synth-n_150-m_805-k_70-p_0.05.txt,43,138,2
synth-n_1600-m_137884-k_70-p_0.1.txt,70,1600,392
synth-n_1600-m_141523-k_100-p_0.1.txt,100,1600,408
synth-n_1600-m_143789-k_120-p_0.1.txt,120,1600,419
