name,k_optimal,k_approx,millis
synth-n_1300-m_104213-k_200-p_0.1.txt,200,1233,474
synth-n_1300-m_178841-k_50-p_0.2.txt,50,1260,627
synth-n_1300-m_183367-k_70-p_0.2.txt,70,1266,656
synth-n_1300-m_188195-k_100-p_0.2.txt,100,1259,676
synth-n_1300-m_191963-k_120-p_0.2.txt,120,1267,802
synth-n_1300-m_196174-k_150-p_0.2.txt,150,1266,759
synth-n_1300-m_204142-k_200-p_0.2.txt,200,1263,806
synth-n_1300-m_45241-k_50-p_0.05.txt,50,1152,242
synth-n_1300-m_46137-k_70-p_0.05.txt,70,1165,236
synth-n_1300-m_47847-k_100-p_0.05.txt,100,1171,248
synth-n_1300-m_49172-k_120-p_0.05.txt,120,1167,262
synth-n_1300-m_50340-k_150-p_0.05.txt,150,1184,271
synth-n_1300-m_52952-k_200-p_0.05.txt,200,1176,291
synth-n_1300-m_89669-k_50-p_0.1.txt,50,1226,375
synth-n_1300-m_92255-k_70-p_0.1.txt,70,1233,417
synth-n_1300-m_95352-k_100-p_0.1.txt,100,1234,389
synth-n_1300-m_97421-k_120-p_0.1.txt,120,1232,428
synth-n_1300-m_99879-k_150-p_0.1.txt,150,1228,452
synth-n_150-m_1254-k_10-p_0.1.txt,10,75,4
synth-n_150-m_1269-k_15-p_0.1.txt,15,83,3
synth-n_150-m_1284-k_20-p_0.1.txt,20,94,3
synth-n_150-m_1385-k_25-p_0.1.txt,25,106,3
synth-n_150-m_1423-k_30-p_0.1.txt,30,99,3
synth-n_150-m_1564-k_50-p_0.1.txt,48,117,2
synth-n_150-m_2446-k_10-p_0.2.txt,10,116,4
synth-n_150-m_2502-k_15-p_0.2.txt,15,119,4
synth-n_150-m_2552-k_20-p_0.2.txt,20,127,3
synth-n_150-m_2731-k_25-p_0.2.txt,25,121,4
synth-n_150-m_2807-k_30-p_0.2.txt,30,124,4
synth-n_150-m_3040-k_50-p_0.2.txt,50,123,4
synth-n_150-m_3050-k_70-p_0.2.txt,70,133,4
synth-n_150-m_630-k_15-p_0.05.txt,15,55,2
synth-n_150-m_634-k_10-p_0.05.txt,7,7,1
synth-n_150-m_666-k_20-p_0.05.txt,15,64,2
synth-n_150-m_704-k_25-p_0.05.txt,23,62,2
synth-n_150-m_781-k_50-p_0.05.txt,32,87,2
synth-n_150-m_782-k_30-p_0.05.txt,28,80,2
synth-n_150-m_805-k_70-p_0.05.txt,43,102,2
synth-n_1600-m_137884-k_70-p_0.1.txt,70,1523,708
synth-n_1600-m_141523-k_100-p_0.1.txt,100,1530,725
synth-n_1600-m_143789-k_120-p_0.1.txt,120,1526,750
synth-n_1600-m_147721-k_150-p_0.1.txt,150,1525,745
synth-n_1600-m_152838-k_200-p_0.1.txt,200,1526,811
synth-n_1600-m_273042-k_70-p_0.2.txt,70,1563,1297
synth-n_1600-m_279359-k_100-p_0.2.txt,100,1554,1313
synth-n_1600-m_284773-k_120-p_0.2.txt,120,1562,1282
synth-n_1600-m_290831-k_150-p_0.2.txt,150,1564,1295
synth-n_1600-m_301143-k_200-p_0.2.txt,200,1565,1423
synth-n_1600-m_68907-k_70-p_0.05.txt,70,1462,433
synth-n_1600-m_70865-k_100-p_0.05.txt,100,1466,407
synth-n_1600-m_72748-k_120-p_0.05.txt,120,1467,419
synth-n_1600-m_74607-k_150-p_0.05.txt,150,1460,453
synth-n_1600-m_77345-k_200-p_0.05.txt,200,1475,468
synth-n_200-m_1076-k_10-p_0.05.txt,10,10,1
synth-n_200-m_1167-k_15-p_0.05.txt,15,71,2
synth-n_200-m_1175-k_20-p_0.05.txt,20,94,3
synth-n_200-m_1245-k_25-p_0.05.txt,24,90,3
synth-n_200-m_1266-k_30-p_0.05.txt,30,100,3
synth-n_200-m_1336-k_50-p_0.05.txt,45,122,5
synth-n_200-m_2169-k_15-p_0.1.txt,15,132,4
synth-n_200-m_2199-k_10-p_0.1.txt,10,130,7
synth-n_200-m_2293-k_20-p_0.1.txt,20,141,4
synth-n_200-m_2369-k_25-p_0.1.txt,25,142,4
synth-n_200-m_2491-k_30-p_0.1.txt,30,148,6
synth-n_200-m_2592-k_50-p_0.1.txt,50,162,6
synth-n_200-m_2772-k_70-p_0.1.txt,70,166,6
synth-n_200-m_4301-k_10-p_0.2.txt,10,164,7
synth-n_200-m_4485-k_20-p_0.2.txt,20,170,6
synth-n_200-m_4497-k_15-p_0.2.txt,15,168,7
synth-n_200-m_4763-k_25-p_0.2.txt,25,170,6
synth-n_200-m_4854-k_30-p_0.2.txt,30,175,8
synth-n_200-m_5144-k_50-p_0.2.txt,50,176,7
synth-n_200-m_5366-k_70-p_0.2.txt,70,181,7
synth-n_2000-m_106592-k_70-p_0.05.txt,70,1843,783
synth-n_2000-m_108739-k_100-p_0.05.txt,100,1857,735
synth-n_2000-m_110886-k_120-p_0.05.txt,120,1846,756
synth-n_2000-m_112582-k_150-p_0.05.txt,150,1861,785
synth-n_2000-m_117145-k_200-p_0.05.txt,200,1867,829
synth-n_2000-m_212793-k_70-p_0.1.txt,70,1917,1220
synth-n_2000-m_217131-k_100-p_0.1.txt,100,1918,1313
synth-n_2000-m_220005-k_120-p_0.1.txt,120,1925,1285
synth-n_2000-m_225391-k_150-p_0.1.txt,150,1928,1299
synth-n_2000-m_233102-k_200-p_0.1.txt,200,1929,1341
synth-n_2000-m_422023-k_70-p_0.2.txt,70,1961,2250
synth-n_2000-m_430943-k_100-p_0.2.txt,100,1963,2285
synth-n_2000-m_435643-k_120-p_0.2.txt,120,1958,2321
synth-n_2000-m_444160-k_150-p_0.2.txt,150,1957,2491
synth-n_2000-m_457573-k_200-p_0.2.txt,200,1963,2418
synth-n_2300-m_142851-k_100-p_0.05.txt,100,2163,1062
synth-n_2300-m_144829-k_120-p_0.05.txt,120,2149,1116
synth-n_2300-m_147738-k_150-p_0.05.txt,150,2158,1115
synth-n_2300-m_152429-k_200-p_0.05.txt,200,2160,1188
synth-n_2300-m_284623-k_100-p_0.1.txt,100,2228,1930
synth-n_2300-m_286796-k_120-p_0.1.txt,120,2219,1885
synth-n_2300-m_292795-k_150-p_0.1.txt,150,2222,1889
synth-n_2300-m_302503-k_200-p_0.1.txt,200,2229,2013
synth-n_2300-m_563042-k_100-p_0.2.txt,100,2262,3337
synth-n_2300-m_569928-k_120-p_0.2.txt,120,2261,3315
synth-n_2300-m_580179-k_150-p_0.2.txt,150,2258,3556
synth-n_2300-m_595551-k_200-p_0.2.txt,200,2259,3705
synth-n_250-m_1653-k_10-p_0.05.txt,10,10,1
synth-n_250-m_1708-k_15-p_0.05.txt,15,99,4
synth-n_250-m_1797-k_25-p_0.05.txt,25,140,8
synth-n_250-m_1806-k_20-p_0.05.txt,20,111,5
synth-n_250-m_1841-k_30-p_0.05.txt,30,148,5
synth-n_250-m_1998-k_50-p_0.05.txt,50,163,7
synth-n_250-m_2173-k_70-p_0.05.txt,69,177,8
synth-n_250-m_3237-k_10-p_0.1.txt,10,172,7
synth-n_250-m_3416-k_15-p_0.1.txt,15,179,7
synth-n_250-m_3493-k_25-p_0.1.txt,25,190,8
synth-n_250-m_3591-k_20-p_0.1.txt,20,192,8
synth-n_250-m_3730-k_30-p_0.1.txt,30,196,12
synth-n_250-m_3992-k_50-p_0.1.txt,50,208,7
synth-n_250-m_4149-k_70-p_0.1.txt,70,211,8
synth-n_250-m_4386-k_100-p_0.1.txt,100,213,8
synth-n_250-m_6567-k_10-p_0.2.txt,10,217,10
synth-n_250-m_6839-k_20-p_0.2.txt,20,216,10
synth-n_250-m_6880-k_15-p_0.2.txt,15,218,11
synth-n_250-m_7102-k_25-p_0.2.txt,25,222,11
synth-n_250-m_7321-k_30-p_0.2.txt,30,215,11
synth-n_250-m_8019-k_50-p_0.2.txt,50,222,12
synth-n_250-m_8255-k_70-p_0.2.txt,70,223,12
synth-n_250-m_8674-k_100-p_0.2.txt,100,228,13
synth-n_2600-m_181265-k_100-p_0.05.txt,100,2442,1648
