name,k_optimal,k_approx,millis
synth-n_1300-m_104213-k_200-p_0.1.txt,200,845,517
synth-n_1300-m_178841-k_50-p_0.2.txt,50,795,783
synth-n_1300-m_183367-k_70-p_0.2.txt,70,806,746
synth-n_1300-m_188195-k_100-p_0.2.txt,100,880,1226
synth-n_1300-m_191963-k_120-p_0.2.txt,120,829,824
synth-n_1300-m_196174-k_150-p_0.2.txt,150,856,868
synth-n_1300-m_204142-k_200-p_0.2.txt,200,920,834
synth-n_1300-m_45241-k_50-p_0.05.txt,50,572,314
synth-n_1300-m_46137-k_70-p_0.05.txt,70,618,295
synth-n_1300-m_47847-k_100-p_0.05.txt,100,637,336
synth-n_1300-m_49172-k_120-p_0.05.txt,120,649,390
synth-n_1300-m_50340-k_150-p_0.05.txt,150,693,384
synth-n_1300-m_52952-k_200-p_0.05.txt,200,759,294
synth-n_1300-m_89669-k_50-p_0.1.txt,50,677,482
synth-n_1300-m_92255-k_70-p_0.1.txt,70,724,460
synth-n_1300-m_95352-k_100-p_0.1.txt,100,753,477
synth-n_1300-m_97421-k_120-p_0.1.txt,120,760,508
synth-n_1300-m_99879-k_150-p_0.1.txt,150,783,485
synth-n_150-m_1254-k_10-p_0.1.txt,10,27,4
synth-n_150-m_1269-k_15-p_0.1.txt,15,34,4
synth-n_150-m_1284-k_20-p_0.1.txt,20,32,5
synth-n_150-m_1385-k_25-p_0.1.txt,25,59,5
synth-n_150-m_1423-k_30-p_0.1.txt,30,65,3
synth-n_150-m_1564-k_50-p_0.1.txt,48,95,3
synth-n_150-m_2446-k_10-p_0.2.txt,10,47,4
synth-n_150-m_2502-k_15-p_0.2.txt,15,50,4
synth-n_150-m_2552-k_20-p_0.2.txt,20,61,6
synth-n_150-m_2731-k_25-p_0.2.txt,25,71,6
synth-n_150-m_2807-k_30-p_0.2.txt,30,84,4
synth-n_150-m_3040-k_50-p_0.2.txt,50,104,4
synth-n_150-m_3050-k_70-p_0.2.txt,70,117,4
synth-n_150-m_630-k_15-p_0.05.txt,15,23,2
synth-n_150-m_634-k_10-p_0.05.txt,7,7,1
synth-n_150-m_666-k_20-p_0.05.txt,15,26,2
synth-n_150-m_704-k_25-p_0.05.txt,23,36,1
synth-n_150-m_781-k_50-p_0.05.txt,32,57,2
synth-n_150-m_782-k_30-p_0.05.txt,28,51,3
synth-n_150-m_805-k_70-p_0.05.txt,43,65,5
synth-n_1600-m_137884-k_70-p_0.1.txt,70,936,768
synth-n_1600-m_141523-k_100-p_0.1.txt,100,895,815
synth-n_1600-m_143789-k_120-p_0.1.txt,120,927,789
synth-n_1600-m_147721-k_150-p_0.1.txt,150,991,873
synth-n_1600-m_152838-k_200-p_0.1.txt,200,1025,868
synth-n_1600-m_273042-k_70-p_0.2.txt,70,1013,1381
synth-n_1600-m_279359-k_100-p_0.2.txt,100,1041,1495
synth-n_1600-m_284773-k_120-p_0.2.txt,120,1081,1525
synth-n_1600-m_290831-k_150-p_0.2.txt,150,1079,1457
synth-n_1600-m_301143-k_200-p_0.2.txt,200,1118,1533
synth-n_1600-m_68907-k_70-p_0.05.txt,70,777,493
synth-n_1600-m_70865-k_100-p_0.05.txt,100,803,533
synth-n_1600-m_72748-k_120-p_0.05.txt,120,797,547
synth-n_1600-m_74607-k_150-p_0.05.txt,150,865,596
synth-n_1600-m_77345-k_200-p_0.05.txt,200,910,545
synth-n_200-m_1076-k_10-p_0.05.txt,10,10,1
synth-n_200-m_1167-k_15-p_0.05.txt,15,30,3
synth-n_200-m_1175-k_20-p_0.05.txt,20,45,3
synth-n_200-m_1245-k_25-p_0.05.txt,24,46,3
synth-n_200-m_1266-k_30-p_0.05.txt,30,47,3
synth-n_200-m_1336-k_50-p_0.05.txt,45,85,7
synth-n_200-m_2169-k_15-p_0.1.txt,15,46,8
synth-n_200-m_2199-k_10-p_0.1.txt,10,48,4
synth-n_200-m_2293-k_20-p_0.1.txt,20,65,5
synth-n_200-m_2369-k_25-p_0.1.txt,25,73,5
synth-n_200-m_2491-k_30-p_0.1.txt,30,82,5
synth-n_200-m_2592-k_50-p_0.1.txt,50,113,5
synth-n_200-m_2772-k_70-p_0.1.txt,70,141,5
synth-n_200-m_4301-k_10-p_0.2.txt,10,61,6
synth-n_200-m_4485-k_20-p_0.2.txt,20,78,6
synth-n_200-m_4497-k_15-p_0.2.txt,15,81,7
synth-n_200-m_4763-k_25-p_0.2.txt,25,90,6
synth-n_200-m_4854-k_30-p_0.2.txt,30,93,9
synth-n_200-m_5144-k_50-p_0.2.txt,50,122,7
synth-n_200-m_5366-k_70-p_0.2.txt,70,153,8
synth-n_2000-m_106592-k_70-p_0.05.txt,70,983,940
synth-n_2000-m_108739-k_100-p_0.05.txt,100,1082,898
synth-n_2000-m_110886-k_120-p_0.05.txt,120,1064,904
synth-n_2000-m_112582-k_150-p_0.05.txt,150,1086,947
synth-n_2000-m_117145-k_200-p_0.05.txt,200,1156,960
synth-n_2000-m_212793-k_70-p_0.1.txt,70,1155,1356
synth-n_2000-m_217131-k_100-p_0.1.txt,100,1223,1326
synth-n_2000-m_220005-k_120-p_0.1.txt,120,1215,1537
synth-n_2000-m_225391-k_150-p_0.1.txt,150,1237,1625
synth-n_2000-m_233102-k_200-p_0.1.txt,200,1310,1568
synth-n_2000-m_422023-k_70-p_0.2.txt,70,1328,2544
synth-n_2000-m_430943-k_100-p_0.2.txt,100,1342,2659
synth-n_2000-m_435643-k_120-p_0.2.txt,120,1377,2631
synth-n_2000-m_444160-k_150-p_0.2.txt,150,1411,2627
synth-n_2000-m_457573-k_200-p_0.2.txt,200,1451,2850
synth-n_2300-m_142851-k_100-p_0.05.txt,100,1188,1311
synth-n_2300-m_144829-k_120-p_0.05.txt,120,1248,1522
synth-n_2300-m_147738-k_150-p_0.05.txt,150,1291,1769
synth-n_2300-m_152429-k_200-p_0.05.txt,200,1339,1635
synth-n_2300-m_284623-k_100-p_0.1.txt,100,1408,2398
synth-n_2300-m_286796-k_120-p_0.1.txt,120,1417,2427
synth-n_2300-m_292795-k_150-p_0.1.txt,150,1460,2162
synth-n_2300-m_302503-k_200-p_0.1.txt,200,1495,3044
synth-n_2300-m_563042-k_100-p_0.2.txt,100,1539,4291
synth-n_2300-m_569928-k_120-p_0.2.txt,120,1515,4781
synth-n_2300-m_580179-k_150-p_0.2.txt,150,1577,4289
synth-n_2300-m_595551-k_200-p_0.2.txt,200,1601,4572
synth-n_250-m_1653-k_10-p_0.05.txt,10,10,1
synth-n_250-m_1708-k_15-p_0.05.txt,15,32,4
synth-n_250-m_1797-k_25-p_0.05.txt,25,53,6
synth-n_250-m_1806-k_20-p_0.05.txt,20,49,4
synth-n_250-m_1841-k_30-p_0.05.txt,30,63,6
synth-n_250-m_1998-k_50-p_0.05.txt,50,97,9
synth-n_250-m_2173-k_70-p_0.05.txt,69,129,9
synth-n_250-m_3237-k_10-p_0.1.txt,10,58,7
synth-n_250-m_3416-k_15-p_0.1.txt,15,62,9
synth-n_250-m_3493-k_25-p_0.1.txt,25,87,7
synth-n_250-m_3591-k_20-p_0.1.txt,20,74,10
synth-n_250-m_3730-k_30-p_0.1.txt,30,95,13
synth-n_250-m_3992-k_50-p_0.1.txt,50,122,12
synth-n_250-m_4149-k_70-p_0.1.txt,70,175,8
synth-n_250-m_4386-k_100-p_0.1.txt,100,187,9
synth-n_250-m_6567-k_10-p_0.2.txt,10,96,10
synth-n_250-m_6839-k_20-p_0.2.txt,20,102,11
synth-n_250-m_6880-k_15-p_0.2.txt,15,90,10
synth-n_250-m_7102-k_25-p_0.2.txt,25,115,10
synth-n_250-m_7321-k_30-p_0.2.txt,30,110,10
synth-n_250-m_8019-k_50-p_0.2.txt,50,140,11
synth-n_250-m_8255-k_70-p_0.2.txt,70,164,20
synth-n_250-m_8674-k_100-p_0.2.txt,100,193,12
synth-n_2600-m_181265-k_100-p_0.05.txt,100,1380,2006
synth-n_2600-m_183371-k_120-p_0.05.txt,120,1405,2107
synth-n_2600-m_186921-k_150-p_0.05.txt,150,1433,2412
synth-n_2600-m_190932-k_200-p_0.05.txt,200,1479,2113
synth-n_2600-m_360584-k_100-p_0.1.txt,100,1610,3084
synth-n_2600-m_364394-k_120-p_0.1.txt,120,1632,3231
synth-n_2600-m_370561-k_150-p_0.1.txt,150,1640,3384
synth-n_2600-m_380919-k_200-p_0.1.txt,200,1701,3691
