name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
ucsocial-n_500,353,1231,353,80,80,80,0,true,0
usairport-n_100,46,92,46,13,13,13,0,true,0
usairport-n_1000,910,10027,730,146,253,253,1678,true,164
usairport-n_1500,1490,25277,1115,222,428,428,4876,true,545
usairport-n_1577,1574,28236,1189,243,455,455,5220,true,634
usairport-n_200,104,308,85,19,29,29,88,true,9
usairport-n_50,10,19,5,2,5,5,14,true,3
usairport-n_500,383,3451,305,68,112,112,536,true,52
wikispeedia-n_100,26,19,26,0,0,0,0,true,0
wikispeedia-n_1000,903,3091,884,145,156,156,51,true,16
wikispeedia-n_1500,1415,7438,1114,165,271,271,1647,true,615
wikispeedia-n_200,124,190,124,14,14,14,0,true,0
wikispeedia-n_2000,1927,12519,1300,201,437,437,4147,true,3643
wikispeedia-n_3000,2973,29508,1442,224,-1,0,14917,false,90000
wikispeedia-n_4000,3996,52711,1524,247,-1,0,31409,false,90000
wikispeedia-n_4181,4179,57572,1558,255,-1,0,34343,false,90000
wikispeedia-n_50,8,5,8,0,0,0,0,true,0
wikispeedia-n_500,370,857,345,45,56,56,92,true,17
synth-n_100-m_1093-k_5-p_0.2.txt,100,1093,100,5,5,5,0,true,0
synth-n_100-m_1146-k_10-p_0.2.txt,100,1146,8,0,10,10,1055,true,92
synth-n_100-m_1151-k_15-p_0.2.txt,100,1151,3,0,15,15,1138,true,190
synth-n_100-m_1229-k_20-p_0.2.txt,100,1229,0,0,20,20,1229,true,303
synth-n_100-m_1263-k_25-p_0.2.txt,100,1263,0,0,25,25,1263,true,421
synth-n_100-m_1275-k_30-p_0.2.txt,100,1275,0,0,30,30,1275,true,619
synth-n_100-m_263-k_5-p_0.05.txt,99,263,99,5,5,5,0,true,0
synth-n_100-m_289-k_10-p_0.05.txt,99,289,86,1,4,4,46,true,5
synth-n_100-m_302-k_15-p_0.05.txt,100,302,87,4,8,8,42,true,7
synth-n_100-m_332-k_20-p_0.05.txt,100,332,57,3,14,14,185,true,62
synth-n_100-m_336-k_30-p_0.05.txt,100,336,42,1,15,15,226,true,148
synth-n_100-m_343-k_25-p_0.05.txt,100,343,43,0,14,14,243,true,60
synth-n_100-m_515-k_5-p_0.1.txt,100,515,37,0,5,5,364,true,16
synth-n_100-m_591-k_15-p_0.1.txt,100,591,17,0,15,15,531,true,98
synth-n_100-m_611-k_10-p_0.1.txt,100,611,19,0,10,10,527,true,60
synth-n_100-m_628-k_20-p_0.1.txt,100,628,12,0,20,20,562,true,159
synth-n_100-m_691-k_25-p_0.1.txt,100,691,3,0,25,25,685,true,2804
synth-n_100-m_732-k_30-p_0.1.txt,100,732,1,0,30,30,731,true,3764
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,0,0,-1,0,107005,false,90000
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,0,0,-1,0,110357,false,90000
synth-n_1000-m_114433-k_100-p_0.2.txt,1000,114433,0,0,-1,0,114433,false,90000
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,0,0,-1,0,116757,false,90000
synth-n_1000-m_119520-k_150-p_0.2.txt,1000,119520,0,0,-1,0,119520,false,90000
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,0,0,-1,0,124702,false,90000
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,13,0,50,50,26944,true,10095
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,11,0,70,70,28073,true,65919
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,5,0,100,100,28971,true,60754
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,0,0,120,0,30042,false,90000
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,0,0,150,0,30795,false,90000
synth-n_1000-m_32410-k_200-p_0.05.txt,1000,32410,0,0,-1,0,32410,false,90000
