name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
talk-oc-n_3066,3064,4464,0,0,30,0,24,false,90000
talk-oc-n_50,0,0,0,0,0,0,0,true,0
talk-oc-n_500,26,22,0,0,3,3,4,true,3
temporalGraph-n_100,2,1,0,0,0,0,0,true,0
temporalGraph-n_1000,622,1447,0,0,40,40,139,true,7645
temporalGraph-n_1500,1343,3437,0,0,77,0,185,false,90000
temporalGraph-n_1868,1866,5517,0,0,106,0,65,false,90000
temporalGraph-n_200,50,73,0,0,5,5,9,true,4
temporalGraph-n_50,12,16,0,0,3,3,4,true,2
temporalGraph-n_500,199,368,0,0,17,17,52,true,143
ucsocial-n_100,26,30,0,0,5,5,6,true,2
ucsocial-n_1000,882,6250,0,0,258,258,1291,true,85317
ucsocial-n_1500,1412,12596,0,0,435,0,289,false,90000
ucsocial-n_1902,1899,20296,0,0,585,0,112,false,90000
ucsocial-n_200,82,138,0,0,23,23,36,true,10
ucsocial-n_50,16,18,0,0,3,3,5,true,2
ucsocial-n_500,353,1231,0,0,80,80,257,true,1721
usairport-n_100,46,92,0,0,13,13,28,true,6
usairport-n_1000,910,10027,0,0,253,0,1171,false,90000
usairport-n_1500,1490,25277,0,0,428,0,307,false,90000
usairport-n_1577,1574,28236,0,0,455,0,279,false,90000
usairport-n_200,104,308,0,0,29,29,67,true,41
usairport-n_50,10,19,0,0,5,5,7,true,2
usairport-n_500,383,3451,0,0,112,112,889,true,7434
wikispeedia-n_100,26,19,0,0,0,0,0,true,0
wikispeedia-n_1000,903,3091,0,0,156,156,317,true,18311
wikispeedia-n_1500,1415,7438,0,0,271,0,624,false,90000
wikispeedia-n_200,124,190,0,0,14,14,17,true,15
wikispeedia-n_2000,1927,12519,0,0,437,0,575,false,90000
wikispeedia-n_3000,2973,29508,0,0,-1,0,439,false,90000
wikispeedia-n_4000,3996,52711,0,0,-1,0,229,false,90000
wikispeedia-n_4181,4179,57572,0,0,-1,0,213,false,90000
wikispeedia-n_50,8,5,0,0,0,0,0,true,0
wikispeedia-n_500,370,857,0,0,56,56,95,true,608
synth-n_100-m_1093-k_5-p_0.2.txt,100,1093,0,0,5,5,11,true,10
synth-n_100-m_1146-k_10-p_0.2.txt,100,1146,0,0,10,10,21,true,14
synth-n_100-m_1151-k_15-p_0.2.txt,100,1151,0,0,15,15,40,true,30
synth-n_100-m_1229-k_20-p_0.2.txt,100,1229,0,0,20,20,98,true,56
synth-n_100-m_1263-k_25-p_0.2.txt,100,1263,0,0,25,25,211,true,131
synth-n_100-m_1275-k_30-p_0.2.txt,100,1275,0,0,30,30,269,true,181
synth-n_100-m_263-k_5-p_0.05.txt,99,263,0,0,5,5,11,true,7
synth-n_100-m_289-k_10-p_0.05.txt,99,289,0,0,4,4,8,true,6
synth-n_100-m_302-k_15-p_0.05.txt,100,302,0,0,8,8,14,true,8
synth-n_100-m_332-k_20-p_0.05.txt,100,332,0,0,14,14,29,true,15
synth-n_100-m_336-k_30-p_0.05.txt,100,336,0,0,15,15,43,true,24
synth-n_100-m_343-k_25-p_0.05.txt,100,343,0,0,14,14,30,true,16
synth-n_100-m_515-k_5-p_0.1.txt,100,515,0,0,5,5,8,true,6
synth-n_100-m_591-k_15-p_0.1.txt,100,591,0,0,15,15,37,true,20
synth-n_100-m_611-k_10-p_0.1.txt,100,611,0,0,10,10,21,true,11
synth-n_100-m_628-k_20-p_0.1.txt,100,628,0,0,20,20,55,true,25
synth-n_100-m_691-k_25-p_0.1.txt,100,691,0,0,25,25,154,true,84
synth-n_100-m_732-k_30-p_0.1.txt,100,732,0,0,30,30,182,true,215
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,0,0,-1,50,163,true,41151
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,0,0,-1,0,492,false,90000
synth-n_1000-m_114433-k_100-p_0.2.txt,1000,114433,0,0,-1,0,486,false,90000
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,0,0,-1,0,444,false,90000
synth-n_1000-m_119520-k_150-p_0.2.txt,1000,119520,0,0,-1,0,390,false,90000
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,0,0,-1,0,357,false,90000
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,0,0,50,50,109,true,10368
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,0,0,70,70,215,true,20186
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,0,0,100,0,790,false,90000
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,0,0,120,0,1373,false,90000
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,0,0,150,150,1798,true,84244
synth-n_1000-m_32410-k_200-p_0.05.txt,1000,32410,0,0,-1,0,1932,false,90000
synth-n_1000-m_54531-k_50-p_0.1.txt,1000,54531,0,0,50,50,124,true,18756
synth-n_1000-m_55974-k_70-p_0.1.txt,1000,55974,0,0,70,70,559,true,79410
synth-n_1000-m_57929-k_100-p_0.1.txt,1000,57929,0,0,-1,0,878,false,90000
synth-n_1000-m_59867-k_120-p_0.1.txt,1000,59867,0,0,-1,0,972,false,90000
synth-n_1000-m_60934-k_150-p_0.1.txt,1000,60934,0,0,-1,0,1039,false,90000
