name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
ChicagoRegional-n_7000,6106,11328,5842,2347,2495,2495,959,true,192
ChicagoRegional-n_8000,7282,14765,6804,2772,3028,3028,1766,true,246
ChicagoRegional-n_9000,8479,19095,7628,3198,3651,3651,3236,true,380
health-n_100,23,18,23,4,4,4,0,true,0
health-n_1000,934,2008,904,211,231,231,112,true,37
health-n_1500,1451,4642,1261,341,446,446,857,true,90
health-n_200,94,87,94,17,17,17,0,true,0
health-n_2000,1973,7956,1172,297,674,674,4697,true,294
health-n_2542,2539,12969,1031,235,960,960,10399,true,1762
health-n_50,10,7,10,2,2,2,0,true,0
health-n_500,388,490,384,65,67,67,16,true,3
link-kv-n_100,18,22,12,4,8,8,20,true,8
link-kv-n_1000,644,4081,440,63,234,234,2890,true,215
link-kv-n_1500,1054,8494,705,101,391,391,5814,true,2258
link-kv-n_200,90,139,76,10,20,20,57,true,16
link-kv-n_2000,1772,19901,1210,112,565,0,13016,false,90000
link-kv-n_3000,2540,39796,1620,174,900,0,26147,false,90000
link-kv-n_4000,3777,69389,2389,200,-1,0,50828,false,90000
link-kv-n_50,6,3,6,0,0,0,0,true,0
link-kv-n_500,270,1056,196,23,83,83,616,true,90
link-kv-n_5000,4840,117893,2975,261,-1,0,82925,false,90000
link-kv-n_6000,5911,162803,3599,304,-1,0,120893,false,90000
link-kv-n_6916,6914,211650,4186,352,-1,0,159410,false,90000
openflights-n_100,25,48,25,10,10,10,0,true,0
openflights-n_1000,625,2842,602,190,201,201,91,true,11
openflights-n_1500,1199,7492,1111,364,413,413,374,true,56
openflights-n_200,64,106,57,22,26,26,24,true,7
openflights-n_2000,1794,13285,1691,535,593,593,475,true,66
openflights-n_2942,2939,30501,2676,858,998,998,1281,true,118
openflights-n_50,4,4,4,2,2,2,0,true,0
openflights-n_500,226,770,207,69,80,80,79,true,10
out.cfinder-google-n_100,8,7,8,6,6,6,0,true,0
out.cfinder-google-n_1000,413,576,404,94,100,100,30,true,12
out.cfinder-google-n_10000,9678,70276,7514,1603,3133,3133,13064,true,1683
out.cfinder-google-n_1500,723,1120,678,157,188,188,165,true,55
out.cfinder-google-n_200,32,27,32,13,13,13,0,true,0
out.cfinder-google-n_2000,1384,3224,1294,244,307,307,343,true,106
out.cfinder-google-n_3000,2127,5857,1880,400,574,574,987,true,267
out.cfinder-google-n_4000,3184,11463,2768,555,852,852,1735,true,455
out.cfinder-google-n_50,8,8,8,7,7,7,0,true,0
out.cfinder-google-n_500,119,142,116,35,37,37,10,true,4
out.cfinder-google-n_5000,4366,19192,3722,740,1200,1200,2798,true,618
out.cfinder-google-n_6000,5853,31372,4916,901,1581,1581,4459,true,839
out.cfinder-google-n_7000,6186,31254,5038,1091,1928,1928,5870,true,967
out.cfinder-google-n_8000,7228,48521,5596,1204,2338,2338,9307,true,1285
out.cfinder-google-n_9000,8186,53109,6392,1380,2698,2698,9769,true,1467
talk-oc-n_100,0,0,0,0,0,0,0,true,0
talk-oc-n_1000,589,757,589,7,7,7,0,true,0
talk-oc-n_1500,284,489,284,15,15,15,0,true,0
talk-oc-n_200,81,78,81,0,0,0,0,true,0
talk-oc-n_2000,408,605,408,15,15,15,0,true,0
talk-oc-n_3000,2997,4263,2997,29,29,29,0,true,1
talk-oc-n_3066,3064,4464,3064,30,30,30,0,true,1
talk-oc-n_50,0,0,0,0,0,0,0,true,0
talk-oc-n_500,26,22,26,3,3,3,0,true,0
temporalGraph-n_100,2,1,2,0,0,0,0,true,0
temporalGraph-n_1000,622,1447,622,40,40,40,0,true,0
temporalGraph-n_1500,1343,3437,1310,61,77,77,305,true,14
temporalGraph-n_1868,1866,5517,1834,91,106,106,238,true,14
temporalGraph-n_200,50,73,50,5,5,5,0,true,0
temporalGraph-n_50,12,16,12,3,3,3,0,true,0
temporalGraph-n_500,199,368,185,11,17,17,62,true,4
ucsocial-n_100,26,30,26,5,5,5,0,true,0
ucsocial-n_1000,882,6250,798,219,258,258,441,true,13
ucsocial-n_1500,1412,12596,1033,253,435,435,3096,true,178
ucsocial-n_1902,1899,20296,1493,381,585,585,2942,true,132
ucsocial-n_200,82,138,82,23,23,23,0,true,0
ucsocial-n_50,16,18,16,3,3,3,0,true,0
ucsocial-n_500,353,1231,353,80,80,80,0,true,0
usairport-n_100,46,92,46,13,13,13,0,true,0
usairport-n_1000,910,10027,730,146,253,253,1933,true,172
usairport-n_1500,1490,25277,1115,222,428,428,5403,true,458
usairport-n_1577,1574,28236,1189,243,455,455,5758,true,519
usairport-n_200,104,308,85,19,29,29,115,true,5
usairport-n_50,10,19,5,2,5,5,21,true,3
usairport-n_500,383,3451,305,68,112,112,647,true,42
wikispeedia-n_100,26,19,26,0,0,0,0,true,0
wikispeedia-n_1000,903,3091,884,145,156,156,76,true,9
wikispeedia-n_1500,1415,7438,1114,165,271,271,2036,true,475
wikispeedia-n_200,124,190,124,14,14,14,0,true,0
wikispeedia-n_2000,1927,12519,1300,201,437,437,4968,true,4091
wikispeedia-n_3000,2973,29508,1442,224,-1,0,16913,false,90000
wikispeedia-n_4000,3996,52711,1524,247,-1,0,34628,false,90000
wikispeedia-n_4181,4179,57572,1558,255,-1,0,37762,false,90000
wikispeedia-n_50,8,5,8,0,0,0,0,true,0
wikispeedia-n_500,370,857,345,45,56,56,124,true,10
synth-n_100-m_1093-k_5-p_0.2.txt,100,1093,100,5,5,5,0,true,0
synth-n_100-m_1146-k_10-p_0.2.txt,100,1146,8,0,10,10,1157,true,17
synth-n_100-m_1151-k_15-p_0.2.txt,100,1151,3,0,15,15,1249,true,27
synth-n_100-m_1229-k_20-p_0.2.txt,100,1229,0,0,20,20,1349,true,29
synth-n_100-m_1263-k_25-p_0.2.txt,100,1263,0,0,25,25,1386,true,42
synth-n_100-m_1275-k_30-p_0.2.txt,100,1275,0,0,30,30,1400,true,188
synth-n_100-m_263-k_5-p_0.05.txt,99,263,99,5,5,5,0,true,0
synth-n_100-m_289-k_10-p_0.05.txt,99,289,86,1,4,4,61,true,4
synth-n_100-m_302-k_15-p_0.05.txt,100,302,87,4,8,8,59,true,4
synth-n_100-m_332-k_20-p_0.05.txt,100,332,57,3,14,14,237,true,19
synth-n_100-m_336-k_30-p_0.05.txt,100,336,42,1,15,15,295,true,52
synth-n_100-m_343-k_25-p_0.05.txt,100,343,43,0,14,14,311,true,55
synth-n_100-m_515-k_5-p_0.1.txt,100,515,37,0,5,5,432,true,8
synth-n_100-m_591-k_15-p_0.1.txt,100,591,17,0,15,15,627,true,11
synth-n_100-m_611-k_10-p_0.1.txt,100,611,19,0,10,10,618,true,14
synth-n_100-m_628-k_20-p_0.1.txt,100,628,12,0,20,20,668,true,20
synth-n_100-m_691-k_25-p_0.1.txt,100,691,3,0,25,25,800,true,197
synth-n_100-m_732-k_30-p_0.1.txt,100,732,1,0,30,30,850,true,7598
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,0,0,-1,50,108055,true,13002
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,0,0,-1,70,111427,true,33507
synth-n_1000-m_114433-k_100-p_0.2.txt,1000,114433,0,0,-1,100,115531,true,40447
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,0,0,-1,120,117874,true,40519
synth-n_1000-m_119520-k_150-p_0.2.txt,1000,119520,0,0,-1,150,120666,true,51573
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,0,0,-1,200,125894,true,42338
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,13,0,50,50,27980,true,3319
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,11,0,70,70,29130,true,4597
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,5,0,100,100,30063,true,5161
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,0,0,120,120,31161,true,6785
