name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
talk-oc-n_2000,408,605,408,15,15,15,0,true,0
talk-oc-n_3000,2997,4263,2997,29,29,29,0,true,1
talk-oc-n_3066,3064,4464,3064,30,30,30,0,true,1
talk-oc-n_50,0,0,0,0,0,0,0,true,0
talk-oc-n_500,26,22,26,3,3,3,0,true,0
temporalGraph-n_100,2,1,2,0,0,0,0,true,0
temporalGraph-n_1000,622,1447,622,40,40,40,0,true,1
temporalGraph-n_1500,1343,3437,1310,61,77,77,268,true,14
temporalGraph-n_1868,1866,5517,1834,91,106,106,204,true,12
temporalGraph-n_200,50,73,50,5,5,5,0,true,0
temporalGraph-n_50,12,16,12,3,3,3,0,true,0
temporalGraph-n_500,199,368,185,11,17,17,48,true,4
ucsocial-n_100,26,30,26,5,5,5,0,true,0
ucsocial-n_1000,882,6250,798,219,258,258,353,true,13
ucsocial-n_1500,1412,12596,1033,253,435,435,2715,true,206
ucsocial-n_1902,1899,20296,1493,381,585,585,2529,true,152
ucsocial-n_200,82,138,82,23,23,23,0,true,0
ucsocial-n_50,16,18,16,3,3,3,0,true,0
ucsocial-n_500,353,1231,353,80,80,80,0,true,0
usairport-n_100,46,92,46,13,13,13,0,true,0
usairport-n_1000,910,10027,730,146,253,253,1728,true,135
usairport-n_1500,1490,25277,1115,222,428,428,4980,true,660
usairport-n_1577,1574,28236,1189,243,455,455,5324,true,629
usairport-n_200,104,308,85,19,29,29,95,true,9
usairport-n_50,10,19,5,2,5,5,16,true,3
usairport-n_500,383,3451,305,68,112,112,560,true,44
wikispeedia-n_100,26,19,26,0,0,0,0,true,0
wikispeedia-n_1000,903,3091,884,145,156,156,56,true,10
wikispeedia-n_1500,1415,7438,1114,165,271,271,1725,true,1106
wikispeedia-n_200,124,190,124,14,14,14,0,true,0
wikispeedia-n_2000,1927,12519,1300,201,437,437,4322,true,7087
wikispeedia-n_3000,2973,29508,1442,224,-1,0,15326,false,90000
wikispeedia-n_4000,3996,52711,1524,247,-1,0,32045,false,90000
wikispeedia-n_4181,4179,57572,1558,255,-1,0,35019,false,90000
wikispeedia-n_50,8,5,8,0,0,0,0,true,0
wikispeedia-n_500,370,857,345,45,56,56,99,true,11
synth-n_100-m_1093-k_5-p_0.2.txt,100,1093,100,5,5,5,0,true,0
synth-n_100-m_1146-k_10-p_0.2.txt,100,1146,8,0,10,10,1065,true,34
synth-n_100-m_1151-k_15-p_0.2.txt,100,1151,3,0,15,15,1151,true,56
