[2021-10-21 17:57:06.880] synth-n_30-m_97-k_2-p_0.2.txt: 	Success with k = 2 in 1ms
[2021-10-21 17:57:06.918] synth-n_30-m_97-k_2-p_0.2.txt: 	Verified
[2021-10-21 17:57:06.919] synth-n_30-m_99-k_4-p_0.2.txt: 	Success with k = 3 in 0ms
[2021-10-21 17:57:06.957] synth-n_30-m_99-k_4-p_0.2.txt: 	Verified
[2021-10-21 17:57:07.049] synth-n_40-m_112-k_8-p_0.1.txt: 	Success with k = 6 in 92ms
[2021-10-21 17:57:07.087] synth-n_40-m_112-k_8-p_0.1.txt: 	Verified
[2021-10-21 17:57:07.201] synth-n_40-m_114-k_10-p_0.1.txt: 	Success with k = 6 in 113ms
[2021-10-21 17:57:07.241] synth-n_40-m_114-k_10-p_0.1.txt: 	Verified
[2021-10-21 17:57:09.594] synth-n_40-m_114-k_15-p_0.1.txt: 	Success with k = 6 in 2.2352s
[2021-10-21 17:57:09.633] synth-n_40-m_114-k_15-p_0.1.txt: 	Verified
[2021-10-21 17:57:09.634] synth-n_40-m_176-k_2-p_0.2.txt: 	Success with k = 2 in 1ms
[2021-10-21 17:57:09.672] synth-n_40-m_176-k_2-p_0.2.txt: 	Verified
[2021-10-21 17:57:09.680] synth-n_40-m_185-k_4-p_0.2.txt: 	Success with k = 4 in 7ms
[2021-10-21 17:57:09.717] synth-n_40-m_185-k_4-p_0.2.txt: 	Verified
[2021-10-21 17:57:20.718] synth-n_40-m_192-k_10-p_0.2.txt: 	Failed with k = 7 because of the timelimit
[2021-10-21 17:57:20.773] synth-n_40-m_192-k_10-p_0.2.txt: 	Not Verified
[2021-10-21 17:57:31.773] synth-n_40-m_192-k_15-p_0.2.txt: 	Failed with k = 9 because of the timelimit
[2021-10-21 17:57:31.814] synth-n_40-m_192-k_15-p_0.2.txt: 	Not Verified
[2021-10-21 17:57:31.844] synth-n_40-m_194-k_6-p_0.2.txt: 	Success with k = 5 in 30ms
[2021-10-21 17:57:31.882] synth-n_40-m_194-k_6-p_0.2.txt: 	Verified
[2021-10-21 17:57:35.002] synth-n_40-m_203-k_8-p_0.2.txt: 	Success with k = 7 in 3.3119s
[2021-10-21 17:57:35.041] synth-n_40-m_203-k_8-p_0.2.txt: 	Verified
[2021-10-21 17:57:35.041] synth-n_40-m_36-k_2-p_0.05.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:57:35.078] synth-n_40-m_36-k_2-p_0.05.txt: 	Verified
[2021-10-21 17:57:35.079] synth-n_40-m_47-k_6-p_0.05.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:57:35.115] synth-n_40-m_47-k_6-p_0.05.txt: 	Verified
[2021-10-21 17:57:35.116] synth-n_40-m_50-k_4-p_0.05.txt: 	Success with k = 1 in 0ms
[2021-10-21 17:57:35.153] synth-n_40-m_50-k_4-p_0.05.txt: 	Verified
[2021-10-21 17:57:35.154] synth-n_40-m_58-k_15-p_0.05.txt: 	Success with k = 1 in 1ms
[2021-10-21 17:57:35.190] synth-n_40-m_58-k_15-p_0.05.txt: 	Verified
[2021-10-21 17:57:35.190] synth-n_40-m_61-k_8-p_0.05.txt: 	Success with k = 1 in 0ms
[2021-10-21 17:57:35.228] synth-n_40-m_61-k_8-p_0.05.txt: 	Verified
[2021-10-21 17:57:35.229] synth-n_40-m_62-k_10-p_0.05.txt: 	Success with k = 3 in 1ms
[2021-10-21 17:57:35.267] synth-n_40-m_62-k_10-p_0.05.txt: 	Verified
[2021-10-21 17:57:35.277] synth-n_40-m_88-k_4-p_0.1.txt: 	Success with k = 3 in 9ms
[2021-10-21 17:57:35.316] synth-n_40-m_88-k_4-p_0.1.txt: 	Verified
[2021-10-21 17:57:35.317] synth-n_40-m_92-k_2-p_0.1.txt: 	Success with k = 2 in 1ms
[2021-10-21 17:57:35.355] synth-n_40-m_92-k_2-p_0.1.txt: 	Verified
[2021-10-21 17:57:35.360] synth-n_40-m_95-k_6-p_0.1.txt: 	Success with k = 4 in 5ms
[2021-10-21 17:57:35.400] synth-n_40-m_95-k_6-p_0.1.txt: 	Verified
[2021-10-21 17:57:35.401] synth-n_50-m_139-k_2-p_0.1.txt: 	Success with k = 2 in 1ms
[2021-10-21 17:57:35.439] synth-n_50-m_139-k_2-p_0.1.txt: 	Verified
[2021-10-21 17:57:35.440] synth-n_50-m_139-k_4-p_0.1.txt: 	Success with k = 2 in 1ms
[2021-10-21 17:57:35.479] synth-n_50-m_139-k_4-p_0.1.txt: 	Verified
[2021-10-21 17:57:38.316] synth-n_50-m_154-k_8-p_0.1.txt: 	Success with k = 6 in 2.2836s
[2021-10-21 17:57:38.355] synth-n_50-m_154-k_8-p_0.1.txt: 	Verified
[2021-10-21 17:57:46.926] synth-n_50-m_159-k_10-p_0.1.txt: 	Success with k = 8 in 8.8569s
[2021-10-21 17:57:46.965] synth-n_50-m_159-k_10-p_0.1.txt: 	Verified
[2021-10-21 17:57:47.229] synth-n_50-m_169-k_6-p_0.1.txt: 	Success with k = 6 in 263ms
[2021-10-21 17:57:47.267] synth-n_50-m_169-k_6-p_0.1.txt: 	Verified
[2021-10-21 17:57:58.268] synth-n_50-m_192-k_20-p_0.1.txt: 	Failed with k = 7 because of the timelimit
[2021-10-21 17:57:58.320] synth-n_50-m_192-k_20-p_0.1.txt: 	Not Verified
[2021-10-21 17:58:09.321] synth-n_50-m_195-k_15-p_0.1.txt: 	Failed with k = 7 because of the timelimit
[2021-10-21 17:58:09.378] synth-n_50-m_195-k_15-p_0.1.txt: 	Not Verified
[2021-10-21 17:58:09.379] synth-n_50-m_275-k_2-p_0.2.txt: 	Success with k = 2 in 0ms
[2021-10-21 17:58:09.417] synth-n_50-m_275-k_2-p_0.2.txt: 	Verified
[2021-10-21 17:58:09.421] synth-n_50-m_278-k_4-p_0.2.txt: 	Success with k = 4 in 3ms
[2021-10-21 17:58:09.460] synth-n_50-m_278-k_4-p_0.2.txt: 	Verified
[2021-10-21 17:58:11.363] synth-n_50-m_302-k_6-p_0.2.txt: 	Success with k = 6 in 1.1902s
[2021-10-21 17:58:11.402] synth-n_50-m_302-k_6-p_0.2.txt: 	Verified
[2021-10-21 17:58:22.403] synth-n_50-m_320-k_15-p_0.2.txt: 	Failed with k = 8 because of the timelimit
[2021-10-21 17:58:22.461] synth-n_50-m_320-k_15-p_0.2.txt: 	Not Verified
[2021-10-21 17:58:33.461] synth-n_50-m_327-k_10-p_0.2.txt: 	Failed with k = 7 because of the timelimit
[2021-10-21 17:58:33.506] synth-n_50-m_327-k_10-p_0.2.txt: 	Not Verified
[2021-10-21 17:58:44.508] synth-n_50-m_334-k_8-p_0.2.txt: 	Failed with k = 6 because of the timelimit
[2021-10-21 17:58:44.549] synth-n_50-m_334-k_8-p_0.2.txt: 	Not Verified
