name,k_optimal,k_solved,millis,verified,recursive_steps
synth-n_160-m_1523-k_20-p_0.1.txt,20,0,180000,false,3738993
synth-n_160-m_1595-k_25-p_0.1.txt,25,0,180000,false,4751977
synth-n_160-m_1648-k_30-p_0.1.txt,30,0,180000,false,4666066
synth-n_160-m_2577-k_2-p_0.2.txt,2,2,127,true,1
synth-n_160-m_2611-k_4-p_0.2.txt,4,4,198,true,1
synth-n_160-m_2705-k_6-p_0.2.txt,6,6,249,true,1
synth-n_160-m_2720-k_10-p_0.2.txt,10,10,318,true,1
synth-n_160-m_2776-k_8-p_0.2.txt,8,8,281,true,1
synth-n_160-m_2910-k_15-p_0.2.txt,15,15,412,true,5
synth-n_160-m_3006-k_20-p_0.2.txt,20,20,752,true,3885
synth-n_160-m_3034-k_25-p_0.2.txt,25,25,90742,true,2021135
synth-n_160-m_3134-k_30-p_0.2.txt,30,0,180000,false,5758312
synth-n_160-m_641-k_2-p_0.05.txt,2,2,5,true,2
synth-n_160-m_663-k_4-p_0.05.txt,4,4,31,true,21
synth-n_160-m_683-k_8-p_0.05.txt,6,6,49,true,509
synth-n_160-m_693-k_6-p_0.05.txt,6,6,62,true,540
synth-n_160-m_731-k_10-p_0.05.txt,10,10,3275,true,52048
synth-n_160-m_743-k_20-p_0.05.txt,19,0,180000,false,4012492
synth-n_160-m_746-k_15-p_0.05.txt,14,0,180000,false,2113952
synth-n_160-m_800-k_30-p_0.05.txt,27,0,180000,false,4397126
synth-n_160-m_810-k_25-p_0.05.txt,25,0,180000,false,4806238
synth-n_180-m_1022-k_30-p_0.05.txt,29,0,180000,false,4890672
synth-n_180-m_1057-k_25-p_0.05.txt,22,0,180000,false,4898375
synth-n_180-m_1627-k_4-p_0.1.txt,4,4,160,true,1
synth-n_180-m_1658-k_2-p_0.1.txt,2,2,73,true,1
synth-n_180-m_1683-k_6-p_0.1.txt,6,6,233,true,1
synth-n_180-m_1717-k_8-p_0.1.txt,8,8,213,true,1
synth-n_180-m_1738-k_10-p_0.1.txt,10,10,269,true,120
synth-n_180-m_1958-k_15-p_0.1.txt,15,15,1107,true,12431
synth-n_180-m_1962-k_25-p_0.1.txt,25,0,180000,false,3359406
synth-n_180-m_1968-k_20-p_0.1.txt,20,20,136302,true,2015026
synth-n_180-m_2037-k_30-p_0.1.txt,30,0,180000,false,4803313
synth-n_180-m_3254-k_2-p_0.2.txt,2,2,172,true,1
synth-n_180-m_3302-k_4-p_0.2.txt,4,4,268,true,1
synth-n_180-m_3396-k_8-p_0.2.txt,8,8,436,true,1
synth-n_180-m_3408-k_6-p_0.2.txt,6,6,357,true,1
synth-n_180-m_3481-k_10-p_0.2.txt,10,10,456,true,1
synth-n_180-m_3631-k_15-p_0.2.txt,15,15,599,true,1
synth-n_180-m_3690-k_20-p_0.2.txt,20,20,802,true,1796
synth-n_180-m_3812-k_25-p_0.2.txt,25,25,4529,true,93375
synth-n_180-m_4031-k_30-p_0.2.txt,30,0,180000,false,4811217
synth-n_180-m_804-k_2-p_0.05.txt,2,2,12,true,1
synth-n_180-m_827-k_6-p_0.05.txt,6,6,112,true,289
synth-n_180-m_855-k_15-p_0.05.txt,15,0,180000,false,2022313
synth-n_180-m_867-k_8-p_0.05.txt,8,8,322,true,3683
synth-n_180-m_881-k_4-p_0.05.txt,4,4,30,true,9
synth-n_180-m_895-k_20-p_0.05.txt,19,0,180000,false,2391545
synth-n_180-m_902-k_10-p_0.05.txt,10,10,7744,true,73100
synth-n_20-m_18-k_4-p_0.05.txt,1,1,0,true,2
synth-n_20-m_20-k_4-p_0.1.txt,0,0,0,true,0
synth-n_20-m_25-k_2-p_0.1.txt,1,1,0,true,1
synth-n_20-m_25-k_8-p_0.1.txt,2,2,0,true,3
synth-n_20-m_38-k_6-p_0.1.txt,2,2,0,true,4
synth-n_20-m_48-k_2-p_0.2.txt,2,2,1,true,4
synth-n_20-m_54-k_8-p_0.2.txt,3,3,1,true,8
synth-n_20-m_58-k_4-p_0.2.txt,4,4,0,true,12
synth-n_20-m_59-k_6-p_0.2.txt,3,3,0,true,4
synth-n_20-m_9-k_8-p_0.05.txt,0,0,0,true,0
synth-n_200-m_1059-k_8-p_0.05.txt,8,8,1203,true,11727
synth-n_200-m_1063-k_2-p_0.05.txt,2,2,39,true,1
synth-n_200-m_1075-k_10-p_0.05.txt,10,10,7785,true,104428
synth-n_200-m_1093-k_4-p_0.05.txt,4,4,89,true,1
synth-n_200-m_1096-k_6-p_0.05.txt,6,6,136,true,92
synth-n_200-m_1115-k_15-p_0.05.txt,15,0,180000,false,2808979
synth-n_200-m_1151-k_25-p_0.05.txt,25,0,180000,false,4099307
synth-n_200-m_1172-k_20-p_0.05.txt,20,0,180000,false,2216889
synth-n_200-m_1319-k_30-p_0.05.txt,30,0,180000,false,5298478
synth-n_200-m_2075-k_10-p_0.1.txt,10,10,371,true,6
synth-n_200-m_2076-k_6-p_0.1.txt,6,6,296,true,1
synth-n_200-m_2088-k_4-p_0.1.txt,4,4,247,true,1
synth-n_200-m_2096-k_2-p_0.1.txt,2,2,144,true,1
synth-n_200-m_2119-k_8-p_0.1.txt,8,8,315,true,1
synth-n_200-m_2270-k_20-p_0.1.txt,20,0,180000,false,3320343
synth-n_200-m_2275-k_15-p_0.1.txt,15,15,1191,true,7199
synth-n_200-m_2356-k_25-p_0.1.txt,25,0,180000,false,4105381
synth-n_200-m_2488-k_30-p_0.1.txt,30,0,180000,false,4528878
synth-n_200-m_4097-k_2-p_0.2.txt,2,2,239,true,1
synth-n_200-m_4160-k_10-p_0.2.txt,10,10,714,true,1
synth-n_200-m_4165-k_4-p_0.2.txt,4,4,382,true,1
synth-n_200-m_4241-k_6-p_0.2.txt,6,6,473,true,1
synth-n_200-m_4270-k_8-p_0.2.txt,8,8,585,true,1
synth-n_200-m_4411-k_15-p_0.2.txt,15,15,853,true,1
synth-n_200-m_4591-k_20-p_0.2.txt,20,20,1028,true,104
synth-n_200-m_4629-k_25-p_0.2.txt,25,25,21109,true,299656
synth-n_200-m_4765-k_30-p_0.2.txt,30,30,61515,true,1682335
synth-n_225-m_1274-k_4-p_0.05.txt,4,4,79,true,1
synth-n_225-m_1286-k_2-p_0.05.txt,2,2,60,true,1
synth-n_225-m_1352-k_6-p_0.05.txt,6,6,163,true,5
synth-n_225-m_1385-k_8-p_0.05.txt,8,8,345,true,444
synth-n_225-m_1390-k_10-p_0.05.txt,10,10,1481,true,8079
synth-n_225-m_1391-k_15-p_0.05.txt,15,0,180000,false,1368364
synth-n_225-m_1470-k_20-p_0.05.txt,19,0,180000,false,2922007
synth-n_225-m_1484-k_25-p_0.05.txt,25,0,180000,false,2572074
synth-n_225-m_1517-k_30-p_0.05.txt,30,0,180000,false,3339760
synth-n_225-m_2523-k_2-p_0.1.txt,2,2,167,true,1
synth-n_225-m_2681-k_10-p_0.1.txt,10,10,572,true,1
synth-n_225-m_2685-k_6-p_0.1.txt,6,6,442,true,1
synth-n_225-m_2691-k_8-p_0.1.txt,8,8,535,true,1
synth-n_225-m_2732-k_4-p_0.1.txt,4,4,361,true,1
synth-n_225-m_2816-k_15-p_0.1.txt,15,15,1668,true,6542
synth-n_225-m_2884-k_20-p_0.1.txt,20,0,180000,false,2882769
synth-n_225-m_2884-k_25-p_0.1.txt,25,0,180000,false,3479701
synth-n_225-m_2964-k_30-p_0.1.txt,30,0,180000,false,3806881
synth-n_225-m_4993-k_2-p_0.2.txt,2,2,307,true,1
synth-n_225-m_5212-k_6-p_0.2.txt,6,6,709,true,1
synth-n_225-m_5223-k_4-p_0.2.txt,4,4,512,true,1
synth-n_225-m_5291-k_8-p_0.2.txt,8,8,812,true,1
