k millis
3 16
3 2
3 5
4 8
3 2
1 0
3 1
3 1
1 0
2 0
3 0
4 0
4 2
3 0
3 1
6 24
6 8
4 1
6 30
6 100
4 5
7 151
6 69
3 1
