name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
out.cfinder-google-n_4000,3184,11463,852,852,555,true,2768,0,297,39,16
out.cfinder-google-n_50,8,8,7,7,7,true,8,0,0,0,0
out.cfinder-google-n_500,119,142,37,37,35,true,116,0,2,0,0
out.cfinder-google-n_5000,4366,19192,1200,1200,740,true,3722,0,455,62,24
out.cfinder-google-n_6000,5853,31372,1581,1581,901,true,4916,0,689,87,35
out.cfinder-google-n_7000,6186,31254,1928,1928,1091,true,5038,0,803,86,38
out.cfinder-google-n_8000,7228,48521,2338,2338,1204,true,5596,0,1086,175,58
out.cfinder-google-n_9000,8186,53109,2698,2698,1380,true,6392,0,1272,151,58
talk-oc-n_100,0,0,0,0,0,true,0,0,0,0,0
talk-oc-n_1000,589,757,7,7,7,true,589,0,0,0,0
talk-oc-n_1500,284,489,15,15,15,true,284,0,0,0,0
talk-oc-n_200,81,78,0,0,0,true,81,0,0,0,0
talk-oc-n_2000,408,605,15,15,15,true,408,0,0,0,0
talk-oc-n_3000,2997,4263,29,29,29,true,2997,0,0,1,0
talk-oc-n_3066,3064,4464,30,30,30,true,3064,0,0,0,0
talk-oc-n_50,0,0,0,0,0,true,0,0,0,0,0
talk-oc-n_500,26,22,3,3,3,true,26,0,0,0,0
temporalGraph-n_100,2,1,0,0,0,true,2,0,0,0,0
temporalGraph-n_1000,622,1447,40,40,40,true,622,0,0,0,0
temporalGraph-n_1500,1343,3437,77,77,61,true,1310,0,11,2,0
temporalGraph-n_1868,1866,5517,106,106,91,true,1834,0,9,2,0
temporalGraph-n_200,50,73,5,5,5,true,50,0,0,0,0
temporalGraph-n_50,12,16,3,3,3,true,12,0,0,0,0
temporalGraph-n_500,199,368,17,17,11,true,185,0,3,1,0
ucsocial-n_100,26,30,5,5,5,true,26,0,0,0,0
ucsocial-n_1000,882,6250,258,258,219,true,798,0,5,3,0
ucsocial-n_1500,1412,12596,435,435,253,true,1033,0,191,420,58
ucsocial-n_1902,1899,20296,585,585,381,true,1493,0,1679,1896,368
ucsocial-n_200,82,138,23,23,23,true,82,0,0,0,0
ucsocial-n_50,16,18,3,3,3,true,16,0,0,0,0
ucsocial-n_500,353,1231,80,80,80,true,353,0,0,0,0
usairport-n_100,46,92,13,13,13,true,46,0,0,0,0
usairport-n_1000,910,10027,253,253,146,true,730,0,210,59,12
usairport-n_1500,1490,25277,428,428,222,true,1115,0,5489,1171,265
usairport-n_1577,1574,28236,455,455,243,true,1189,0,42743,5162,1573
usairport-n_200,104,308,29,29,19,true,85,0,6,1,0
usairport-n_50,10,19,5,5,2,true,5,0,2,0,0
usairport-n_500,383,3451,112,112,68,true,305,0,59,8,1
wikispeedia-n_100,26,19,0,0,0,true,26,0,0,0,0
wikispeedia-n_1000,903,3091,156,156,145,true,884,0,20,1,0
wikispeedia-n_1500,1415,7438,271,270,165,false,1114,0,242148,90000,75902
wikispeedia-n_200,124,190,14,14,14,true,124,0,0,0,0
wikispeedia-n_2000,1927,12519,437,426,201,false,1300,0,44776,90000,18318
wikispeedia-n_3000,2973,29508,-1,746,224,false,1442,0,3291,90003,4613
wikispeedia-n_4000,3996,52711,-1,1072,247,false,1524,0,781,90029,2736
wikispeedia-n_4181,4179,57572,-1,1133,255,false,1558,0,698,90086,2436
wikispeedia-n_50,8,5,0,0,0,true,8,0,0,0,0
wikispeedia-n_500,370,857,56,56,45,true,345,0,7,1,0
synth-n_100-m_1093-k_5-p_0.2.txt,100,1093,5,5,5,true,100,0,0,0,0
synth-n_100-m_1146-k_10-p_0.2.txt,100,1146,10,10,0,true,8,0,8,2,0
synth-n_100-m_1151-k_15-p_0.2.txt,100,1151,15,15,0,true,3,0,12,3,1
synth-n_100-m_1229-k_20-p_0.2.txt,100,1229,20,20,0,true,0,0,15,7,1
synth-n_100-m_1263-k_25-p_0.2.txt,100,1263,25,25,0,true,0,0,38,18,5
synth-n_100-m_1275-k_30-p_0.2.txt,100,1275,30,30,0,true,0,0,255,96,31
synth-n_100-m_263-k_5-p_0.05.txt,99,263,5,5,5,true,99,0,0,0,0
synth-n_100-m_289-k_10-p_0.05.txt,99,289,4,4,1,true,86,0,4,0,0
synth-n_100-m_302-k_15-p_0.05.txt,100,302,8,8,4,true,87,0,2,0,0
synth-n_100-m_332-k_20-p_0.05.txt,100,332,14,14,3,true,57,0,14,1,0
synth-n_100-m_336-k_30-p_0.05.txt,100,336,15,15,1,true,42,0,145,15,8
synth-n_100-m_343-k_25-p_0.05.txt,100,343,14,14,0,true,43,0,83,8,5
synth-n_100-m_515-k_5-p_0.1.txt,100,515,5,5,0,true,37,0,3,0,0
synth-n_100-m_591-k_15-p_0.1.txt,100,591,15,15,0,true,17,0,58,9,6
synth-n_100-m_611-k_10-p_0.1.txt,100,611,10,10,0,true,19,0,8,1,0
synth-n_100-m_628-k_20-p_0.1.txt,100,628,20,20,0,true,12,0,64,10,5
synth-n_100-m_691-k_25-p_0.1.txt,100,691,25,25,0,true,3,0,1379,286,179
synth-n_100-m_732-k_30-p_0.1.txt,100,732,30,30,0,true,1,0,20863,3982,2383
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,-1,50,0,true,0,0,47,6794,1089
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,-1,70,0,true,0,0,68,10417,1680
synth-n_1000-m_114433-k_100-p_0.2.txt,1000,114433,-1,100,0,true,0,0,98,16410,3451
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,-1,120,0,true,0,0,144,24669,5663
synth-n_1000-m_119520-k_150-p_0.2.txt,1000,119520,-1,149,0,false,0,0,402,90062,38477
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,-1,200,0,true,0,0,412,71642,16198
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,50,50,0,true,13,0,44,205,147
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,70,70,0,true,11,0,101,1512,1227
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,100,100,0,true,5,0,362,12193,4062
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,120,120,0,true,0,0,202,8457,1409
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,150,150,0,true,0,0,566,23122,3754
synth-n_1000-m_32410-k_200-p_0.05.txt,1000,32410,-1,194,0,false,0,0,7459,90018,33944
synth-n_1000-m_54531-k_50-p_0.1.txt,1000,54531,50,50,0,true,3,0,46,2397,288
synth-n_1000-m_55974-k_70-p_0.1.txt,1000,55974,70,70,0,true,0,0,61,3967,339
synth-n_1000-m_57929-k_100-p_0.1.txt,1000,57929,-1,100,0,true,0,0,118,9952,1671
synth-n_1000-m_59867-k_120-p_0.1.txt,1000,59867,-1,120,0,true,0,0,276,22926,5469
synth-n_1000-m_60934-k_150-p_0.1.txt,1000,60934,-1,150,0,true,0,0,186,10725,1159
synth-n_1000-m_64710-k_200-p_0.1.txt,1000,64710,-1,200,0,true,0,0,1308,73937,21321
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,-1,200,0,true,0,0,624,84249,16713
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,-1,50,0,true,0,0,48,14019,2468
synth-n_1300-m_183367-k_70-p_0.2.txt,1300,183367,-1,70,0,true,0,0,66,19910,3341
synth-n_1300-m_188195-k_100-p_0.2.txt,1300,188195,-1,100,0,true,0,0,109,38170,9208
synth-n_1300-m_191963-k_120-p_0.2.txt,1300,191963,-1,120,0,true,0,0,197,88611,30240
synth-n_1300-m_196174-k_150-p_0.2.txt,1300,196174,-1,150,0,true,0,0,181,68986,15386
synth-n_1300-m_204142-k_200-p_0.2.txt,1300,204142,-1,198,0,false,0,0,186,95092,46687
synth-n_1300-m_45241-k_50-p_0.05.txt,1300,45241,50,50,0,true,9,0,103,5985,4786
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,70,70,0,true,10,0,65,1944,318
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,-1,100,0,true,2,0,120,8220,1449
synth-n_1300-m_49172-k_120-p_0.05.txt,1300,49172,-1,120,0,true,0,0,116,7643,515
synth-n_1300-m_50340-k_150-p_0.05.txt,1300,50340,-1,150,0,true,0,0,1035,70024,16835
synth-n_1300-m_52952-k_200-p_0.05.txt,1300,52952,-1,200,0,false,1,0,1541,90045,19566
synth-n_1300-m_89669-k_50-p_0.1.txt,1300,89669,-1,50,0,true,2,0,104,15574,6718
synth-n_1300-m_92255-k_70-p_0.1.txt,1300,92255,-1,70,0,true,1,0,68,8902,770
synth-n_1300-m_95352-k_100-p_0.1.txt,1300,95352,-1,100,0,true,0,0,102,15958,1459
synth-n_1300-m_97421-k_120-p_0.1.txt,1300,97421,-1,120,0,true,0,0,117,15430,1163
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,-1,150,0,true,0,0,265,47078,8665
synth-n_150-m_1254-k_10-p_0.1.txt,150,1254,10,10,0,true,32,0,7,2,0
synth-n_150-m_1269-k_15-p_0.1.txt,150,1269,15,15,2,true,31,0,25,11,7
synth-n_150-m_1284-k_20-p_0.1.txt,150,1284,20,20,0,true,16,0,17,3,1
synth-n_150-m_1385-k_25-p_0.1.txt,150,1385,25,25,0,true,9,0,48,14,9
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,30,30,0,true,8,0,297,149,73
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,-1,51,0,false,1,0,363572,90000,34261
synth-n_150-m_1564-k_50-p_0.1.txt,150,1564,-1,48,0,true,0,0,68599,20070,8985
synth-n_150-m_2446-k_10-p_0.2.txt,150,2446,10,10,0,true,6,0,9,3,2
synth-n_150-m_2502-k_15-p_0.2.txt,150,2502,15,15,0,true,3,0,18,12,8
synth-n_150-m_2552-k_20-p_0.2.txt,150,2552,20,20,0,true,2,0,46,45,24
synth-n_150-m_2731-k_25-p_0.2.txt,150,2731,25,25,0,true,1,0,24,19,4
synth-n_150-m_2807-k_30-p_0.2.txt,150,2807,30,30,0,true,0,0,30,25,6
synth-n_150-m_3040-k_50-p_0.2.txt,150,3040,50,50,0,true,0,0,454,381,82
synth-n_150-m_3050-k_70-p_0.2.txt,150,3050,-1,68,0,false,0,0,219901,90000,19453
synth-n_150-m_630-k_15-p_0.05.txt,150,630,15,15,1,true,74,0,59,8,4
synth-n_150-m_634-k_10-p_0.05.txt,150,634,7,7,7,true,150,0,0,0,0
synth-n_150-m_666-k_20-p_0.05.txt,150,666,15,15,1,true,56,0,10,1,0
synth-n_150-m_704-k_25-p_0.05.txt,150,704,23,23,1,true,48,0,704,125,73
synth-n_150-m_781-k_50-p_0.05.txt,150,781,32,32,0,true,25,0,179479,42635,24333
synth-n_150-m_782-k_30-p_0.05.txt,150,782,28,28,1,true,29,0,18355,4612,2978
synth-n_150-m_805-k_70-p_0.05.txt,150,805,43,36,0,false,12,0,312400,90000,39877
synth-n_1600-m_137884-k_70-p_0.1.txt,1600,137884,-1,70,0,true,0,0,66,12774,1350
synth-n_1600-m_141523-k_100-p_0.1.txt,1600,141523,-1,100,0,true,0,0,94,21069,1716
synth-n_1600-m_143789-k_120-p_0.1.txt,1600,143789,-1,120,0,true,0,0,127,32678,2994
synth-n_1600-m_147721-k_150-p_0.1.txt,1600,147721,-1,150,0,true,0,0,146,35355,2404
synth-n_1600-m_152838-k_200-p_0.1.txt,1600,152838,-1,200,0,true,0,0,252,67894,7390
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,-1,70,0,true,0,0,68,42299,8093
synth-n_1600-m_279359-k_100-p_0.2.txt,1600,279359,-1,100,0,true,0,0,132,88417,19125
synth-n_1600-m_284773-k_120-p_0.2.txt,1600,284773,-1,120,0,true,0,0,134,88892,22798
synth-n_1600-m_290831-k_150-p_0.2.txt,1600,290831,-1,148,0,false,0,0,53,90280,58908
synth-n_1600-m_301143-k_200-p_0.2.txt,1600,301143,-1,195,0,false,0,0,59,90129,53967
synth-n_1600-m_68907-k_70-p_0.05.txt,1600,68907,70,70,0,true,2,0,62,5637,505
synth-n_1600-m_70865-k_100-p_0.05.txt,1600,70865,-1,100,0,true,3,0,85,9826,729
synth-n_1600-m_72748-k_120-p_0.05.txt,1600,72748,-1,120,0,true,0,0,137,19117,2365
synth-n_1600-m_74607-k_150-p_0.05.txt,1600,74607,-1,150,0,true,0,0,385,57474,10752
synth-n_1600-m_77345-k_200-p_0.05.txt,1600,77345,-1,198,0,false,0,0,845,90002,23310
synth-n_200-m_1076-k_10-p_0.05.txt,200,1076,10,10,10,true,200,0,0,0,0
synth-n_200-m_1167-k_15-p_0.05.txt,200,1167,15,15,1,true,62,0,18,7,4
synth-n_200-m_1175-k_20-p_0.05.txt,200,1175,20,20,0,true,43,0,51,16,11
synth-n_200-m_1245-k_25-p_0.05.txt,200,1245,24,24,0,true,48,0,33,9,5
synth-n_200-m_1266-k_30-p_0.05.txt,200,1266,30,30,0,true,38,0,9778,4045,2685
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,45,43,0,false,15,0,211328,90000,42543
synth-n_200-m_1434-k_70-p_0.05.txt,200,1434,-1,50,0,false,2,0,192502,90000,29449
synth-n_200-m_2169-k_15-p_0.1.txt,200,2169,15,15,1,true,25,0,20,18,13
synth-n_200-m_2199-k_10-p_0.1.txt,200,2199,10,10,0,true,20,0,8,3,1
synth-n_200-m_2293-k_20-p_0.1.txt,200,2293,20,20,0,true,12,0,17,6,3
synth-n_200-m_2369-k_25-p_0.1.txt,200,2369,25,25,0,true,13,0,21,11,4
synth-n_200-m_2491-k_30-p_0.1.txt,200,2491,30,30,0,true,8,0,175,179,94
synth-n_200-m_2592-k_50-p_0.1.txt,200,2592,50,50,0,true,1,0,509,378,124
synth-n_200-m_2772-k_70-p_0.1.txt,200,2772,70,68,0,false,0,0,217432,90001,28184
synth-n_200-m_4301-k_10-p_0.2.txt,200,4301,10,10,0,true,5,0,8,6,3
synth-n_200-m_4485-k_20-p_0.2.txt,200,4485,20,20,0,true,0,0,19,19,7
synth-n_200-m_4497-k_15-p_0.2.txt,200,4497,15,15,0,true,4,0,13,10,6
synth-n_200-m_4763-k_25-p_0.2.txt,200,4763,25,25,0,true,0,0,22,42,8
synth-n_200-m_4854-k_30-p_0.2.txt,200,4854,30,30,0,true,1,0,27,44,9
synth-n_200-m_5144-k_50-p_0.2.txt,200,5144,50,50,0,true,0,0,184,361,89
synth-n_200-m_5366-k_70-p_0.2.txt,200,5366,70,70,0,true,0,0,966,1148,314
synth-n_2000-m_106592-k_70-p_0.05.txt,2000,106592,70,70,0,true,9,0,106,20842,12800
synth-n_2000-m_108739-k_100-p_0.05.txt,2000,108739,-1,100,0,true,1,0,94,18989,1321
synth-n_2000-m_110886-k_120-p_0.05.txt,2000,110886,-1,120,0,true,2,0,207,55113,13849
synth-n_2000-m_112582-k_150-p_0.05.txt,2000,112582,-1,150,0,true,0,0,319,83185,17507
synth-n_2000-m_117145-k_200-p_0.05.txt,2000,117145,-1,199,0,false,0,0,302,90071,23478
synth-n_2000-m_212793-k_70-p_0.1.txt,2000,212793,-1,70,0,true,0,0,67,23197,2482
synth-n_2000-m_217131-k_100-p_0.1.txt,2000,217131,-1,100,0,true,0,0,118,59222,9106
synth-n_2000-m_220005-k_120-p_0.1.txt,2000,220005,-1,120,0,true,0,0,134,60283,6501
synth-n_2000-m_225391-k_150-p_0.1.txt,2000,225391,-1,150,0,true,0,0,171,84574,10107
synth-n_2000-m_233102-k_200-p_0.1.txt,2000,233102,-1,200,0,false,0,0,140,90382,19235
synth-n_2000-m_422023-k_70-p_0.2.txt,2000,422023,-1,70,0,true,0,0,67,84030,25143
synth-n_2000-m_430943-k_100-p_0.2.txt,2000,430943,-1,100,0,false,0,0,64,90140,24742
synth-n_2000-m_435643-k_120-p_0.2.txt,2000,435643,-1,120,0,false,0,0,44,90945,37982
synth-n_2000-m_444160-k_150-p_0.2.txt,2000,444160,-1,150,0,false,0,0,40,90573,44949
synth-n_2000-m_457573-k_200-p_0.2.txt,2000,457573,-1,197,0,false,0,0,16,91225,71446
synth-n_2300-m_142851-k_100-p_0.05.txt,2300,142851,-1,100,0,true,1,0,94,18239,1686
synth-n_2300-m_144829-k_120-p_0.05.txt,2300,144829,-1,120,0,true,2,0,194,73958,21354
synth-n_2300-m_147738-k_150-p_0.05.txt,2300,147738,-1,150,0,true,1,0,142,45739,4055
synth-n_2300-m_152429-k_200-p_0.05.txt,2300,152429,-1,198,0,false,0,0,264,90362,22278
synth-n_2300-m_284623-k_100-p_0.1.txt,2300,284623,-1,100,0,true,0,0,91,52736,4436
synth-n_2300-m_286796-k_120-p_0.1.txt,2300,286796,-1,120,0,true,0,0,125,85497,12938
synth-n_2300-m_292795-k_150-p_0.1.txt,2300,292795,-1,150,0,false,0,0,99,90415,15611
synth-n_2300-m_302503-k_200-p_0.1.txt,2300,302503,-1,200,0,false,0,0,123,90388,5552
synth-n_2300-m_563042-k_100-p_0.2.txt,2300,563042,-1,100,0,false,0,0,28,91048,46473
synth-n_2300-m_569928-k_120-p_0.2.txt,2300,569928,-1,119,0,false,0,0,22,91222,55281
synth-n_2300-m_580179-k_150-p_0.2.txt,2300,580179,-1,149,0,false,0,0,21,90315,54589
synth-n_2300-m_595551-k_200-p_0.2.txt,2300,595551,-1,200,0,false,0,0,1,100978,100405
synth-n_250-m_1653-k_10-p_0.05.txt,250,1653,10,10,10,true,250,0,0,0,0
synth-n_250-m_1708-k_15-p_0.05.txt,250,1708,15,15,1,true,79,0,7,2,1
synth-n_250-m_1797-k_25-p_0.05.txt,250,1797,25,25,0,true,39,0,42,24,16
synth-n_250-m_1806-k_20-p_0.05.txt,250,1806,20,20,1,true,67,0,24,12,7
synth-n_250-m_1841-k_30-p_0.05.txt,250,1841,30,30,0,true,32,0,91,63,38
synth-n_250-m_1998-k_50-p_0.05.txt,250,1998,50,50,0,true,12,0,9977,7084,3500
synth-n_250-m_2173-k_70-p_0.05.txt,250,2173,69,61,0,false,9,0,156443,90000,34939
synth-n_250-m_2260-k_100-p_0.05.txt,250,2260,-1,65,0,false,0,0,151639,90001,24879
synth-n_250-m_2350-k_120-p_0.05.txt,250,2350,-1,72,0,false,0,0,177002,90001,23344
synth-n_250-m_3237-k_10-p_0.1.txt,250,3237,10,10,0,true,23,0,6,4,2
synth-n_250-m_3416-k_15-p_0.1.txt,250,3416,15,15,0,true,20,0,13,8,4
synth-n_250-m_3493-k_25-p_0.1.txt,250,3493,25,25,1,true,13,0,34,42,29
synth-n_250-m_3591-k_20-p_0.1.txt,250,3591,20,20,0,true,9,0,17,9,5
synth-n_250-m_3730-k_30-p_0.1.txt,250,3730,30,30,0,true,4,0,27,24,8
synth-n_250-m_3992-k_50-p_0.1.txt,250,3992,50,50,0,true,0,0,180,323,114
synth-n_250-m_4149-k_70-p_0.1.txt,250,4149,70,70,0,true,0,0,1734,2215,693
synth-n_250-m_4386-k_100-p_0.1.txt,250,4386,-1,86,0,false,0,0,149002,90000,20747
synth-n_250-m_4530-k_120-p_0.1.txt,250,4530,-1,90,0,false,0,0,150330,90000,16286
synth-n_250-m_6567-k_10-p_0.2.txt,250,6567,10,10,0,true,6,0,8,10,5
synth-n_250-m_6839-k_20-p_0.2.txt,250,6839,20,20,0,true,3,0,20,51,12
synth-n_250-m_6880-k_15-p_0.2.txt,250,6880,15,15,0,true,2,0,14,20,10
synth-n_250-m_7102-k_25-p_0.2.txt,250,7102,25,25,0,true,1,0,21,64,12
synth-n_250-m_7321-k_30-p_0.2.txt,250,7321,30,30,0,true,1,0,30,111,28
synth-n_250-m_8019-k_50-p_0.2.txt,250,8019,50,50,0,true,0,0,86,407,85
synth-n_250-m_8255-k_70-p_0.2.txt,250,8255,70,70,0,true,0,0,110,428,58
synth-n_250-m_8674-k_100-p_0.2.txt,250,8674,100,100,0,true,0,0,11868,20072,3204
synth-n_250-m_8784-k_120-p_0.2.txt,250,8784,-1,107,0,false,0,0,53813,90003,9722
synth-n_2600-m_181265-k_100-p_0.05.txt,2600,181265,-1,100,0,true,2,0,109,42527,12856
synth-n_2600-m_183371-k_120-p_0.05.txt,2600,183371,-1,120,0,false,0,0,133,90627,22642
synth-n_2600-m_186921-k_150-p_0.05.txt,2600,186921,-1,150,0,true,1,0,157,70765,5940
synth-n_2600-m_190932-k_200-p_0.05.txt,2600,190932,-1,199,0,false,0,0,206,90039,22075
synth-n_2600-m_360584-k_100-p_0.1.txt,2600,360584,-1,100,0,true,0,0,95,86718,6269
synth-n_2600-m_364394-k_120-p_0.1.txt,2600,364394,-1,120,0,false,0,0,94,90959,6150
